Mn=289 den=2 N=250 errco=2703 C250=3443661/500000
2 k=16 r=-232001/2500000 delta=3683/500000000 v=232973/250000
3 k=25 r=2087297/5000000 delta=7381/1000000000 v=-98879/1000000
4 k=32 r=-1855991/10000000 delta=1843/250000000 v=736851/1000000
5 k=37 r=214819/10000000 delta=7417/1000000000 v=99631/100000
6 k=41 r=3246607/10000000 delta=7357/1000000000 v=134403/500000
7 k=45 r=-779661/2000000 delta=59/8000000 v=5737/500000
8 k=48 r=-2783977/10000000 delta=7257/1000000000 v=220721/500000
9 k=51 r=-3679379/5000000 delta=1447/200000000 v=-245111/250000
10 k=53 r=-178301/2500000 delta=7271/1000000000 v=479791/500000
11 k=55 r=2301679/10000000 delta=7357/1000000000 v=302643/500000
12 k=57 r=2318621/10000000 delta=3621/500000000 v=599877/1000000
13 k=59 r=-4547/250000 delta=291/40000000 v=199471/200000
14 k=61 r=-1206573/2500000 delta=1841/250000000 v=-352013/1000000
15 k=62 r=438943/1000000 delta=3653/500000000 v=-183923/1000000
16 k=64 r=-3711963/10000000 delta=7311/1000000000 v=17181/200000
17 k=65 r=248071/1000000 delta=1467/200000000 v=546779/1000000
18 k=66 r=7421219/10000000 delta=1807/250000000 v=-197011/200000
19 k=68 r=-1115733/2500000 delta=7413/1000000000 v=-106369/500000
20 k=69 r=-164119/1000000 delta=7297/1000000000 v=198037/250000
21 k=70 r=138153/5000000 delta=7349/1000000000 v=993899/1000000
22 k=71 r=1373693/10000000 delta=3621/500000000 v=426399/500000
23 k=72 r=1723943/10000000 delta=3709/500000000 v=154303/200000
24 k=73 r=278127/2000000 delta=3663/500000000 v=849239/1000000
25 k=74 r=429619/10000000 delta=7233/1000000000 v=985271/1000000
26 k=75 r=-554933/5000000 delta=739/100000000 v=112883/125000
27 k=76 r=-1592073/5000000 delta=7347/1000000000 v=58557/200000
28 k=77 r=-2877139/5000000 delta=7249/1000000000 v=-667551/1000000
29 k=77 r=3461227/5000000 delta=7299/1000000000 v=-46569/50000
