Mn=309 den=2 N=250 errco=3083 C250=6264433/1000000
2 k=17 r=692711/10000000 delta=7779/1000000000 v=961857/1000000
3 k=27 r=223973/10000000 delta=3929/500000000 v=99599/100000
4 k=34 r=692721/5000000 delta=987/125000000 v=425167/500000
5 k=40 r=-6673123/10000000 delta=3957/500000000 v=-178101/200000
6 k=44 r=28647/312500 delta=7817/1000000000 v=466761/500000
7 k=48 r=-2374441/10000000 delta=987/125000000 v=116373/200000
8 k=51 r=519543/2500000 delta=1547/200000000 v=673939/1000000
9 k=54 r=223983/5000000 delta=7739/1000000000 v=983989/1000000
10 k=57 r=-5980431/10000000 delta=3921/500000000 v=-183021/250000
11 k=59 r=-72849/1250000 delta=317/40000000 v=972951/1000000
12 k=61 r=804717/5000000 delta=3907/500000000 v=199959/250000
13 k=63 r=1110001/10000000 delta=247/31250000 v=903041/1000000
14 k=65 r=-1681711/10000000 delta=1547/200000000 v=97769/125000
15 k=67 r=-644913/1000000 delta=777/100000000 v=-846223/1000000
16 k=68 r=1385451/5000000 delta=7913/1000000000 v=446129/1000000
17 k=70 r=-1307193/2500000 delta=3927/500000000 v=-248749/500000
18 k=71 r=142587/1250000 delta=1973/250000000 v=448849/500000
19 k=72 r=6316189/10000000 delta=1557/200000000 v=-408353/500000
20 k=74 r=-52877/100000 delta=7833/1000000000 v=-103561/200000
21 k=75 r=-2150449/10000000 delta=7813/1000000000 v=652301/1000000
22 k=76 r=54969/5000000 delta=7747/1000000000 v=999033/1000000
23 k=77 r=785741/5000000 delta=7899/1000000000 v=101107/125000
24 k=78 r=460433/2000000 delta=3931/500000000 v=605131/1000000
25 k=79 r=2361699/10000000 delta=7769/1000000000 v=586003/1000000
26 k=80 r=1802731/10000000 delta=7727/1000000000 v=150217/200000
27 k=81 r=671959/10000000 delta=7883/1000000000 v=192819/200000
28 k=82 r=-988981/10000000 delta=7913/1000000000 v=57673/62500
29 k=83 r=-3142929/10000000 delta=7797/1000000000 v=308509/1000000
30 k=84 r=-2878219/5000000 delta=1551/200000000 v=-334097/500000
31 k=84 r=6908661/10000000 delta=1561/200000000 v=-929357/1000000
32 k=85 r=3463633/10000000 delta=3881/500000000 v=46071/250000
33 k=86 r=-897/25000 delta=973/125000000 v=989719/1000000
34 k=87 r=-2268021/5000000 delta=7777/1000000000 v=-120609/500000
35 k=87 r=333019/500000 delta=7727/1000000000 v=-444087/500000
36 k=88 r=1833427/10000000 delta=7783/1000000000 v=371461/500000
37 k=89 r=-3291673/10000000 delta=7863/1000000000 v=251401/1000000
38 k=89 r=175223/250000 delta=789/100000000 v=-235853/250000
39 k=90 r=1333993/10000000 delta=1561/200000000 v=860983/1000000
40 k=91 r=-459497/1000000 delta=3899/500000000 v=-33003/125000
41 k=91 r=4942547/10000000 delta=1551/200000000 v=-197571/500000
42 k=92 r=-728859/5000000 delta=3931/500000000 v=834767/1000000
43 k=92 r=7630937/10000000 delta=7841/1000000000 v=-996023/1000000
44 k=93 r=200667/2500000 delta=1971/250000000 v=948899/1000000
45 k=94 r=-778147/1250000 delta=7777/1000000000 v=-397581/500000
46 k=94 r=1132087/5000000 delta=7827/1000000000 v=617159/1000000
47 k=95 r=-5136981/10000000 delta=7869/1000000000 v=-11633/25000
48 k=95 r=598979/2000000 delta=7769/1000000000 v=18213/50000
49 k=96 r=-2374451/5000000 delta=7791/1000000000 v=-161437/500000
50 k=96 r=3054429/10000000 delta=3931/500000000 v=341981/1000000
51 k=97 r=-250239/500000 delta=1571/200000000 v=-83577/200000
52 k=97 r=2495461/10000000 delta=1581/200000000 v=541829/1000000
53 k=98 r=-1171027/2000000 delta=3949/500000000 v=-348519/500000
54 k=98 r=1364689/10000000 delta=1937/250000000 v=854673/1000000
55 k=99 r=-3627967/5000000 delta=3931/500000000 v=-971523/1000000
56 k=99 r=-296289/10000000 delta=7841/1000000000 v=198597/200000
57 k=99 r=3270091/5000000 delta=1953/250000000 v=-865063/1000000
58 k=100 r=-2450199/10000000 delta=3917/500000000 v=139239/250000
59 k=100 r=4152513/10000000 delta=3917/500000000 v=-90087/1000000
60 k=101 r=-1265927/2500000 delta=1969/250000000 v=-439181/1000000
61 k=101 r=660367/5000000 delta=3963/500000000 v=215917/250000
62 k=101 r=7601353/10000000 delta=7877/1000000000 v=-994899/1000000
63 k=102 r=-240807/1250000 delta=973/125000000 v=143501/200000
64 k=102 r=166253/400000 delta=3917/500000000 v=-18321/200000
65 k=103 r=-5563141/10000000 delta=7841/1000000000 v=-608731/1000000
66 k=103 r=333931/10000000 delta=7891/1000000000 v=247773/250000
67 k=103 r=6142319/10000000 delta=989/125000000 v=-774631/1000000
68 k=104 r=-3843311/10000000 delta=3949/500000000 v=16733/500000
69 k=104 r=71819/400000 delta=1551/200000000 v=376499/500000
70 k=104 r=735311/1000000 delta=1581/200000000 v=-979997/1000000
71 k=105 r=-2876051/10000000 delta=1551/200000000 v=51013/125000
72 k=105 r=2526157/10000000 delta=981/125000000 v=531469/1000000
73 k=105 r=7853819/10000000 delta=3949/500000000 v=-1
74 k=106 r=-2598981/10000000 delta=779/100000000 v=126643/250000
75 k=106 r=646423/2500000 delta=7913/1000000000 v=127787/250000
76 k=106 r=154033/200000 delta=387/50000000 v=-15596/15625
77 k=107 r=-591443/2000000 delta=7883/1000000000 v=75651/200000
78 k=107 r=506681/2500000 delta=787/100000000 v=688999/1000000
79 k=107 r=3473581/5000000 delta=7883/1000000000 v=-233733/250000
80 k=108 r=-3902239/10000000 delta=7877/1000000000 v=9901/1000000
81 k=108 r=895951/10000000 delta=3913/500000000 v=468233/500000
82 k=108 r=5635277/10000000 delta=1969/250000000 v=-631367/1000000
83 k=109 r=-1078159/2000000 delta=973/125000000 v=-276317/500000
84 k=109 r=-765007/10000000 delta=7767/500000000 v=190709/200000
85 k=109 r=3806049/10000000 delta=7769/1000000000 v=24179/500000
86 k=110 r=-3692167/5000000 delta=7791/1000000000 v=-491203/500000
87 k=110 r=-2918937/10000000 delta=989/125000000 v=6131/15625
88 k=110 r=1495399/10000000 delta=7791/1000000000 v=826373/1000000
89 k=110 r=5859831/10000000 delta=7841/1000000000 v=-698383/1000000
90 k=111 r=-1106489/2000000 delta=3949/500000000 v=-18717/31250
91 k=111 r=-1264441/10000000 delta=3101/200000000 v=874799/1000000
92 k=111 r=591381/2000000 delta=981/125000000 v=37837/100000
93 k=111 r=1426523/2000000 delta=3899/500000000 v=-479329/500000
94 k=112 r=-4444289/10000000 delta=7797/1000000000 v=-102723/500000
95 k=112 r=-356953/10000000 delta=7847/1000000000 v=15466/15625
96 k=112 r=3687587/10000000 delta=1939/250000000 v=19123/200000
97 k=112 r=3845109/5000000 delta=7897/1000000000 v=-199571/200000
98 k=113 r=-1014043/2500000 delta=49/6250000 v=-51649/1000000
99 k=113 r=-134807/10000000 delta=7813/1000000000 v=998547/1000000
100 k=113 r=3747121/10000000 delta=779/100000000 v=35943/500000
101 k=113 r=7590463/10000000 delta=779/100000000 v=-19889/20000
102 k=114 r=-4312049/10000000 delta=391/50000000 v=-30683/200000
103 k=114 r=-135939/2500000 delta=7883/1000000000 v=976439/1000000
104 k=114 r=3188153/10000000 delta=7833/1000000000 v=72813/250000
105 k=114 r=6884373/10000000 delta=787/100000000 v=-925727/1000000
106 k=115 r=-5162443/10000000 delta=3913/500000000 v=-474311/1000000
107 k=115 r=-1535633/10000000 delta=3963/500000000 v=204301/250000
108 k=115 r=2057419/10000000 delta=3963/500000000 v=42503/62500
109 k=115 r=5617331/10000000 delta=3913/500000000 v=-78223/125000
110 k=116 r=-1640801/2500000 delta=7769/1000000000 v=-434823/500000
111 k=116 r=-19173/62500 delta=3867/500000000 v=84249/250000
112 k=116 r=198221/5000000 delta=3917/500000000 v=987453/1000000
113 k=116 r=1914909/5000000 delta=3867/500000000 v=38859/1000000
114 k=116 r=452057/625000 delta=7819/1000000000 v=-9693/10000
115 k=117 r=-5101659/10000000 delta=1973/250000000 v=-14149/31250
116 k=117 r=-1757507/10000000 delta=7761/1000000000 v=95363/125000
117 k=117 r=778993/5000000 delta=487/62500000 v=406009/500000
118 k=117 r=1211311/2500000 delta=3921/500000000 v=-179549/500000
119 k=118 r=-7603233/10000000 delta=7749/1000000000 v=-497487/500000
120 k=118 r=-4370977/10000000 delta=7799/1000000000 v=-88331/500000
121 k=118 r=-582783/5000000 delta=3927/500000000 v=893271/1000000
