Mn=421 den=1 sgn=-1 N=900 eps=10000 J=108 psi=-1220781/1000000 u900=-6459/62500 d900=847/40000000 r900=-258823/10000000 k900=456
1 k=0 r=190747/625000 delta=201/1000000000 v=5358/15625
2 k=47 r=-2842473/5000000 delta=5291/250000000 v=-80831/125000
3 k=74 r=-23812/78125 delta=21133/1000000000 v=344421/1000000
4 k=93 r=321543/2500000 delta=21069/1000000000 v=435277/500000
5 k=108 r=262681/5000000 delta=21077/1000000000 v=978001/1000000
6 k=120 r=3923181/10000000 delta=531/25000000 v=381/250000
7 k=131 r=-6620803/10000000 delta=21161/1000000000 v=-880789/1000000
8 k=140 r=-3725337/5000000 delta=5299/250000000 v=-123377/125000
9 k=147 r=6560191/10000000 delta=21057/1000000000 v=-869051/1000000
10 k=154 r=3748187/5000000 delta=5299/250000000 v=-989787/1000000
11 k=161 r=-2145383/10000000 delta=21057/1000000000 v=163459/250000
12 k=167 r=-150427/312500 delta=211/10000000 v=-4341/12500
13 k=172 r=891461/10000000 delta=21167/1000000000 v=187419/200000
14 k=177 r=70063/2000000 delta=1317/62500000 v=495099/500000
15 k=182 r=-2787237/5000000 delta=5277/250000000 v=-612321/1000000
16 k=186 r=-119889/2500000 delta=10533/500000000 v=490829/500000
17 k=190 r=247991/5000000 delta=21237/1000000000 v=196077/200000
18 k=194 r=-435331/2000000 delta=21209/1000000000 v=4027/6250
19 k=197 r=118831/156250 delta=663/31250000 v=-248763/250000
20 k=201 r=-1240471/10000000 delta=4229/200000000 v=219851/250000
21 k=204 r=746831/2500000 delta=21237/1000000000 v=367079/1000000
22 k=207 r=965147/2000000 delta=5297/250000000 v=-87951/250000
23 k=210 r=1121841/2500000 delta=10597/500000000 v=-222277/1000000
24 k=213 r=1078727/5000000 delta=21231/1000000000 v=26007/40000
25 k=216 r=-2001281/10000000 delta=661/31250000 v=696339/1000000
26 k=219 r=-980673/1250000 delta=10587/500000000 v=-499997/500000
27 k=221 r=92071/2000000 delta=659/31250000 v=491547/500000
28 k=223 r=7321433/10000000 delta=21203/1000000000 v=-977397/1000000
29 k=226 r=-22413/78125 delta=21079/1000000000 v=205363/500000
30 k=228 r=698269/5000000 delta=4233/200000000 v=84799/100000
31 k=230 r=4491981/10000000 delta=17/800000 v=-224077/1000000
32 k=232 r=3245781/5000000 delta=21167/1000000000 v=-106893/125000
33 k=234 r=932843/1250000 delta=21121/1000000000 v=-49389/50000
34 k=236 r=74671/100000 delta=21107/1000000000 v=-19761/20000
35 k=238 r=6560517/10000000 delta=21193/1000000000 v=-173823/200000
36 k=240 r=4794463/10000000 delta=10539/500000000 v=-85017/250000
37 k=242 r=138499/625000 delta=2633/125000000 v=63221/100000
38 k=244 r=-565831/5000000 delta=21053/1000000000 v=179857/200000
39 k=246 r=-41667/80000 delta=4227/200000000 v=-122601/250000
40 k=247 r=2865323/5000000 delta=5307/250000000 v=-660483/1000000
41 k=249 r=303681/10000000 delta=10607/500000000 v=992631/1000000
42 k=251 r=-5749521/10000000 delta=1319/62500000 v=-666133/1000000
43 k=252 r=3308367/10000000 delta=21111/1000000000 v=61233/250000
44 k=254 r=-3911111/10000000 delta=10539/500000000 v=397/62500
45 k=255 r=1008387/2500000 delta=5283/250000000 v=-4261/100000
46 k=257 r=-2124793/5000000 delta=21247/1000000000 v=-3217/25000
47 k=258 r=2677831/10000000 delta=10527/500000000 v=479131/1000000
48 k=260 r=-102803/156250 delta=5267/250000000 v=-34913/40000
49 k=261 r=-585647/10000000 delta=847/40000000 v=972687/1000000
50 k=262 r=1242459/2500000 delta=1061/50000000 v=-202573/500000
51 k=264 r=-2801927/5000000 delta=10603/500000000 v=-62157/100000
52 k=265 r=-874267/10000000 delta=21199/1000000000 v=939473/1000000
53 k=266 r=3466001/10000000 delta=21211/1000000000 v=183353/1000000
54 k=267 r=7431473/10000000 delta=10609/500000000 v=-985753/1000000
55 k=269 r=-2336013/5000000 delta=21133/1000000000 v=-146811/500000
56 k=270 r=-707759/5000000 delta=1057/50000000 v=421971/500000
57 k=271 r=376337/2500000 delta=21247/1000000000 v=412063/500000
58 k=272 r=2051127/5000000 delta=10577/500000000 v=-2189/31250
59 k=273 r=3193073/5000000 delta=21241/1000000000 v=-208133/250000
60 k=275 r=-7340307/10000000 delta=2647/125000000 v=-195793/200000
61 k=276 r=-2825591/5000000 delta=21183/1000000000 v=-9942/15625
62 k=277 r=-4244969/10000000 delta=2119/100000000 v=-126849/1000000
63 k=278 r=-48633/156250 delta=10603/500000000 v=320059/1000000
64 k=279 r=-2245389/10000000 delta=4221/200000000 v=311527/500000
65 k=280 r=-817591/5000000 delta=21091/1000000000 v=198403/250000
66 k=281 r=-1274101/10000000 delta=21219/1000000000 v=21823/25000
67 k=282 r=-46187/400000 delta=21077/1000000000 v=895221/1000000
68 k=283 r=-253949/2000000 delta=21233/1000000000 v=873769/1000000
69 k=284 r=-201559/1250000 delta=10581/500000000 v=799107/1000000
70 k=285 r=-272041/1250000 delta=5287/250000000 v=32221/50000
71 k=286 r=-591/2000 delta=4211/200000000 v=15163/40000
72 k=287 r=-3942383/10000000 delta=21241/1000000000 v=-6157/1000000
73 k=288 r=-2566449/5000000 delta=10617/500000000 v=-231937/500000
74 k=289 r=-6520967/10000000 delta=21127/1000000000 v=-430591/500000
75 k=289 r=3803423/5000000 delta=5269/250000000 v=-497559/500000
76 k=290 r=182483/312500 delta=331/15625000 v=-692527/1000000
77 k=291 r=1944939/5000000 delta=21191/1000000000 v=2969/200000
78 k=292 r=1762743/10000000 delta=10549/500000000 v=761549/1000000
79 k=293 r=-537423/10000000 delta=10549/500000000 v=976983/1000000
80 k=294 r=-3006199/10000000 delta=2639/125000000 v=180023/500000
81 k=295 r=-5639481/10000000 delta=21119/1000000000 v=-63267/100000
82 k=295 r=7274799/10000000 delta=5271/250000000 v=-243321/250000
83 k=296 r=4324609/10000000 delta=2647/125000000 v=-79189/500000
84 k=297 r=152693/1250000 delta=21067/500000000 v=882983/1000000
85 k=298 r=-2030661/10000000 delta=10581/500000000 v=687857/1000000
86 k=299 r=-678573/1250000 delta=4211/200000000 v=-35323/62500
87 k=299 r=6739263/10000000 delta=4231/200000000 v=-225557/250000
88 k=300 r=3060007/10000000 delta=4231/200000000 v=84971/250000
89 k=301 r=-755233/10000000 delta=1057/50000000 v=238679/250000
90 k=302 r=-2351649/5000000 delta=21133/1000000000 v=-305557/1000000
91 k=302 r=6926669/10000000 delta=42233/1000000000 v=-116499/125000
