M=62 sgn=-1 N=100 J=7 psi=-1266091/1000000
1 k=0 r=3165227/10000000 delta=21/100000000 v=75003/250000
2 k=7 r=647297/10000000 delta=477/100000000 v=966667/1000000
3 k=11 r=82817/1250000 delta=539/100000000 v=965089/1000000
4 k=14 r=-1870633/10000000 delta=11/3125000 v=366439/500000
5 k=16 r=1300691/10000000 delta=57/10000000 v=433841/500000
6 k=18 r=-927697/5000000 delta=207/50000000 v=184253/250000
7 k=19 r=3164999/5000000 delta=169/50000000 v=-819881/1000000
8 k=21 r=-4388563/10000000 delta=99/25000000 v=-91791/500000
9 k=22 r=-368031/2000000 delta=477/100000000 v=370559/500000
10 k=23 r=-1217239/10000000 delta=137/25000000 v=88379/100000
11 k=24 r=-538031/2500000 delta=439/100000000 v=651793/1000000
12 k=25 r=-1093331/2500000 delta=167/50000000 v=-88793/500000
13 k=26 r=-1918667/2500000 delta=1/312500 v=-997429/1000000
14 k=26 r=953017/2500000 delta=463/100000000 v=45953/1000000
15 k=27 r=-601/5000 delta=79/12500000 v=7093/8000
16 k=28 r=-6906493/10000000 delta=521/100000000 v=-929037/1000000
17 k=28 r=622581/2500000 delta=361/100000000 v=108711/200000
18 k=29 r=-871617/2000000 delta=11/3125000 v=-2681/15625
19 k=29 r=2011167/5000000 delta=59/12500000 v=-2383/62500
20 k=30 r=-3735169/10000000 delta=423/100000000 v=76653/1000000
21 k=30 r=3827307/10000000 delta=1/250000 v=39863/1000000
22 k=31 r=-2335027/5000000 delta=157/50000000 v=-73217/250000
23 k=31 r=2219969/10000000 delta=549/100000000 v=25239/40000
24 k=32 r=-3445627/5000000 delta=459/100000000 v=-231691/250000
25 k=32 r=-112769/2000000 delta=499/100000000 v=487337/500000
26 k=32 r=2757683/5000000 delta=399/100000000 v=-593459/1000000
27 k=33 r=-4342847/10000000 delta=3/800000 v=-20697/125000
28 k=33 r=647069/5000000 delta=147/25000000 v=434491/500000
29 k=33 r=6733293/10000000 delta=7/1562500 v=-225299/250000
30 k=34 r=-371993/1000000 delta=243/50000000 v=8273/100000
31 k=34 r=1362493/10000000 delta=597/100000000 v=855129/1000000
32 k=34 r=6283541/10000000 delta=617/100000000 v=-809101/1000000
33 k=35 r=-930963/2000000 delta=377/100000000 v=-57407/200000
34 k=35 r=-13803/5000000 delta=243/50000000 v=999939/1000000
35 k=35 r=2232731/5000000 delta=357/100000000 v=-213727/1000000
36 k=36 r=-1375203/2000000 delta=99/25000000 v=-924457/1000000
37 k=36 r=-1314587/5000000 delta=139/25000000 v=248061/500000
38 k=36 r=376101/2500000 delta=347/100000000 v=41217/50000
39 k=36 r=1106121/2000000 delta=21/6250000 v=-299177/500000
40 k=37 r=-6253099/10000000 delta=13/4000000 v=-160377/200000
41 k=37 r=-151609/625000 delta=189/50000000 v=282527/500000
42 k=37 r=1309377/10000000 delta=21/4000000 v=865949/1000000
43 k=37 r=1239151/2500000 delta=109/20000000 v=-400301/1000000
44 k=38 r=-449249/625000 delta=217/50000000 v=-38589/40000
45 k=38 r=-3704691/10000000 delta=549/100000000 v=88803/1000000
46 k=38 r=-297961/10000000 delta=569/100000000 v=496453/500000
47 k=38 r=3035501/10000000 delta=317/50000000 v=174543/500000
48 k=38 r=314939/500000 delta=277/50000000 v=-203167/250000
49 k=39 r=-3106597/5000000 delta=3/500000 v=-396123/500000
50 k=39 r=-123271/400000 delta=623/100000000 v=165841/500000
51 k=39 r=-12367/10000000 delta=423/100000000 v=249997/250000
52 k=39 r=749359/2500000 delta=523/100000000 v=363313/1000000
53 k=39 r=2974953/5000000 delta=563/100000000 v=-11308/15625
54 k=40 r=-6860777/10000000 delta=373/100000000 v=-230529/250000
55 k=40 r=-200833/500000 delta=51/10000000 v=-1793/50000
56 k=40 r=-76487/625000 delta=53/10000000 v=2758/3125
57 k=40 r=1519643/10000000 delta=41/10000000 v=410437/500000
58 k=40 r=4215363/10000000 delta=573/100000000 v=-115093/1000000
59 k=40 r=1373/2000 delta=373/100000000 v=-57673/62500
60 k=41 r=-311893/500000 delta=361/100000000 v=-199557/250000
61 k=41 r=-1837909/5000000 delta=381/100000000 v=1003/10000
62 k=41 r=-1155437/10000000 delta=521/100000000 v=179017/200000
63 k=41 r=165577/1250000 delta=231/50000000 v=172577/200000
64 k=41 r=3765611/10000000 delta=501/100000000 v=64507/1000000
65 k=41 r=154219/250000 delta=421/100000000 v=-195319/250000
66 k=42 r=-1434549/2000000 delta=371/100000000 v=-481551/500000
67 k=42 r=-2420937/5000000 delta=511/100000000 v=-4473/12500
68 k=42 r=-19887/78125 delta=611/100000000 v=524887/1000000
69 k=42 r=-141361/5000000 delta=611/100000000 v=248403/250000
70 k=42 r=486883/2500000 delta=391/100000000 v=711607/1000000
71 k=42 r=4146151/10000000 delta=59/12500000 v=-1368/15625
72 k=42 r=3157009/5000000 delta=531/100000000 v=-204051/250000
73 k=43 r=-362799/500000 delta=381/100000000 v=-121441/125000
74 k=43 r=-160847/312500 delta=281/50000000 v=-4689/10000
75 k=43 r=-383317/1250000 delta=561/100000000 v=337427/1000000
76 k=43 r=-506763/5000000 delta=401/100000000 v=918941/1000000
77 k=43 r=1012647/10000000 delta=501/100000000 v=919079/1000000
78 k=43 r=120507/400000 delta=461/100000000 v=89407/250000
79 k=43 r=623403/1250000 delta=161/50000000 v=-82299/200000
80 k=43 r=1387387/2000000 delta=421/100000000 v=-933473/1000000
81 k=44 r=-3422769/5000000 delta=313/100000000 v=-919741/1000000
82 k=44 r=-4943673/10000000 delta=33/10000000 v=-98889/250000
83 k=44 r=-3064863/10000000 delta=61/10000000 v=338057/1000000
84 k=44 r=-1208553/10000000 delta=13/2000000 v=88541/100000
85 k=44 r=156447/2500000 delta=333/100000000 v=484417/500000
86 k=44 r=1219337/5000000 delta=573/100000000 v=560779/1000000
87 k=44 r=2115301/5000000 delta=51/10000000 v=-60573/500000
88 k=44 r=6002049/10000000 delta=57/10000000 v=-737947/1000000
89 k=44 r=7753481/10000000 delta=433/100000000 v=-124899/125000
90 k=45 r=-6222621/10000000 delta=53/12500000 v=-794541/1000000
91 k=45 r=-4509897/10000000 delta=39/6250000 v=-14441/62500
92 k=45 r=-2815891/10000000 delta=111/25000000 v=6718/15625
93 k=45 r=-1140199/10000000 delta=17/3125000 v=448893/500000
94 k=45 r=517571/10000000 delta=121/25000000 v=489323/500000
95 k=45 r=1078899/5000000 delta=17/3125000 v=65007/100000
96 k=45 r=75617/200000 delta=141/25000000 v=58423/1000000
97 k=45 r=2693541/5000000 delta=121/25000000 v=-137849/250000
98 k=45 r=6976839/10000000 delta=29/6250000 v=-469539/500000
99 k=46 r=-7157507/10000000 delta=87/25000000 v=-240361/250000
100 k=46 r=-699963/1250000 delta=107/20000000 v=-620269/1000000
