M=86 sgn=1 N=100 J=11 psi=29/40000
1 k=0 r=-1813/10000000 delta=21/100000000 v=1/1
2 k=9 r=7653161/10000000 delta=329/50000000 v=-39871/40000
3 k=15 r=29019/500000 delta=371/50000000 v=486587/500000
4 k=19 r=-399827/10000000 delta=21/4000000 v=493619/500000
5 k=22 r=226073/5000000 delta=393/50000000 v=98369/100000
6 k=25 r=-7472609/10000000 delta=569/100000000 v=-988387/1000000
7 k=27 r=-5746139/10000000 delta=113/25000000 v=-166281/250000
8 k=28 r=7255147/10000000 delta=521/100000000 v=-971449/1000000
9 k=30 r=1162573/10000000 delta=643/100000000 v=55863/62500
10 k=32 r=-7600843/10000000 delta=191/25000000 v=-497439/500000
11 k=33 r=-2817117/10000000 delta=123/20000000 v=429509/1000000
12 k=34 r=91183/5000000 delta=437/100000000 v=997341/1000000
13 k=35 r=13153/78125 delta=457/100000000 v=156337/200000
14 k=36 r=381767/2000000 delta=159/25000000 v=722397/1000000
15 k=37 r=1034339/10000000 delta=177/20000000 v=293/320
16 k=38 r=-398921/5000000 delta=347/50000000 v=949507/1000000
17 k=39 r=-3471511/10000000 delta=483/100000000 v=90593/500000
18 k=40 r=-430651/625000 delta=47/10000000 v=-463319/500000
19 k=40 r=4734037/10000000 delta=67/10000000 v=-317241/1000000
20 k=41 r=13533/2500000 delta=621/100000000 v=499883/500000
21 k=42 r=-2581973/5000000 delta=551/100000000 v=-11871/25000
22 k=42 r=4837857/10000000 delta=27/6250000 v=-356339/1000000
23 k=43 r=-1312977/10000000 delta=741/100000000 v=216307/250000
24 k=43 r=391867/500000 delta=621/100000000 v=-499989/500000
25 k=44 r=453053/5000000 delta=13/2000000 v=467517/500000
26 k=45 r=-1592351/2500000 delta=539/100000000 v=-828803/1000000
27 k=45 r=872383/5000000 delta=17/3125000 v=766189/1000000
28 k=46 r=-3072077/5000000 delta=101/12500000 v=-155019/200000
29 k=46 r=8753/62500 delta=157/25000000 v=847153/1000000
30 k=47 r=-140373/200000 delta=133/20000000 v=-188939/200000
31 k=47 r=15581/5000000 delta=429/50000000 v=499961/500000
32 k=47 r=6857133/10000000 delta=419/50000000 v=-921551/1000000
33 k=48 r=-558731/2500000 delta=129/25000000 v=313161/500000
34 k=48 r=4183463/10000000 delta=667/100000000 v=-102409/1000000
35 k=49 r=-264609/500000 delta=507/100000000 v=-259669/500000
36 k=49 r=764559/10000000 delta=67/12500000 v=953599/1000000
37 k=49 r=3327669/5000000 delta=97/12500000 v=-177449/200000
38 k=50 r=-414869/1250000 delta=497/100000000 v=9633/40000
39 k=50 r=1132889/5000000 delta=233/50000000 v=308327/500000
40 k=50 r=3854553/5000000 delta=437/100000000 v=-998321/1000000
41 k=51 r=-537989/2000000 delta=71/12500000 v=59359/125000
42 k=51 r=622757/2500000 delta=147/20000000 v=543319/1000000
43 k=51 r=1510017/2000000 delta=151/20000000 v=-992621/1000000
44 k=52 r=-803783/2500000 delta=151/25000000 v=280911/1000000
45 k=52 r=404133/2500000 delta=739/100000000 v=798129/1000000
46 k=52 r=6341997/10000000 delta=799/100000000 v=-822619/1000000
47 k=53 r=-1185533/2500000 delta=873/100000000 v=-32031/100000
48 k=53 r=-215649/10000000 delta=793/100000000 v=498141/500000
49 k=53 r=2108749/5000000 delta=83/10000000 v=-57971/500000
50 k=54 r=-7146883/10000000 delta=823/100000000 v=-960267/1000000
51 k=54 r=-1444659/5000000 delta=583/100000000 v=403253/1000000
52 k=54 r=128557/1000000 delta=723/100000000 v=870673/1000000
53 k=54 r=1345233/2500000 delta=763/100000000 v=-274671/500000
54 k=55 r=-6308223/10000000 delta=123/25000000 v=-814863/1000000
55 k=55 r=-1181579/5000000 delta=711/100000000 v=58553/100000
56 k=55 r=1510821/10000000 delta=771/100000000 v=205721/250000
57 k=55 r=531623/1000000 delta=571/100000000 v=-263767/500000
58 k=56 r=-6652509/10000000 delta=801/100000000 v=-886723/1000000
59 k=56 r=-1488603/5000000 delta=521/100000000 v=370841/1000000
60 k=56 r=25453/400000 delta=261/50000000 v=483891/500000
61 k=56 r=33521/80000 delta=271/50000000 v=-105059/1000000
62 k=56 r=7686137/10000000 delta=361/50000000 v=-997747/1000000
63 k=57 r=-4581753/10000000 delta=651/100000000 v=-258921/1000000
