Mn=471 den=2 N=250 errco=7082 C250=3944193/1000000
2 k=26 r=-15833/500000 delta=5969/500000000 v=991989/1000000
3 k=41 r=695367/2500000 delta=11857/1000000000 v=442343/1000000
4 k=52 r=-633291/10000000 delta=477/40000000 v=968087/1000000
5 k=60 r=5078797/10000000 delta=5891/500000000 v=-88919/200000
6 k=67 r=2464837/10000000 delta=1187/100000000 v=138021/250000
7 k=73 r=-513359/5000000 delta=11877/1000000000 v=916847/1000000
8 k=78 r=-474961/5000000 delta=1489/125000000 v=232169/250000
9 k=82 r=2781483/5000000 delta=37/3125000 v=-24347/40000
10 k=86 r=4762107/10000000 delta=5917/500000000 v=-327869/1000000
11 k=90 r=-977933/5000000 delta=2381/200000000 v=709261/1000000
12 k=93 r=1074103/5000000 delta=2971/250000000 v=652981/1000000
13 k=96 r=134341/625000 delta=2953/250000000 v=326301/500000
14 k=99 r=-1343349/10000000 delta=11891/1000000000 v=859073/1000000
15 k=102 r=-7847669/10000000 delta=11919/1000000000 v=-999997/1000000
16 k=104 r=-1266553/10000000 delta=5949/500000000 v=874389/1000000
17 k=106 r=3010253/10000000 delta=597/50000000 v=89633/250000
18 k=108 r=1049267/2000000 delta=11827/1000000000 v=-25179/50000
19 k=110 r=707809/1250000 delta=1489/125000000 v=-127953/200000
20 k=112 r=1111369/2500000 delta=11847/1000000000 v=-205911/1000000
21 k=114 r=87739/500000 delta=591/50000000 v=763609/1000000
22 k=116 r=-2272497/10000000 delta=11919/1000000000 v=76817/125000
23 k=118 r=-3758713/5000000 delta=2951/250000000 v=-123869/125000
24 k=119 r=73263/400000 delta=11897/1000000000 v=371709/500000
25 k=121 r=-5550399/10000000 delta=11883/1000000000 v=-604679/1000000
26 k=122 r=73313/400000 delta=5913/500000000 v=743083/1000000
27 k=124 r=-14727/20000 delta=11861/1000000000 v=-61301/62500
28 k=125 r=-82999/500000 delta=93/7812500 v=393769/500000
29 k=126 r=164603/500000 delta=5903/500000000 v=251251/1000000
30 k=127 r=1508721/2000000 delta=11863/1000000000 v=-992303/1000000
31 k=129 r=-1141817/2500000 delta=2957/250000000 v=-6333/25000
32 k=130 r=-98949/625000 delta=2377/200000000 v=161219/200000
33 k=131 r=25801/312500 delta=737/62500000 v=23649/25000
34 k=132 r=1346811/5000000 delta=5977/500000000 v=473577/1000000
35 k=133 r=81041/200000 delta=741/62500000 v=-50003/1000000
36 k=134 r=616213/1250000 delta=5907/500000000 v=-195209/500000
37 k=135 r=2676451/5000000 delta=11821/1000000000 v=-539939/1000000
38 k=136 r=5345841/10000000 delta=477/40000000 v=-537559/1000000
39 k=137 r=2465477/5000000 delta=2377/200000000 v=-195439/500000
40 k=138 r=825769/2000000 delta=11861/1000000000 v=-40327/500000
41 k=139 r=59173/200000 delta=5927/500000000 v=377723/1000000
42 k=140 r=1438149/10000000 delta=11807/1000000000 v=839051/1000000
43 k=141 r=-52029/1250000 delta=2991/250000000 v=246543/250000
44 k=142 r=-323641/1250000 delta=2983/250000000 v=254983/500000
45 k=143 r=-506623/1000000 delta=473/40000000 v=-440087/1000000
46 k=144 r=-1958529/2500000 delta=2967/250000000 v=-31249/31250
47 k=144 r=2413859/5000000 delta=5959/500000000 v=-176273/500000
48 k=145 r=23671/156250 delta=1191/100000000 v=410973/500000
49 k=146 r=-410693/2000000 delta=11803/1000000000 v=681207/1000000
50 k=147 r=-586703/1000000 delta=1487/125000000 v=-700441/1000000
