M=18 sgn=1 N=47 J=0 psi=80911/1000000
1 k=0 r=-101139/5000000 delta=21/100000000 v=124591/125000
2 k=2 r=-426581/10000000 delta=143/100000000 v=492739/500000
3 k=3 r=1055693/5000000 delta=87/50000000 v=132813/200000
4 k=4 r=-162721/2500000 delta=31/25000000 v=966299/1000000
5 k=5 r=-1579347/2500000 delta=21/12500000 v=-816983/1000000
6 k=5 r=943541/5000000 delta=23/20000000 v=364193/500000
7 k=6 r=-68841/100000 delta=53/50000000 v=-185137/200000
8 k=6 r=-218797/2500000 delta=117/100000000 v=939347/1000000
9 k=6 r=4425049/10000000 delta=73/50000000 v=-49477/250000
10 k=7 r=-6541691/10000000 delta=177/100000000 v=-432683/500000
11 k=7 r=-2252733/10000000 delta=137/100000000 v=620753/1000000
12 k=7 r=1662779/10000000 delta=97/100000000 v=24589/31250
13 k=7 r=5264701/10000000 delta=117/100000000 v=-509913/1000000
14 k=8 r=-1777101/2500000 delta=17/12500000 v=-477929/500000
15 k=8 r=-160149/400000 delta=49/25000000 v=-30689/1000000
16 k=8 r=-1099491/10000000 delta=17/12500000 v=452419/500000
17 k=8 r=1628617/10000000 delta=3/3125000 v=795207/1000000
18 k=8 r=840149/2000000 delta=3/3125000 v=-109283/1000000
19 k=8 r=663377/1000000 delta=127/100000000 v=-883233/1000000
20 k=9 r=-1353199/2000000 delta=59/50000000 v=-226697/250000
21 k=9 r=-4570437/10000000 delta=21/20000000 v=-127273/500000
22 k=9 r=-2477037/10000000 delta=21/20000000 v=68501/125000
23 k=9 r=-476707/10000000 delta=29/20000000 v=1571/1600
24 k=9 r=57539/400000 delta=29/20000000 v=41949/50000
25 k=9 r=655093/2000000 delta=29/20000000 v=25767/100000
26 k=9 r=5040397/10000000 delta=1/800000 v=-86157/200000
27 k=9 r=842339/1250000 delta=59/50000000 v=-902133/1000000
28 k=10 r=-7332707/10000000 delta=77/50000000 v=-48917/50000
29 k=10 r=-2876799/5000000 delta=67/50000000 v=-667349/1000000
30 k=10 r=-1057007/2500000 delta=149/100000000 v=-30031/250000
31 k=10 r=-1376243/5000000 delta=87/50000000 v=45271/100000
32 k=10 r=-264759/2000000 delta=97/50000000 v=863051/1000000
33 k=10 r=6093/1000000 delta=109/100000000 v=999703/1000000
34 k=10 r=1404313/10000000 delta=77/50000000 v=846337/1000000
35 k=10 r=2708753/10000000 delta=129/100000000 v=234119/500000
36 k=10 r=1988221/5000000 delta=57/50000000 v=-19779/1000000
37 k=10 r=1302349/2500000 delta=77/50000000 v=-12269/25000
38 k=10 r=6409467/10000000 delta=109/100000000 v=-837663/1000000
39 k=10 r=1894591/2500000 delta=47/50000000 v=-993929/1000000
40 k=11 r=-3495149/5000000 delta=99/100000000 v=-188183/200000
41 k=11 r=-587913/1000000 delta=139/100000000 v=-703887/1000000
42 k=11 r=-4794741/10000000 delta=41/25000000 v=-85043/250000
43 k=11 r=-933967/2500000 delta=9/6250000 v=611/8000
44 k=11 r=-135067/500000 delta=31/25000000 v=58857/125000
45 k=11 r=-1690061/10000000 delta=179/100000000 v=390033/500000
46 k=11 r=-701011/10000000 delta=159/100000000 v=60059/62500
47 k=11 r=266769/10000000 delta=41/25000000 v=124289/125000
