M=66 sgn=1 N=100 J=7 psi=233983/1000000
1 k=0 r=-292479/5000000 delta=21/100000000 v=972751/1000000
2 k=7 r=478573/1250000 delta=517/100000000 v=39353/1000000
3 k=12 r=-780949/1000000 delta=11/2000000 v=-499921/500000
4 k=15 r=-7465837/10000000 delta=201/50000000 v=-246993/250000
5 k=17 r=-1031539/5000000 delta=599/100000000 v=678387/1000000
6 k=19 r=-848987/2500000 delta=17/4000000 v=210823/1000000
7 k=20 r=6330951/10000000 delta=367/100000000 v=-820099/1000000
8 k=22 r=-381537/1250000 delta=213/50000000 v=342783/1000000
9 k=23 r=336971/5000000 delta=61/12500000 v=240971/250000
10 k=24 r=18363/78125 delta=599/100000000 v=294819/500000
11 k=25 r=59217/250000 delta=449/100000000 v=291869/500000
12 k=26 r=508797/5000000 delta=363/100000000 v=459149/500000
13 k=27 r=-741661/5000000 delta=371/100000000 v=207271/250000
14 k=28 r=-496347/1000000 delta=481/100000000 v=-6294/15625
15 k=28 r=3210177/5000000 delta=661/100000000 v=-420017/500000
16 k=29 r=680623/5000000 delta=551/100000000 v=855387/1000000
17 k=30 r=-2171827/5000000 delta=19/5000000 v=-33179/200000
18 k=30 r=1271871/2500000 delta=363/100000000 v=-89541/200000
19 k=31 r=-424847/2500000 delta=247/50000000 v=777727/1000000
20 k=31 r=3382003/5000000 delta=237/50000000 v=-226613/250000
21 k=32 r=-44679/500000 delta=419/100000000 v=468399/500000
22 k=32 r=3391111/5000000 delta=339/100000000 v=-181901/200000
23 k=33 r=-1989/12500 delta=71/12500000 v=804193/1000000
24 k=33 r=169723/312500 delta=61/12500000 v=-56601/100000
25 k=34 r=-1770599/5000000 delta=517/100000000 v=30741/200000
26 k=34 r=146511/500000 delta=417/100000000 v=97057/250000
27 k=35 r=-6550589/10000000 delta=437/100000000 v=-108393/125000
28 k=35 r=-68741/1250000 delta=303/50000000 v=30497/31250
29 k=35 r=262007/500000 delta=233/50000000 v=-250719/500000
30 k=36 r=-1218517/2500000 delta=507/100000000 v=-184917/500000
31 k=36 r=536253/10000000 delta=41/6250000 v=977083/1000000
32 k=36 r=1443697/2500000 delta=169/25000000 v=-673637/1000000
33 k=37 r=-4855851/10000000 delta=199/50000000 v=-72611/200000
34 k=37 r=546/78125 delta=101/20000000 v=999609/1000000
35 k=37 r=4852831/10000000 delta=189/50000000 v=-361929/1000000
36 k=38 r=-6206937/10000000 delta=207/50000000 v=-197679/250000
37 k=38 r=-1686107/10000000 delta=307/50000000 v=156211/200000
38 k=38 r=1357077/5000000 delta=369/100000000 v=58291/125000
39 k=38 r=7000109/10000000 delta=197/50000000 v=-942237/1000000
40 k=39 r=-283151/625000 delta=343/100000000 v=-239033/1000000
41 k=39 r=-228067/5000000 delta=11/2500000 v=983401/1000000
42 k=39 r=1759981/5000000 delta=543/100000000 v=162093/1000000
43 k=39 r=3701247/5000000 delta=563/100000000 v=-983737/1000000
44 k=40 r=-4512199/10000000 delta=453/100000000 v=-231951/1000000
45 k=40 r=-402089/5000000 delta=57/10000000 v=237177/250000
46 k=40 r=1411171/5000000 delta=63/10000000 v=427621/1000000
47 k=40 r=3185433/5000000 delta=653/100000000 v=-82913/100000
48 k=41 r=-1172657/2000000 delta=301/50000000 v=-699371/1000000
49 k=41 r=-2461103/10000000 delta=621/100000000 v=553329/1000000
50 k=41 r=109043/1250000 delta=321/50000000 v=117467/125000
51 k=41 r=4139777/10000000 delta=241/50000000 v=-21253/250000
52 k=41 r=3671881/5000000 delta=271/50000000 v=-489623/500000
53 k=42 r=-4177/8000 delta=611/100000000 v=-247443/500000
54 k=42 r=-267131/1250000 delta=391/100000000 v=131271/200000
55 k=42 r=2783/31250 delta=133/25000000 v=46861/50000
