Mn=392 den=1 sgn=-1 N=1200 eps=10000 J=98 psi=1153399/1000000 u1200=417689/500000 d1200=4907/250000000 r1200=2472051/10000000 k1200=442
1 k=0 r=-1441749/5000000 delta=201/1000000000 v=202691/500000
2 k=43 r=958289/10000000 delta=1961/100000000 v=92743/100000
3 k=68 r=1123001/2000000 delta=19713/1000000000 v=-312529/500000
4 k=86 r=1200031/2500000 delta=2473/125000000 v=-85549/250000
5 k=100 r=3569367/10000000 delta=19719/1000000000 v=71281/500000
6 k=112 r=-6251123/10000000 delta=19797/1000000000 v=-200353/250000
7 k=121 r=1722447/5000000 delta=19633/1000000000 v=95823/500000
8 k=130 r=-7066003/10000000 delta=3947/200000000 v=-950737/1000000
9 k=137 r=-797203/5000000 delta=3937/200000000 v=80343/100000
10 k=143 r=231597/312500 delta=787/40000000 v=-19687/20000
11 k=149 r=6567321/10000000 delta=19771/1000000000 v=-435229/500000
12 k=155 r=-2409287/10000000 delta=9807/500000000 v=570473/1000000
13 k=160 r=-2507257/10000000 delta=79/4000000 v=537857/1000000
14 k=164 r=728673/1000000 delta=19779/1000000000 v=-30449/31250
15 k=169 r=-728009/2000000 delta=2461/125000000 v=57263/500000
16 k=173 r=-403021/1250000 delta=19659/1000000000 v=277441/1000000
17 k=177 r=-6643913/10000000 delta=19631/1000000000 v=-110641/125000
18 k=180 r=2247429/10000000 delta=19709/1000000000 v=124483/200000
19 k=184 r=-949821/1250000 delta=123/6250000 v=-497393/500000
20 k=187 r=-278439/625000 delta=19759/1000000000 v=-104823/500000
21 k=190 r=-3764517/10000000 delta=9883/500000000 v=4059/62500
22 k=193 r=-5298807/10000000 delta=19687/1000000000 v=-521601/1000000
23 k=195 r=684803/1000000 delta=19701/1000000000 v=-920131/1000000
24 k=198 r=358137/2500000 delta=989/50000000 v=210067/250000
25 k=201 r=-5685781/10000000 delta=3949/200000000 v=-646903/1000000
26 k=203 r=667289/5000000 delta=4911/250000000 v=13451/15625
27 k=205 r=3452073/5000000 delta=19773/1000000000 v=-928689/1000000
28 k=208 r=-2289699/5000000 delta=3939/200000000 v=-258011/1000000
29 k=210 r=-1605851/10000000 delta=9847/500000000 v=100087/125000
30 k=212 r=201693/10000000 delta=4931/250000000 v=996747/1000000
31 k=214 r=229967/2500000 delta=3933/200000000 v=233267/250000
32 k=216 r=154417/2500000 delta=2469/125000000 v=484817/500000
