M=102 sgn=-1 N=100 J=15 psi=-356799/1000000
1 k=0 r=891997/10000000 delta=21/100000000 v=46851/50000
2 k=11 r=1214233/2500000 delta=799/100000000 v=-363457/1000000
3 k=18 r=-213151/1250000 delta=447/50000000 v=776261/1000000
4 k=23 r=-430381/625000 delta=19/3125000 v=-925987/1000000
5 k=26 r=144581/500000 delta=903/100000000 v=40241/100000
6 k=29 r=2259727/10000000 delta=173/25000000 v=309279/500000
7 k=32 r=-277787/500000 delta=559/100000000 v=-30319/50000
8 k=34 r=-2921161/10000000 delta=617/100000000 v=78313/200000
9 k=36 r=-4302413/10000000 delta=787/100000000 v=-29921/200000
10 k=37 r=1371311/2000000 delta=469/50000000 v=-921461/1000000
11 k=39 r=-63819/2500000 delta=9/1250000 v=994791/1000000
12 k=40 r=3112331/5000000 delta=533/100000000 v=-795037/1000000
13 k=42 r=-2390187/5000000 delta=143/25000000 v=-334763/1000000
14 k=43 r=-397701/2500000 delta=721/100000000 v=804287/1000000
15 k=44 r=147207/5000000 delta=21/2000000 v=496537/500000
16 k=45 r=521887/5000000 delta=819/100000000 v=457051/500000
17 k=46 r=795089/10000000 delta=19/3125000 v=237463/250000
18 k=47 r=-168739/5000000 delta=117/20000000 v=990903/1000000
19 k=48 r=-22583/100000 delta=199/25000000 v=309503/500000
20 k=49 r=-4886473/10000000 delta=747/100000000 v=-9361/25000
21 k=49 r=3777509/5000000 delta=169/25000000 v=-496429/500000
22 k=50 r=3709659/10000000 delta=517/100000000 v=86823/1000000
23 k=51 r=-132621/2000000 delta=179/20000000 v=965029/1000000
24 k=52 r=-2759183/5000000 delta=181/25000000 v=-23777/40000
25 k=52 r=2445621/5000000 delta=201/25000000 v=-23513/62500
26 k=53 r=-815439/10000000 delta=653/100000000 v=37891/40000
27 k=54 r=-6899619/10000000 delta=1/156250 v=-58001/62500
28 k=54 r=2374131/10000000 delta=923/100000000 v=290983/500000
29 k=55 r=-2192773/5000000 delta=183/25000000 v=-36479/200000
30 k=55 r=85187/200000 delta=831/100000000 v=-16569/125000
31 k=56 r=-3087209/10000000 delta=1001/100000000 v=329631/1000000
32 k=56 r=5008709/10000000 delta=1021/100000000 v=-26207/62500
33 k=57 r=-2852481/10000000 delta=153/25000000 v=416693/1000000
34 k=57 r=190401/400000 delta=771/100000000 v=-163541/500000
35 k=58 r=-3556117/10000000 delta=603/100000000 v=73903/500000
36 k=58 r=3627457/10000000 delta=1/156250 v=119527/1000000
37 k=59 r=-636721/1250000 delta=909/100000000 v=-449951/1000000
38 k=59 r=341327/2000000 delta=297/50000000 v=775901/1000000
39 k=60 r=-7377579/10000000 delta=279/50000000 v=-490949/500000
40 k=60 r=-460769/5000000 delta=109/20000000 v=932827/1000000
41 k=60 r=2687539/5000000 delta=133/20000000 v=-68423/125000
42 k=61 r=-418801/1000000 delta=217/25000000 v=-52109/500000
43 k=61 r=1812267/10000000 delta=111/12500000 v=748561/1000000
44 k=61 r=3837297/5000000 delta=177/25000000 v=-997427/1000000
45 k=62 r=-2302791/10000000 delta=443/50000000 v=151233/250000
46 k=62 r=330183/1000000 delta=473/50000000 v=123733/500000
47 k=63 r=-138441/200000 delta=503/50000000 v=-931321/1000000
48 k=63 r=-1553431/10000000 delta=463/50000000 v=20327/25000
49 k=63 r=3704487/10000000 delta=977/100000000 v=22221/250000
50 k=64 r=-3425893/5000000 delta=249/25000000 v=-920719/1000000
51 k=64 r=-450529/2500000 delta=179/25000000 v=751247/1000000
52 k=64 r=393687/1250000 delta=107/12500000 v=306009/1000000
53 k=65 r=-7701177/10000000 delta=177/20000000 v=-998133/1000000
54 k=65 r=-733671/2500000 delta=117/20000000 v=193291/500000
55 k=65 r=1744347/10000000 delta=429/50000000 v=766297/1000000
56 k=65 r=3169533/5000000 delta=459/50000000 v=-12843/15625
57 k=66 r=-971101/2000000 delta=689/100000000 v=-181463/500000
58 k=66 r=-420611/10000000 delta=467/50000000 v=24647/25000
59 k=66 r=393847/1000000 delta=287/50000000 v=-287/62500
60 k=67 r=-7483679/10000000 delta=3/500000 v=-19781/20000
61 k=67 r=-3268707/10000000 delta=31/5000000 v=260281/1000000
62 k=67 r=438863/5000000 delta=21/2500000 v=469499/500000
63 k=67 r=4957813/10000000 delta=783/100000000 v=-50093/125000
64 k=68 r=-6734319/10000000 delta=83/10000000 v=-450687/500000
65 k=68 r=-2780751/10000000 delta=71/10000000 v=2213/5000
66 k=68 r=556227/5000000 delta=613/100000000 v=902619/1000000
67 k=68 r=4947113/10000000 delta=833/100000000 v=-396819/1000000
68 k=69 r=-1745751/2500000 delta=501/50000000 v=-939923/1000000
69 k=69 r=-326031/1000000 delta=501/50000000 v=263523/1000000
70 k=69 r=204409/5000000 delta=311/50000000 v=986659/1000000
71 k=69 r=40259/100000 delta=761/100000000 v=-39553/1000000
72 k=69 r=949049/1250000 delta=421/50000000 v=-994531/1000000
73 k=70 r=-2299137/5000000 delta=611/100000000 v=-132649/500000
74 k=70 r=-1128833/10000000 delta=233/25000000 v=899779/1000000
75 k=70 r=2294037/10000000 delta=911/100000000 v=151929/250000
76 k=70 r=567157/1000000 delta=631/100000000 v=-321279/500000
77 k=71 r=-1675753/2500000 delta=801/100000000 v=-22397/25000
78 k=71 r=-853161/2500000 delta=761/100000000 v=20429/100000
79 k=71 r=-164193/10000000 delta=521/100000000 v=249461/250000
80 k=71 r=3043397/10000000 delta=681/100000000 v=2769/8000
81 k=71 r=6211139/10000000 delta=261/50000000 v=-12371/15625
82 k=72 r=-127359/200000 delta=11/2000000 v=-414239/500000
83 k=72 r=-3277003/10000000 delta=19/2000000 v=64269/250000
84 k=72 r=-8923/400000 delta=107/10000000 v=498011/500000
85 k=72 r=349339/1250000 delta=553/100000000 v=87517/200000
86 k=72 r=2888601/5000000 delta=953/100000000 v=-13487/20000
87 k=73 r=-6982751/10000000 delta=839/100000000 v=-939889/1000000
88 k=73 r=-2034217/5000000 delta=899/100000000 v=-56547/1000000
89 k=73 r=-1187047/10000000 delta=11/1562500 v=27793/31250
90 k=73 r=25971/156250 delta=171/25000000 v=157401/200000
91 k=73 r=4479853/10000000 delta=271/25000000 v=-219347/1000000
92 k=73 r=3633383/5000000 delta=49/6250000 v=-972541/1000000
93 k=74 r=-2842207/5000000 delta=187/20000000 v=-323243/500000
94 k=74 r=-591423/2000000 delta=167/20000000 v=94573/250000
95 k=74 r=-258677/10000000 delta=187/20000000 v=248663/250000
96 k=74 r=150719/625000 delta=183/20000000 v=35609/62500
