Mn=158 den=1 sgn=1 N=250 J=28 psi=-555919/1000000 u250=-404113/1000000 d250=8099/1000000000 r250=-1040021/10000000 k250=139
1 k=0 r=694899/5000000 delta=201/1000000000 v=106177/125000
2 k=18 r=-7560417/10000000 delta=7931/1000000000 v=-496557/500000
3 k=28 r=-896267/2000000 delta=8003/1000000000 v=-8797/40000
4 k=35 r=-802649/10000000 delta=161/20000000 v=474451/500000
5 k=41 r=-3454353/5000000 delta=1999/250000000 v=-232341/250000
6 k=45 r=2276433/10000000 delta=3989/500000000 v=613293/1000000
7 k=49 r=334107/10000000 delta=8053/1000000000 v=991083/1000000
8 k=52 r=74439/125000 delta=319/40000000 v=-14503/20000
9 k=55 r=1071103/2000000 delta=7907/1000000000 v=-270409/500000
10 k=58 r=-150977/10000000 delta=4009/500000000 v=998177/1000000
11 k=60 r=9729/16000 delta=7971/1000000000 v=-75879/100000
12 k=63 r=-3336881/5000000 delta=8049/1000000000 v=-890621/1000000
13 k=65 r=-3236411/5000000 delta=1607/200000000 v=-425617/500000
14 k=66 r=11347/16000 delta=991/125000000 v=-476947/500000
15 k=68 r=183009/625000 delta=7913/1000000000 v=388993/1000000
16 k=70 r=-119803/400000 delta=247/31250000 v=364193/1000000
17 k=71 r=5243679/10000000 delta=8011/1000000000 v=-251331/500000
18 k=73 r=-89867/250000 delta=7977/1000000000 v=132533/1000000
19 k=74 r=2053901/10000000 delta=7933/1000000000 v=681079/1000000
20 k=75 r=6606791/10000000 delta=7963/1000000000 v=-878121/1000000
21 k=77 r=-2768503/5000000 delta=4027/500000000 v=-150101/250000
22 k=78 r=-286957/1000000 delta=8041/1000000000 v=410469/1000000
23 k=79 r=-15923/156250 delta=3967/500000000 v=918063/1000000
24 k=80 r=84007/10000000 delta=997/125000000 v=199887/200000
25 k=81 r=250367/5000000 delta=8083/1000000000 v=122501/125000
26 k=82 r=284947/10000000 delta=799/100000000 v=993511/1000000
27 k=83 r=-257799/5000000 delta=3953/500000000 v=122351/125000
28 k=84 r=-23229/125000 delta=3999/500000000 v=36811/50000
29 k=85 r=-185261/500000 delta=8091/1000000000 v=5537/62500
30 k=86 r=-602209/1000000 delta=8019/1000000000 v=-743333/1000000
31 k=86 r=10828/15625 delta=499/62500000 v=-932463/1000000
32 k=87 r=3762693/10000000 delta=8077/1000000000 v=8209/125000
33 k=88 r=26189/1250000 delta=797/100000000 v=99649/100000
34 k=89 r=-926629/2500000 delta=397/50000000 v=22019/250000
35 k=89 r=3871773/5000000 delta=8063/1000000000 v=-62439/62500
36 k=90 r=3163089/10000000 delta=503/62500000 v=75207/250000
37 k=91 r=-172227/1000000 delta=503/62500000 v=771941/1000000
38 k=92 r=-3448147/5000000 delta=7941/1000000000 v=-5797/6250
39 k=92 r=3364029/10000000 delta=4031/500000000 v=111643/500000
40 k=93 r=-585851/2500000 delta=4017/500000000 v=591917/1000000
41 k=93 r=7410173/10000000 delta=4017/500000000 v=-246071/250000
42 k=94 r=610381/5000000 delta=7927/1000000000 v=883129/1000000
43 k=95 r=-2596327/5000000 delta=8019/1000000000 v=-242457/500000
44 k=95 r=3888199/10000000 delta=499/62500000 v=3879/250000
45 k=96 r=-91969/312500 delta=8091/1000000000 v=383509/1000000
46 k=96 r=5738657/10000000 delta=989/125000000 v=-331443/500000
47 k=97 r=-737159/5000000 delta=1601/200000000 v=207773/250000
48 k=97 r=273671/400000 delta=1601/200000000 v=-919149/1000000
49 k=98 r=-180401/2500000 delta=1581/200000000 v=958631/1000000
50 k=98 r=3629251/5000000 delta=1581/200000000 v=-485883/500000
51 k=99 r=-313717/5000000 delta=2003/250000000 v=968671/1000000
52 k=99 r=1408543/2000000 delta=7991/1000000000 v=-29619/31250
53 k=100 r=-1141209/10000000 delta=7919/1000000000 v=112201/125000
54 k=100 r=624217/1000000 delta=2021/250000000 v=-159853/200000
55 k=101 r=-1108949/5000000 delta=8027/1000000000 v=631617/1000000
56 k=101 r=4899409/10000000 delta=997/125000000 v=-379233/1000000
57 k=102 r=-954303/2500000 delta=3967/500000000 v=43897/1000000
58 k=102 r=3052549/10000000 delta=3967/500000000 v=10709/31250
59 k=103 r=-2951563/5000000 delta=8041/1000000000 v=-710673/1000000
60 k=103 r=367839/5000000 delta=3981/500000000 v=478507/500000
61 k=103 r=454047/625000 delta=8041/1000000000 v=-972353/1000000
62 k=104 r=-1010157/5000000 delta=1987/250000000 v=138171/200000
63 k=104 r=1074961/2500000 delta=1987/250000000 v=-148589/1000000
64 k=105 r=-5187541/10000000 delta=1987/250000000 v=-773/1600
65 k=105 r=468309/5000000 delta=1987/250000000 v=930637/1000000
66 k=105 r=6967281/10000000 delta=1611/200000000 v=-468879/500000
67 k=106 r=-350089/1250000 delta=7963/1000000000 v=217713/500000
68 k=106 r=762813/2500000 delta=201/25000000 v=13727/40000
69 k=107 r=-1378037/2000000 delta=7933/1000000000 v=-231651/250000
70 k=107 r=-150831/1250000 delta=807/100000000 v=221441/250000
71 k=107 r=4396269/10000000 delta=807/100000000 v=-186611/1000000
72 k=108 r=-2893553/5000000 delta=7977/1000000000 v=-67727/100000
73 k=108 r=-338753/10000000 delta=4013/500000000 v=495417/500000
74 k=108 r=5035459/10000000 delta=4013/500000000 v=-214501/500000
75 k=109 r=-5370379/10000000 delta=2021/250000000 v=-54581/100000
76 k=109 r=-5541/400000 delta=2021/250000000 v=199693/200000
77 k=109 r=2512477/5000000 delta=7919/1000000000 v=-212601/500000
78 k=110 r=-2793083/5000000 delta=7991/1000000000 v=-154003/250000
79 k=110 r=-554261/10000000 delta=7991/1000000000 v=243881/250000
80 k=110 r=882873/2000000 delta=7991/1000000000 v=-193717/1000000
81 k=111 r=-6386711/10000000 delta=1581/200000000 v=-832657/1000000
82 k=111 r=-1540021/10000000 delta=4049/500000000 v=816191/1000000
83 k=111 r=811983/2500000 delta=4049/500000000 v=33537/125000
84 k=112 r=-7729453/10000000 delta=15997/1000000000 v=-24969/25000
85 k=112 r=-610969/2000000 delta=7997/1000000000 v=13673/40000
86 k=112 r=62603/400000 delta=7997/1000000000 v=20259/25000
87 k=112 r=6131631/10000000 delta=4003/500000000 v=-9649/12500
88 k=113 r=-1265499/2500000 delta=7913/1000000000 v=-219283/500000
89 k=113 r=-299347/5000000 delta=809/100000000 v=485731/500000
90 k=113 r=95369/250000 delta=7913/1000000000 v=44877/1000000
91 k=114 r=-7528513/10000000 delta=15983/1000000000 v=-495769/500000
92 k=114 r=-1605769/5000000 delta=7983/1000000000 v=282291/1000000
93 k=114 r=66173/625000 delta=401/50000000 v=911653/1000000
94 k=114 r=5283411/10000000 delta=7983/1000000000 v=-516337/1000000
95 k=115 r=-6244623/10000000 delta=2019/250000000 v=-159971/200000
96 k=115 r=-2108459/10000000 delta=7927/1000000000 v=664939/1000000
97 k=115 r=1984847/10000000 delta=7927/1000000000 v=350521/500000
98 k=115 r=1509041/2500000 delta=2019/250000000 v=-747087/1000000
99 k=116 r=-5661601/10000000 delta=7969/1000000000 v=-639497/1000000
100 k=116 r=-422933/2500000 delta=4017/500000000 v=12182/15625
101 k=116 r=559669/2500000 delta=4017/500000000 v=9768/15625
102 k=116 r=3065167/5000000 delta=7969/1000000000 v=-77159/100000
103 k=117 r=-572397/1000000 delta=8061/1000000000 v=-164619/250000
104 k=117 r=-1907519/10000000 delta=3971/500000000 v=722761/1000000
105 k=117 r=1872433/10000000 delta=8061/1000000000 v=183097/250000
106 k=117 r=140413/250000 delta=3971/500000000 v=-625531/1000000
107 k=118 r=-797809/1250000 delta=8049/1000000000 v=-831717/1000000
108 k=118 r=-338503/1250000 delta=8049/1000000000 v=93699/200000
109 k=118 r=932533/10000000 delta=8049/1000000000 v=931233/1000000
110 k=118 r=453987/1000000 delta=3977/500000000 v=-242703/1000000
111 k=119 r=-7593383/10000000 delta=8047/1000000000 v=-248643/250000
112 k=119 r=-2025393/5000000 delta=8047/1000000000 v=-24749/500000
113 k=119 r=-539631/10000000 delta=8047/1000000000 v=488397/500000
114 k=119 r=735139/2500000 delta=8047/1000000000 v=76883/200000
115 k=119 r=199699/312500 delta=1989/250000000 v=-416733/500000
116 k=120 r=-1179537/2000000 delta=8063/1000000000 v=-35457/50000
117 k=120 r=-626771/2500000 delta=8063/1000000000 v=134479/250000
118 k=120 r=427321/5000000 delta=397/50000000 v=471067/500000
119 k=120 r=65437/156250 delta=397/50000000 v=-104201/1000000
120 k=120 r=7493447/10000000 delta=8063/1000000000 v=-989619/1000000
121 k=121 r=-4936491/10000000 delta=8033/1000000000 v=-98229/250000
122 k=121 r=-1685443/10000000 delta=797/100000000 v=781221/1000000
123 k=121 r=76953/500000 delta=8033/1000000000 v=816413/1000000
124 k=121 r=2368727/5000000 delta=8033/1000000000 v=-318537/1000000
125 k=122 r=-779779/1000000 delta=3963/500000000 v=-999747/1000000
126 k=122 r=-4650351/10000000 delta=3963/500000000 v=-71331/250000
127 k=122 r=-381959/2500000 delta=8077/1000000000 v=409499/500000
128 k=122 r=392557/2500000 delta=8077/1000000000 v=809151/1000000
129 k=122 r=4644197/10000000 delta=8077/1000000000 v=-282963/1000000
130 k=122 r=7694387/10000000 delta=8077/1000000000 v=-997963/1000000
131 k=123 r=-4986731/10000000 delta=1597/200000000 v=-82263/200000
132 k=123 r=-991457/5000000 delta=1597/200000000 v=701593/1000000
133 k=123 r=99823/1000000 delta=1597/200000000 v=115167/125000
134 k=123 r=3957037/10000000 delta=3197/200000000 v=-6009/500000
135 k=123 r=3446921/5000000 delta=1597/200000000 v=-927153/1000000
136 k=124 r=-2949491/5000000 delta=7911/1000000000 v=-354753/500000
137 k=124 r=-751293/2500000 delta=2023/250000000 v=360429/1000000
