M=46 sgn=-1 N=100 J=4 psi=80837/200000
1 k=0 r=-505231/5000000 delta=21/100000000 v=919423/1000000
2 k=5 r=161647/10000000 delta=3/800000 v=99791/100000
3 k=8 r=-66751/2000000 delta=427/100000000 v=495551/500000
4 k=10 r=333439/2500000 delta=269/100000000 v=861031/1000000
5 k=12 r=-2210331/5000000 delta=413/100000000 v=-49047/250000
6 k=13 r=419177/5000000 delta=321/100000000 v=472149/500000
7 k=14 r=2857719/10000000 delta=29/12500000 v=414787/1000000
8 k=15 r=1252933/5000000 delta=261/100000000 v=269163/500000
9 k=16 r=42869/1250000 delta=373/100000000 v=198121/200000
10 k=17 r=-406069/1250000 delta=111/25000000 v=268057/1000000
11 k=17 r=3856059/5000000 delta=81/25000000 v=-99839/100000
12 k=18 r=2010463/10000000 delta=249/100000000 v=346849/500000
13 k=19 r=-1123147/2500000 delta=57/20000000 v=-112157/500000
14 k=19 r=1007457/2500000 delta=169/50000000 v=-41123/1000000
15 k=20 r=-748791/2000000 delta=467/100000000 v=73149/1000000
16 k=20 r=147119/400000 delta=367/100000000 v=49721/500000
17 k=21 r=-5058157/10000000 delta=69/25000000 v=-87437/200000
18 k=21 r=1515061/10000000 delta=267/100000000 v=821919/1000000
19 k=21 r=7732791/10000000 delta=347/100000000 v=-39953/40000
20 k=22 r=-2076443/10000000 delta=337/100000000 v=13489/20000
21 k=22 r=1767213/5000000 delta=143/50000000 v=156381/1000000
22 k=23 r=-852967/1250000 delta=47/20000000 v=-458141/500000
23 k=23 r=-1711783/10000000 delta=79/20000000 v=3873/5000
24 k=23 r=3182573/10000000 delta=63/20000000 v=146693/500000
25 k=24 r=-7830861/10000000 delta=43/12500000 v=-999957/1000000
26 k=24 r=-3320479/10000000 delta=71/25000000 v=30029/125000
27 k=24 r=1019659/10000000 delta=319/100000000 v=91797/100000
28 k=24 r=2600969/5000000 delta=101/25000000 v=-488159/1000000
29 k=25 r=-1617631/2500000 delta=167/50000000 v=-850751/1000000
30 k=25 r=-514369/2000000 delta=389/100000000 v=5159/10000
31 k=25 r=149873/1250000 delta=227/50000000 v=887183/1000000
32 k=25 r=970017/2000000 delta=217/50000000 v=-72181/200000
33 k=26 r=-3659569/5000000 delta=7/2500000 v=-977203/1000000
34 k=26 r=-3886047/10000000 delta=343/100000000 v=16377/1000000
35 k=26 r=-3453/62500 delta=3/1000000 v=3049/3125
36 k=26 r=268717/1000000 delta=303/100000000 v=59481/125000
37 k=26 r=1459513/2500000 delta=423/100000000 v=-346061/500000
38 k=27 r=-3401531/5000000 delta=291/100000000 v=-912939/1000000
39 k=27 r=-3815881/10000000 delta=29/12500000 v=44429/1000000
40 k=27 r=-452167/5000000 delta=29/12500000 v=187057/200000
41 k=27 r=1935317/10000000 delta=311/100000000 v=89379/125000
42 k=27 r=941307/2000000 delta=49/12500000 v=-306789/1000000
43 k=27 r=7412543/10000000 delta=93/25000000 v=-984451/1000000
44 k=28 r=-2825813/5000000 delta=301/100000000 v=-25457/40000
45 k=28 r=-191703/625000 delta=201/50000000 v=337159/1000000
46 k=28 r=-539673/10000000 delta=231/50000000 v=976791/1000000
47 k=28 r=96677/500000 delta=461/100000000 v=89441/125000
48 k=28 r=2177341/5000000 delta=421/100000000 v=-170243/1000000
49 k=28 r=67259/100000 delta=221/50000000 v=-89991/100000
50 k=29 r=-104043/156250 delta=451/100000000 v=-443937/500000
51 k=29 r=-87629/200000 delta=331/100000000 v=-11299/62500
52 k=29 r=-214837/1000000 delta=391/100000000 v=652931/1000000
53 k=29 r=42173/10000000 delta=391/100000000 v=499929/500000
54 k=29 r=273971/1250000 delta=251/100000000 v=319843/500000
55 k=29 r=4301919/10000000 delta=49/12500000 v=-14941/100000
56 k=29 r=6374047/10000000 delta=103/25000000 v=-829841/1000000
57 k=30 r=-1459693/2000000 delta=303/100000000 v=-487707/500000
58 k=30 r=-2649207/5000000 delta=1/250000 v=-521467/1000000
59 k=30 r=-1666277/5000000 delta=3/1250000 v=235541/1000000
60 k=30 r=-174967/1250000 delta=283/100000000 v=847311/1000000
61 k=30 r=250567/5000000 delta=303/100000000 v=122497/125000
62 k=30 r=1185547/5000000 delta=403/100000000 v=582953/1000000
63 k=30 r=4211133/10000000 delta=17/5000000 v=-28353/250000
64 k=30 r=3011097/5000000 delta=383/100000000 v=-743361/1000000
65 k=30 r=312207/400000 delta=303/100000000 v=-999809/1000000
66 k=31 r=-1536757/2500000 delta=249/100000000 v=-775821/1000000
67 k=31 r=-4417673/10000000 delta=389/100000000 v=-39003/200000
