Mn=435 den=1 sgn=1 N=900 eps=10000 J=112 psi=3331/62500 u900=-95477/250000 d900=137/6250000 r900=-979649/10000000 k900=471
1 k=0 r=-3331/250000 delta=1/1000000000 v=49929/50000
2 k=48 r=-317951/10000000 delta=10923/500000000 v=991923/1000000
3 k=76 r=401187/5000000 delta=21947/1000000000 v=118617/125000
4 k=96 r=-31413/625000 delta=21791/1000000000 v=979859/1000000
5 k=111 r=409163/625000 delta=10899/500000000 v=-17327/20000
6 k=124 r=617717/10000000 delta=5473/250000000 v=969629/1000000
7 k=135 r=-4530993/10000000 delta=21771/1000000000 v=-239257/1000000
8 k=144 r=-137453/2000000 delta=2721/125000000 v=962451/1000000
9 k=152 r=1738041/10000000 delta=2191/100000000 v=153583/200000
10 k=159 r=3180921/5000000 delta=1093/50000000 v=-827107/1000000
11 k=166 r=27971/5000000 delta=21793/1000000000 v=3999/4000
12 k=172 r=21653/500000 delta=5459/250000000 v=492517/500000
13 k=178 r=-1692071/2500000 delta=5481/250000000 v=-453587/500000
14 k=183 r=-94313/200000 delta=5447/250000000 v=-310257/1000000
15 k=187 r=1870569/2500000 delta=5461/250000000 v=-988967/1000000
16 k=192 r=-435961/5000000 delta=21823/1000000000 v=469897/500000
17 k=196 r=1112739/5000000 delta=21909/1000000000 v=629263/1000000
18 k=200 r=310677/2000000 delta=21937/1000000000 v=813091/1000000
19 k=204 r=-2480389/10000000 delta=21937/1000000000 v=273443/500000
20 k=207 r=1235437/2000000 delta=4383/200000000 v=-6267/8000
21 k=211 r=-143813/400000 delta=2727/125000000 v=66139/500000
22 k=214 r=-25743/2000000 delta=4353/200000000 v=39947/40000
23 k=217 r=136091/1250000 delta=21859/1000000000 v=906663/1000000
24 k=220 r=248403/10000000 delta=21781/1000000000 v=248767/250000
25 k=223 r=-1240781/5000000 delta=109/5000000 v=273247/500000
26 k=226 r=-347647/500000 delta=5481/250000000 v=-3743/4000
27 k=228 r=2673709/10000000 delta=4373/200000000 v=480577/1000000
28 k=231 r=-4900307/10000000 delta=21843/1000000000 v=-75913/200000
29 k=233 r=369111/2000000 delta=21929/1000000000 v=369833/500000
30 k=235 r=729751/1000000 delta=10907/500000000 v=-975329/1000000
31 k=238 r=-4167363/10000000 delta=2191/100000000 v=-96001/1000000
32 k=240 r=-1056579/10000000 delta=10939/500000000 v=912013/1000000
33 k=242 r=99161/1000000 delta=21839/1000000000 v=922363/1000000
34 k=244 r=2040821/10000000 delta=21853/1000000000 v=684901/1000000
35 k=246 r=1343/6250 delta=4387/200000000 v=652801/1000000
36 k=248 r=171091/1250000 delta=10941/500000000 v=853833/1000000
37 k=250 r=-125393/5000000 delta=2737/125000000 v=994973/1000000
38 k=252 r=-533009/2000000 delta=21911/1000000000 v=483613/1000000
39 k=254 r=-729077/1250000 delta=10939/500000000 v=-690551/1000000
40 k=255 r=5992529/10000000 delta=5483/250000000 v=-183843/250000
41 k=257 r=285961/2000000 delta=21947/1000000000 v=420431/500000
42 k=259 r=-1889991/5000000 delta=21761/1000000000 v=5877/100000
43 k=260 r=6101473/10000000 delta=4387/200000000 v=-152839/200000
44 k=262 r=-78343/2500000 delta=1091/50000000 v=496077/500000
45 k=264 r=-455633/625000 delta=21897/1000000000 v=-974673/1000000
46 k=265 r=451981/5000000 delta=21799/1000000000 v=935337/1000000
47 k=267 r=-7123863/10000000 delta=10909/500000000 v=-119707/125000
48 k=268 r=31873/5000000 delta=21777/1000000000 v=39987/40000
49 k=269 r=6779163/10000000 delta=21833/1000000000 v=-227249/250000
50 k=271 r=-2666219/10000000 delta=683/31250000 v=241601/500000
51 k=272 r=632229/2000000 delta=21949/1000000000 v=301569/1000000
52 k=274 r=-7137597/10000000 delta=21869/1000000000 v=-119903/125000
53 k=275 r=-2130643/10000000 delta=1361/62500000 v=329143/500000
54 k=276 r=622263/2500000 delta=137/6250000 v=271991/500000
55 k=277 r=1347147/2000000 delta=21913/1000000000 v=-901619/1000000
56 k=279 r=-317817/625000 delta=4381/200000000 v=-223421/500000
57 k=280 r=-1544721/10000000 delta=21891/1000000000 v=12736/15625
58 k=281 r=1660899/10000000 delta=21919/1000000000 v=49207/62500
59 k=282 r=908619/2000000 delta=21877/1000000000 v=-48791/200000
60 k=283 r=7112853/10000000 delta=2187/100000000 v=-956379/1000000
61 k=285 r=-6327459/10000000 delta=5487/250000000 v=-819299/1000000
62 k=286 r=-4352129/10000000 delta=4351/200000000 v=-169237/1000000
63 k=287 r=-2659657/10000000 delta=10931/500000000 v=485499/1000000
64 k=288 r=-9698/78125 delta=21869/1000000000 v=879237/1000000
65 k=289 r=-8849/1000000 delta=1361/62500000 v=499687/500000
66 k=290 r=806953/10000000 delta=2723/125000000 v=948357/1000000
67 k=291 r=726353/5000000 delta=21791/1000000000 v=835869/1000000
68 k=292 r=464041/2500000 delta=10899/500000000 v=184201/250000
69 k=293 r=506099/2500000 delta=4381/200000000 v=689673/1000000
70 k=294 r=122759/625000 delta=2739/125000000 v=706923/1000000
71 k=295 r=1681933/10000000 delta=21819/1000000000 v=782097/1000000
72 k=296 r=1184071/10000000 delta=21827/1000000000 v=889919/1000000
73 k=297 r=476321/10000000 delta=21869/1000000000 v=61369/62500
74 k=298 r=-13611/312500 delta=10881/500000000 v=492431/500000
75 k=299 r=-772947/5000000 delta=4351/200000000 v=50927/62500
76 k=300 r=-1424851/5000000 delta=4371/200000000 v=417703/1000000
77 k=301 r=-4341757/10000000 delta=273/12500000 v=-82573/500000
78 k=302 r=-6017273/10000000 delta=21933/1000000000 v=-742043/1000000
79 k=302 r=783639/1000000 delta=2177/100000000 v=-39999/40000
80 k=303 r=45374/78125 delta=21877/1000000000 v=-341679/500000
81 k=304 r=3609377/10000000 delta=21819/1000000000 v=7919/62500
82 k=305 r=311287/2500000 delta=21891/1000000000 v=878511/1000000
83 k=306 r=-1280793/10000000 delta=10899/500000000 v=871611/1000000
84 k=307 r=-3964693/10000000 delta=21803/500000000 v=-377/25000
85 k=308 r=-1700673/2500000 delta=21813/1000000000 v=-456439/500000
86 k=308 r=1479177/2500000 delta=21813/1000000000 v=-178621/250000
87 k=309 r=2781223/10000000 delta=21883/1000000000 v=442431/1000000
88 k=310 r=-498029/10000000 delta=5469/250000000 v=980223/1000000
89 k=311 r=-1958893/5000000 delta=21869/1000000000 v=1841/500000
90 k=312 r=-1494957/2000000 delta=10921/500000000 v=-988519/1000000
91 k=312 r=4541927/10000000 delta=21821/500000000 v=-121751/500000
92 k=313 r=143861/2000000 delta=10927/500000000 v=958893/1000000
93 k=314 r=-807951/2500000 delta=683/31250000 v=54901/200000
94 k=315 r=-7308629/10000000 delta=273/12500000 v=-976301/1000000
95 k=315 r=839881/2000000 delta=21763/1000000000 v=-87/800
96 k=316 r=-6051/500000 delta=21933/1000000000 v=998829/1000000
97 k=317 r=-2279719/5000000 delta=10913/500000000 v=-250289/1000000
98 k=317 r=3297253/5000000 delta=21777/1000000000 v=-875759/1000000
99 k=318 r=963639/5000000 delta=4377/200000000 v=179319/250000
100 k=319 r=-356373/1250000 delta=5473/250000000 v=417237/1000000
101 k=320 r=-241809/312500 delta=1369/62500000 v=-499461/500000
