Mn=457 den=1 sgn=-1 N=900 eps=10000 J=120 psi=-184849/1000000 u900=-3009/3125 d900=4591/200000000 r900=-3243693/10000000 k900=495
1 k=0 r=462123/10000000 delta=201/1000000000 v=245741/250000
2 k=50 r=3492289/5000000 delta=1143/50000000 v=-470069/500000
3 k=80 r=-1010443/10000000 delta=359/15625000 v=459713/500000
4 k=101 r=-2200873/10000000 delta=359/15625000 v=318441/500000
5 k=117 r=706639/5000000 delta=22861/1000000000 v=422211/500000
6 k=130 r=5512069/10000000 delta=2871/125000000 v=-592397/1000000
7 k=142 r=-1373263/2000000 delta=22921/1000000000 v=-922971/1000000
8 k=151 r=108041/250000 delta=11443/500000000 v=-31441/200000
9 k=160 r=-310369/1250000 delta=22853/1000000000 v=136507/250000
10 k=168 r=-7772287/10000000 delta=4579/200000000 v=-499733/500000
11 k=174 r=6871837/10000000 delta=5713/250000000 v=-923819/1000000
12 k=181 r=-3673381/10000000 delta=23001/1000000000 v=10127/100000
13 k=187 r=-809047/1250000 delta=717/31250000 v=-42557/50000
14 k=192 r=-343803/10000000 delta=23023/1000000000 v=990559/1000000
15 k=197 r=-59231/10000000 delta=22987/1000000000 v=999719/1000000
16 k=202 r=-4863811/10000000 delta=22951/1000000000 v=-366019/1000000
17 k=206 r=783971/5000000 delta=1149/50000000 v=101211/125000
18 k=210 r=4039561/10000000 delta=23009/1000000000 v=-45013/1000000
19 k=214 r=744871/2500000 delta=11519/500000000 v=184997/500000
20 k=218 r=-624887/5000000 delta=22967/1000000000 v=438813/500000
21 k=221 r=7369139/10000000 delta=4603/200000000 v=-981253/1000000
22 k=225 r=-1156807/5000000 delta=11493/500000000 v=601479/1000000
23 k=228 r=674339/5000000 delta=4573/200000000 v=42899/50000
24 k=231 r=2849131/10000000 delta=22943/1000000000 v=41791/100000
25 k=234 r=295547/1250000 delta=23021/1000000000 v=117027/200000
26 k=237 r=6267/1250000 delta=23/1000000 v=999799/1000000
27 k=240 r=-3955461/10000000 delta=11489/500000000 v=-2847/250000
28 k=242 r=617871/1000000 delta=1429/62500000 v=-391877/500000
29 k=245 r=-85337/1000000 delta=23043/1000000000 v=29447/31250
30 k=247 r=100987/156250 delta=919/40000000 v=-849201/1000000
31 k=250 r=-3198261/10000000 delta=5749/250000000 v=143691/500000
32 k=252 r=829351/5000000 delta=22911/1000000000 v=787853/1000000
33 k=254 r=168729/312500 delta=11489/500000000 v=-138869/250000
34 k=257 r=-7617509/10000000 delta=2857/125000000 v=-99553/100000
35 k=259 r=-5915217/10000000 delta=11471/500000000 v=-714067/1000000
36 k=261 r=-514589/1000000 delta=183/8000000 v=-468471/1000000
37 k=263 r=-5258459/10000000 delta=2289/100000000 v=-126941/250000
38 k=265 r=-6205967/10000000 delta=2863/125000000 v=-790479/1000000
39 k=266 r=3881539/5000000 delta=1437/62500000 v=-999339/1000000
40 k=268 r=2636369/5000000 delta=22977/1000000000 v=-128169/250000
41 k=270 r=2068107/10000000 delta=22963/1000000000 v=169227/250000
42 k=272 r=-1816311/10000000 delta=11477/500000000 v=23359/31250
43 k=274 r=-3174321/5000000 delta=11517/500000000 v=-12877/15625
44 k=275 r=4208899/10000000 delta=5719/250000000 v=-28131/250000
45 k=277 r=-765927/5000000 delta=23013/1000000000 v=409037/500000
46 k=279 r=-7836887/10000000 delta=11449/500000000 v=-999977/1000000
47 k=280 r=513049/5000000 delta=5753/250000000 v=458473/500000
48 k=282 r=-6336319/10000000 delta=11513/500000000 v=-410663/500000
49 k=283 r=1513153/10000000 delta=2297/100000000 v=411177/500000
50 k=285 r=-3410537/5000000 delta=5737/250000000 v=-183171/200000
51 k=286 r=95433/10000000 delta=4571/200000000 v=999271/1000000
52 k=287 r=6572649/10000000 delta=11431/500000000 v=-174301/200000
53 k=289 r=-3080709/10000000 delta=5719/250000000 v=66417/200000
54 k=290 r=641763/2500000 delta=5721/250000000 v=258771/500000
55 k=291 r=1564587/2000000 delta=5753/250000000 v=-999923/1000000
56 k=293 r=-601371/2000000 delta=11449/500000000 v=359801/1000000
57 k=294 r=60279/400000 delta=179/7812500 v=823757/1000000
58 k=295 r=5669143/10000000 delta=5721/250000000 v=-320907/500000
59 k=297 r=-6216431/10000000 delta=11517/500000000 v=-198259/250000
60 k=298 r=-2722283/10000000 delta=11431/500000000 v=463449/1000000
61 k=299 r=454479/10000000 delta=4571/200000000 v=983521/1000000
62 k=300 r=3324137/10000000 delta=4571/200000000 v=238811/1000000
63 k=301 r=5896631/10000000 delta=22963/1000000000 v=-708843/1000000
64 k=303 r=-7526863/10000000 delta=22877/1000000000 v=-247863/250000
65 k=304 r=-2760639/5000000 delta=22919/1000000000 v=-595361/1000000
66 k=305 r=-1893061/5000000 delta=22991/1000000000 v=28159/500000
67 k=306 r=-462657/2000000 delta=4581/200000000 v=37599/62500
68 k=307 r=-273749/2500000 delta=11503/500000000 v=452801/500000
69 k=308 r=-123831/10000000 delta=2299/100000000 v=499387/500000
70 k=309 r=9489/156250 delta=573/25000000 v=12133/12500
71 k=310 r=552619/5000000 delta=5719/250000000 v=903857/1000000
72 k=311 r=1376623/10000000 delta=11517/500000000 v=170437/200000
73 k=312 r=285501/2000000 delta=11521/500000000 v=10517/12500
74 k=313 r=1263939/10000000 delta=11477/500000000 v=54681/62500
75 k=314 r=222967/2500000 delta=5739/250000000 v=468519/500000
76 k=315 r=63309/2000000 delta=9/390625 v=198399/200000
77 k=316 r=-14267/312500 delta=23033/1000000000 v=245843/250000
78 k=317 r=-355593/2500000 delta=22977/1000000000 v=210617/250000
79 k=318 r=-644007/2500000 delta=4577/200000000 v=257233/500000
80 k=319 r=-489089/1250000 delta=1437/62500000 v=5711/1000000
81 k=320 r=-5427969/10000000 delta=22999/1000000000 v=-112993/200000
82 k=321 r=-7117343/10000000 delta=11503/500000000 v=-478451/500000
83 k=321 r=1682839/2500000 delta=22897/1000000000 v=-45043/50000
84 k=322 r=147067/312500 delta=4579/100000000 v=-3833/12500
85 k=323 r=3936/15625 delta=11441/500000000 v=266939/500000
86 k=324 r=173757/10000000 delta=1433/62500000 v=498793/500000
87 k=325 r=-1162939/5000000 delta=4587/200000000 v=37347/62500
88 k=326 r=-622069/1250000 delta=22961/1000000000 v=-1019/2500
89 k=327 r=-1943709/2500000 delta=22949/1000000000 v=-999499/1000000
90 k=327 r=4990659/10000000 delta=11427/500000000 v=-206373/500000
91 k=328 r=1907149/10000000 delta=45847/1000000000 v=722863/1000000
92 k=329 r=-657187/5000000 delta=5741/250000000 v=216237/250000
93 k=330 r=-1167721/2500000 delta=22971/1000000000 v=-146593/500000
94 k=330 r=471781/625000 delta=22871/1000000000 v=-31017/31250
95 k=331 r=1965291/5000000 delta=11439/500000000 v=-359/250000
96 k=332 r=186079/10000000 delta=4577/200000000 v=997231/1000000
97 k=333 r=-736477/2000000 delta=1437/62500000 v=48843/500000
98 k=334 r=-7672297/10000000 delta=22999/1000000000 v=-12467/12500
99 k=334 r=196341/500000 delta=22999/1000000000 v=17/250000
100 k=335 r=-74669/2500000 delta=1431/62500000 v=124109/125000
101 k=336 r=-4638307/10000000 delta=11457/500000000 v=-280703/1000000
102 k=336 r=3308973/5000000 delta=11507/500000000 v=-880247/1000000
103 k=337 r=2056327/10000000 delta=23021/1000000000 v=680369/1000000
104 k=338 r=-653229/2500000 delta=183/8000000 v=250879/500000
105 k=339 r=-295509/400000 delta=4607/200000000 v=-982659/1000000
106 k=339 r=3441689/10000000 delta=2871/125000000 v=24113/125000
107 k=340 r=-1538427/10000000 delta=23043/1000000000 v=816559/1000000
108 k=341 r=-6618399/10000000 delta=22953/1000000000 v=-880333/1000000
109 k=341 r=3911567/10000000 delta=459/20000000 v=6169/1000000
110 k=342 r=-272503/2000000 delta=22957/1000000000 v=213781/250000
111 k=343 r=-841371/1250000 delta=22939/1000000000 v=-112599/125000
112 k=343 r=1757829/5000000 delta=5741/250000000 v=10237/62500
113 k=344 r=-2036623/10000000 delta=22871/1000000000 v=171531/250000
114 k=345 r=-1919619/2500000 delta=917/40000000 v=-997537/1000000
115 k=345 r=17967/78125 delta=921/40000000 v=605891/1000000
116 k=346 r=-1758211/5000000 delta=22917/1000000000 v=16349/100000
117 k=346 r=629057/1000000 delta=11493/500000000 v=-3243/4000
118 k=347 r=306081/10000000 delta=2291/100000000 v=198503/200000
119 k=348 r=-5760553/10000000 delta=229/10000000 v=-334709/500000
120 k=348 r=380023/1000000 delta=23/1000000 v=50683/1000000
121 k=349 r=-485271/2000000 delta=5749/250000000 v=141213/250000
122 k=349 r=218031/312500 delta=23007/1000000000 v=-9391/10000
123 k=350 r=595599/10000000 delta=11507/500000000 v=194351/200000
124 k=351 r=-2930657/5000000 delta=22981/1000000000 v=-87351/125000
125 k=351 r=132619/400000 delta=11461/500000000 v=121087/500000
126 k=352 r=-164441/500000 delta=11437/500000000 v=50501/200000
127 k=352 r=5742757/10000000 delta=22929/1000000000 v=-664113/1000000
128 k=353 r=-20087/200000 delta=5759/250000000 v=460191/500000
129 k=354 r=-156423/200000 delta=22943/1000000000 v=-499957/500000
130 k=354 r=200247/2000000 delta=22943/1000000000 v=920869/1000000
131 k=355 r=-1190373/2000000 delta=459/20000000 v=-181063/250000
132 k=355 r=273639/1000000 delta=22953/1000000000 v=458441/1000000
133 k=356 r=-4348897/10000000 delta=22857/1000000000 v=-167963/1000000
134 k=356 r=4209171/10000000 delta=45857/1000000000 v=-112633/1000000
135 k=357 r=-1502181/5000000 delta=4593/200000000 v=360731/1000000
136 k=357 r=2713701/5000000 delta=4573/200000000 v=-282389/500000
137 k=358 r=-477623/2500000 delta=2859/125000000 v=360969/500000
138 k=358 r=799821/1250000 delta=5743/250000000 v=-417637/500000
139 k=359 r=-1060203/10000000 delta=5731/250000000 v=911417/1000000
140 k=359 r=445613/625000 delta=1439/62500000 v=-479169/500000
141 k=360 r=-17861/400000 delta=11493/500000000 v=246023/250000
142 k=360 r=7627751/10000000 delta=11493/500000000 v=-248977/250000
143 k=361 r=-12521/2000000 delta=2301/100000000 v=499843/500000
144 k=362 r=-3904471/5000000 delta=23001/1000000000 v=-499919/500000
145 k=362 r=97729/10000000 delta=22901/1000000000 v=249809/250000
146 k=363 r=-3878973/5000000 delta=5727/250000000 v=-499631/500000
147 k=363 r=8129/2000000 delta=719/31250000 v=249967/250000
148 k=363 r=1946613/2500000 delta=5727/250000000 v=-199927/200000
149 k=364 r=-113901/5000000 delta=4583/200000000 v=995851/1000000
150 k=364 r=3707133/5000000 delta=2861/125000000 v=-246143/250000
151 k=365 r=-351121/5000000 delta=22981/1000000000 v=960807/1000000
152 k=365 r=3419529/5000000 delta=22881/1000000000 v=-2871/3125
153 k=366 r=-344269/2500000 delta=11487/500000000 v=85209/100000
154 k=366 r=6065969/10000000 delta=11437/500000000 v=-754959/1000000
155 k=367 r=-2247163/10000000 delta=22867/1000000000 v=311249/500000
156 k=367 r=255007/500000 delta=22967/1000000000 v=-226113/500000
157 k=368 r=-826869/2500000 delta=5761/250000000 v=122639/500000
158 k=368 r=789297/2000000 delta=5761/250000000 v=-3899/500000
159 k=369 r=-2276609/5000000 delta=2869/125000000 v=-6197/25000
160 k=369 r=13049/50000 delta=2869/125000000 v=125709/250000
161 k=370 r=-5979817/10000000 delta=4589/200000000 v=-731917/1000000
162 k=370 r=1094543/10000000 delta=4589/200000000 v=905679/1000000
163 k=371 r=-7582589/10000000 delta=4593/200000000 v=-994113/1000000
164 k=371 r=-594831/10000000 delta=11469/500000000 v=971827/1000000
