M=68 sgn=-1 N=100 J=8 psi=-540841/1000000
1 k=0 r=676051/5000000 delta=21/100000000 v=214319/250000
2 k=8 r=-6476583/10000000 delta=547/100000000 v=-852023/1000000
3 k=12 r=-47421/1250000 delta=59/10000000 v=247127/250000
4 k=15 r=701347/5000000 delta=191/50000000 v=423341/500000
5 k=18 r=-973349/1250000 delta=629/100000000 v=-999639/1000000
6 k=19 r=749991/1000000 delta=93/20000000 v=-989987/1000000
7 k=21 r=2289599/10000000 delta=89/25000000 v=4873/8000
8 k=23 r=-6425991/10000000 delta=83/20000000 v=-168251/200000
9 k=24 r=-1055419/5000000 delta=519/100000000 v=166057/250000
10 k=25 r=46243/5000000 delta=609/100000000 v=249829/250000
11 k=26 r=587253/10000000 delta=23/5000000 v=972537/1000000
12 k=27 r=-41097/1250000 delta=93/25000000 v=198273/200000
13 k=28 r=-2429479/10000000 delta=181/50000000 v=563821/1000000
14 k=29 r=-5539087/10000000 delta=511/100000000 v=-601069/1000000
15 k=29 r=6189701/10000000 delta=711/100000000 v=-786477/1000000
16 k=30 r=1453287/10000000 delta=27/5000000 v=835741/1000000
17 k=31 r=-3948491/10000000 delta=409/100000000 v=-43/5000
18 k=31 r=144211/250000 delta=197/50000000 v=-335879/500000
19 k=32 r=-11689/156250 delta=131/25000000 v=955561/1000000
20 k=33 r=-7736199/10000000 delta=99/20000000 v=-99889/100000
21 k=33 r=558129/10000000 delta=107/25000000 v=975183/1000000
22 k=34 r=-905179/1250000 delta=173/50000000 v=-970133/1000000
23 k=34 r=39421/1250000 delta=577/100000000 v=496027/500000
24 k=34 r=3775251/5000000 delta=497/100000000 v=-992641/1000000
25 k=35 r=-608861/5000000 delta=263/50000000 v=883699/1000000
26 k=35 r=5449799/10000000 delta=223/50000000 v=-572149/1000000
27 k=36 r=-960577/2500000 delta=447/100000000 v=33867/1000000
28 k=36 r=2340191/10000000 delta=159/25000000 v=74119/125000
29 k=37 r=-925281/1250000 delta=101/20000000 v=-983719/1000000
30 k=37 r=-204873/1250000 delta=269/50000000 v=396343/500000
31 k=37 r=1967643/5000000 delta=133/20000000 v=-1659/500000
32 k=38 r=-6375399/10000000 delta=347/50000000 v=-830143/1000000
33 k=38 r=-1144217/10000000 delta=389/100000000 v=897077/1000000
34 k=38 r=3930787/10000000 delta=267/50000000 v=-759/500000
35 k=39 r=-1369859/2000000 delta=1/250000 v=-920329/1000000
36 k=39 r=-1030123/5000000 delta=443/100000000 v=679219/1000000
37 k=39 r=129879/500000 delta=603/100000000 v=101411/200000
38 k=39 r=3565591/5000000 delta=1/250000 v=-191699/200000
39 k=40 r=-4160949/10000000 delta=393/100000000 v=-93447/1000000
40 k=40 r=71539/5000000 delta=353/100000000 v=998363/1000000
41 k=40 r=4340823/10000000 delta=9/2000000 v=-82389/500000
42 k=41 r=-7270557/10000000 delta=291/50000000 v=-972893/1000000
43 k=41 r=-817593/2500000 delta=291/50000000 v=129819/500000
44 k=41 r=318923/5000000 delta=231/50000000 v=241907/250000
45 k=41 r=4458231/10000000 delta=581/100000000 v=-2109/10000
46 k=42 r=-3756659/5000000 delta=79/12500000 v=-99073/100000
47 k=42 r=-3857263/10000000 delta=691/100000000 v=1743/62500
48 k=42 r=-278183/10000000 delta=611/100000000 v=124227/125000
49 k=42 r=645419/2000000 delta=79/12500000 v=69079/250000
50 k=42 r=1665389/2500000 delta=651/100000000 v=-88839/100000
51 k=43 r=-5679961/10000000 delta=481/100000000 v=-322563/500000
52 k=43 r=-1189443/5000000 delta=561/100000000 v=290209/500000
53 k=43 r=859307/10000000 delta=601/100000000 v=941507/1000000
54 k=43 r=4036969/10000000 delta=401/100000000 v=-43977/1000000
55 k=43 r=7156323/10000000 delta=281/50000000 v=-480657/500000
56 k=44 r=-2744247/5000000 delta=613/100000000 v=-292387/500000
57 k=44 r=-1239783/5000000 delta=453/100000000 v=273581/500000
58 k=44 r=47703/1000000 delta=63/10000000 v=981851/1000000
59 k=44 r=845771/2500000 delta=39/10000000 v=4317/20000
60 k=44 r=3120147/5000000 delta=413/100000000 v=-399407/500000
61 k=45 r=-832211/1250000 delta=53/12500000 v=-887679/1000000
62 k=45 r=-19467/50000 delta=17/3125000 v=3359/250000
63 k=45 r=-586671/5000000 delta=539/100000000 v=222967/250000
64 k=45 r=1503879/10000000 delta=17/3125000 v=824459/1000000
65 k=45 r=4139591/10000000 delta=29/6250000 v=-42469/500000
66 k=45 r=6735061/10000000 delta=419/100000000 v=-450751/500000
67 k=46 r=-6416463/10000000 delta=71/12500000 v=-209797/250000
68 k=46 r=-1948949/5000000 delta=81/12500000 v=11637/1000000
69 k=46 r=-1416103/10000000 delta=43/6250000 v=105477/125000
70 k=46 r=1029983/10000000 delta=51/12500000 v=229081/250000
71 k=46 r=3441371/10000000 delta=103/20000000 v=193029/1000000
72 k=46 r=727379/1250000 delta=71/12500000 v=-68661/100000
73 k=47 r=-7544067/10000000 delta=219/50000000 v=-496163/500000
74 k=47 r=-2615553/5000000 delta=121/20000000 v=-124577/250000
75 k=47 r=-368649/1250000 delta=299/50000000 v=47653/125000
76 k=47 r=-21797/312500 delta=219/50000000 v=961331/1000000
77 k=47 r=6099/40000 delta=279/50000000 v=163941/200000
78 k=47 r=3718329/10000000 delta=259/50000000 v=10421/125000
79 k=47 r=5883963/10000000 delta=179/50000000 v=-705259/1000000
80 k=48 r=-7685607/10000000 delta=467/100000000 v=-997733/1000000
81 k=48 r=-5573779/10000000 delta=347/100000000 v=-612101/1000000
82 k=48 r=-3487863/10000000 delta=387/100000000 v=174749/1000000
83 k=48 r=-44601/312500 delta=667/100000000 v=841419/1000000
84 k=48 r=608721/10000000 delta=707/100000000 v=970503/1000000
85 k=48 r=2620579/10000000 delta=47/12500000 v=15597/31250
86 k=48 r=2304453/5000000 delta=41/6250000 v=-67349/250000
87 k=48 r=1314849/2000000 delta=587/100000000 v=-435909/500000
88 k=49 r=-179771/250000 delta=77/12500000 v=-38601/40000
89 k=49 r=-1053983/2000000 delta=467/100000000 v=-255853/500000
90 k=49 r=-1685227/5000000 delta=467/100000000 v=220781/1000000
91 k=49 r=-745991/5000000 delta=707/100000000 v=413571/500000
92 k=49 r=9149/250000 delta=507/100000000 v=197861/200000
93 k=49 r=275477/1250000 delta=627/100000000 v=317987/500000
94 k=49 r=804403/2000000 delta=547/100000000 v=-38001/1000000
95 k=49 r=5820973/10000000 delta=587/100000000 v=-27487/40000
96 k=49 r=3800547/5000000 delta=587/100000000 v=-124361/125000
97 k=50 r=-1269039/2000000 delta=517/100000000 v=-411673/500000
98 k=50 r=-460159/1000000 delta=517/100000000 v=-266577/1000000
99 k=50 r=-2875687/10000000 delta=183/50000000 v=408237/1000000
100 k=50 r=-116713/1000000 delta=557/100000000 v=89299/100000
