M=39 sgn=-1 N=100 J=3 psi=721/1000000
1 k=0 r=-901/5000000 delta=21/100000000 v=1/1
2 k=4 r=949639/2000000 delta=167/50000000 v=-161303/500000
3 k=7 r=-2842847/10000000 delta=357/100000000 v=420193/1000000
4 k=9 r=-1552443/2500000 delta=57/25000000 v=-79141/100000
5 k=10 r=-161239/10000000 delta=177/50000000 v=997921/1000000
6 k=11 r=38143/200000 delta=279/100000000 v=722863/1000000
7 k=12 r=614439/5000000 delta=1/500000 v=440801/500000
8 k=13 r=-58391/400000 delta=121/50000000 v=834313/1000000
9 k=14 r=-1420973/2500000 delta=151/50000000 v=-646327/1000000
10 k=14 r=2294379/5000000 delta=11/3125000 v=-130813/500000
11 k=15 r=-913231/5000000 delta=151/50000000 v=46549/62500
12 k=15 r=6657147/10000000 delta=101/50000000 v=-887579/1000000
13 k=16 r=-311663/2500000 delta=243/100000000 v=54889/62500
14 k=16 r=47831/80000 delta=27/10000000 v=-36583/50000
15 k=17 r=-3002283/10000000 delta=369/100000000 v=180753/500000
16 k=17 r=1645111/5000000 delta=319/100000000 v=125981/500000
17 k=18 r=-162671/250000 delta=209/100000000 v=-107287/125000
18 k=18 r=-186779/2000000 delta=7/3125000 v=186207/200000
19 k=18 r=4337659/10000000 delta=19/6250000 v=-16353/100000
20 k=19 r=-796151/1250000 delta=57/20000000 v=-828759/1000000
21 k=19 r=-1612167/10000000 delta=31/12500000 v=39959/50000
22 k=19 r=584707/2000000 delta=9/4000000 v=390691/1000000
23 k=19 r=7257581/10000000 delta=87/25000000 v=-971679/1000000
24 k=20 r=-4300819/10000000 delta=257/100000000 v=-5959/40000
25 k=20 r=-12827/400000 delta=297/100000000 v=198357/200000
26 k=20 r=700669/2000000 delta=227/100000000 v=21081/125000
27 k=20 r=7183027/10000000 delta=69/25000000 v=-964201/1000000
28 k=21 r=-4979091/10000000 delta=21/6250000 v=-408527/1000000
29 k=21 r=-194711/1250000 delta=143/50000000 v=101511/125000
30 k=21 r=873857/5000000 delta=337/100000000 v=765431/1000000
31 k=21 r=4944721/10000000 delta=193/50000000 v=-395941/1000000
32 k=22 r=-239617/312500 delta=193/50000000 v=-997227/1000000
33 k=22 r=-4667507/10000000 delta=247/100000000 v=-145947/500000
34 k=22 r=-1756843/10000000 delta=143/50000000 v=190769/250000
35 k=22 r=534721/5000000 delta=257/100000000 v=90989/100000
36 k=22 r=1908051/5000000 delta=123/50000000 v=44341/1000000
37 k=22 r=3243751/5000000 delta=173/50000000 v=-854301/1000000
38 k=23 r=-6620307/10000000 delta=119/50000000 v=-176139/200000
39 k=23 r=-4087697/10000000 delta=41/20000000 v=-32119/500000
40 k=23 r=-1619211/10000000 delta=13/6250000 v=797483/1000000
41 k=23 r=788319/10000000 delta=67/25000000 v=190139/200000
42 k=23 r=313783/1000000 delta=13/4000000 v=19403/62500
43 k=23 r=2716027/5000000 delta=63/20000000 v=-566313/1000000
44 k=23 r=1918383/2500000 delta=49/20000000 v=-249349/250000
45 k=24 r=-45651/78125 delta=359/100000000 v=-693643/1000000
46 k=24 r=-740077/2000000 delta=369/100000000 v=45259/500000
47 k=24 r=-160353/1000000 delta=197/50000000 v=200313/250000
48 k=24 r=224589/5000000 delta=167/50000000 v=983903/1000000
49 k=24 r=1229779/5000000 delta=379/100000000 v=553843/1000000
50 k=24 r=2214661/5000000 delta=187/50000000 v=-199583/1000000
51 k=24 r=3180039/5000000 delta=137/50000000 v=-82671/100000
52 k=25 r=-3727311/5000000 delta=167/50000000 v=-246817/250000
53 k=25 r=-5597423/10000000 delta=177/50000000 v=-619553/1000000
54 k=25 r=-188747/500000 delta=7/3125000 v=60783/1000000
55 k=25 r=-1985899/10000000 delta=319/100000000 v=350371/500000
56 k=25 r=-114547/5000000 delta=369/100000000 v=248951/250000
57 k=25 r=748307/5000000 delta=249/100000000 v=8261/10000
58 k=25 r=3192309/10000000 delta=91/25000000 v=289661/1000000
59 k=25 r=4859017/10000000 delta=51/25000000 v=-182117/500000
60 k=25 r=6497711/10000000 delta=259/100000000 v=-26763/31250
61 k=26 r=-3799323/5000000 delta=3/1250000 v=-994789/1000000
62 k=26 r=-1202649/2000000 delta=33/10000000 v=-370481/500000
63 k=26 r=-1113303/2500000 delta=303/100000000 v=-104469/500000
64 k=26 r=-2917747/10000000 delta=1/312500 v=392821/1000000
65 k=26 r=-1406089/10000000 delta=13/5000000 v=845959/1000000
66 k=26 r=8249/1000000 delta=223/100000000 v=31233/31250
67 k=26 r=1548683/10000000 delta=313/100000000 v=101773/125000
68 k=26 r=1496577/5000000 delta=363/100000000 v=364909/1000000
69 k=26 r=4416537/10000000 delta=363/100000000 v=-194569/1000000
70 k=26 r=5819439/10000000 delta=213/100000000 v=-686729/1000000
71 k=26 r=7202441/10000000 delta=1/312500 v=-966231/1000000
72 k=27 r=-892733/1250000 delta=39/12500000 v=-191941/200000
73 k=27 r=-1159403/2000000 delta=111/50000000 v=-680181/1000000
74 k=27 r=-69851/156250 delta=371/100000000 v=-215681/1000000
75 k=27 r=-79043/250000 delta=11/3125000 v=6027/20000
76 k=27 r=-187031/1000000 delta=29/12500000 v=366483/500000
77 k=27 r=-297891/5000000 delta=151/50000000 v=485869/500000
78 k=27 r=6623/100000 delta=141/50000000 v=965113/1000000
79 k=27 r=380871/2000000 delta=211/100000000 v=144727/200000
80 k=27 r=1565393/5000000 delta=131/50000000 v=501/1600
81 k=27 r=2170991/5000000 delta=221/100000000 v=-33047/200000
82 k=27 r=1384579/2500000 delta=101/50000000 v=-600823/1000000
83 k=27 r=6720149/10000000 delta=171/50000000 v=-179781/200000
84 k=28 r=-977517/1250000 delta=49/12500000 v=-249977/250000
