Mn=399 den=2 N=250 errco=5102 C250=571493/62500
2 k=22 r=131949/10000000 delta=2511/250000000 v=998607/1000000
3 k=35 r=-369171/2000000 delta=101/10000000 v=369793/500000
4 k=44 r=263923/10000000 delta=5043/500000000 v=994433/1000000
5 k=51 r=1601051/10000000 delta=5009/500000000 v=160369/200000
6 k=57 r=-1713881/10000000 delta=5071/500000000 v=774069/1000000
7 k=62 r=-674207/2000000 delta=10097/1000000000 v=110277/500000
8 k=66 r=395897/10000000 delta=633/62500000 v=987487/1000000
9 k=70 r=-922921/2500000 delta=5077/500000000 v=2937/31250
10 k=73 r=69319/400000 delta=10027/1000000000 v=192303/250000
11 k=76 r=268131/1250000 delta=10147/1000000000 v=653937/1000000
12 k=79 r=-790953/5000000 delta=10169/1000000000 v=806397/1000000
13 k=81 r=865433/1250000 delta=10133/1000000000 v=-931527/1000000
14 k=84 r=-3239061/10000000 delta=2011/200000000 v=8491/31250
15 k=86 r=-244779/10000000 delta=5017/500000000 v=99521/100000
16 k=88 r=527871/10000000 delta=1017/100000000 v=977791/1000000
17 k=90 r=-40721/625000 delta=2011/200000000 v=120779/125000
18 k=92 r=-355971/1000000 delta=79/7812500 v=9149/62500
19 k=93 r=3849171/5000000 delta=5067/500000000 v=-998063/1000000
20 k=95 r=1864949/10000000 delta=10069/1000000000 v=734423/1000000
21 k=97 r=-1043373/2000000 delta=4999/500000000 v=-493361/1000000
22 k=98 r=1138511/5000000 delta=2021/200000000 v=613107/1000000
23 k=100 r=-696857/1000000 delta=5067/500000000 v=-937937/1000000
24 k=101 r=-362483/2500000 delta=10127/1000000000 v=418239/500000
25 k=102 r=3202077/10000000 delta=5017/500000000 v=285919/1000000
26 k=103 r=3527719/5000000 delta=10091/1000000000 v=-949419/1000000
27 k=105 r=-2768757/5000000 delta=2011/200000000 v=-300283/500000
28 k=106 r=-3107087/10000000 delta=10013/1000000000 v=161057/500000
29 k=107 r=-82079/625000 delta=1017/100000000 v=865171/1000000
30 k=108 r=-22571/2000000 delta=5063/500000000 v=998981/1000000
31 k=109 r=106629/2000000 delta=2521/250000000 v=977347/1000000
32 k=110 r=329923/5000000 delta=10141/1000000000 v=96537/100000
33 k=111 r=149609/5000000 delta=157/15625000 v=496423/500000
34 k=112 r=-259781/5000000 delta=10097/1000000000 v=489241/500000
