Mn=254 den=1 sgn=-1 N=250 J=55 psi=563/31250 u250=479399/500000 d250=129/10000000 r250=1603427/5000000 k250=223
1 k=0 r=-563/125000 delta=1/1000000000 v=499919/500000
2 k=28 r=280429/10000000 delta=12803/1000000000 v=198743/200000
3 k=44 r=1284671/2000000 delta=12717/1000000000 v=-210171/250000
4 k=56 r=605929/10000000 delta=12799/1000000000 v=242693/250000
5 k=65 r=465223/5000000 delta=399/31250000 v=931537/1000000
6 k=72 r=1349771/2000000 delta=2577/200000000 v=-225969/250000
7 k=79 r=-5321193/10000000 delta=6367/500000000 v=-26461/50000
8 k=84 r=93143/1000000 delta=2561/200000000 v=465697/500000
9 k=89 r=-1408091/5000000 delta=12863/1000000000 v=429847/1000000
10 k=93 r=1255883/10000000 delta=12769/1000000000 v=219113/250000
11 k=97 r=-1053993/10000000 delta=6399/500000000 v=912437/1000000
12 k=100 r=1768589/2500000 delta=12719/1000000000 v=-118971/125000
13 k=104 r=-4930383/10000000 delta=2571/200000000 v=-97667/250000
14 k=107 r=-1248923/2500000 delta=1287/100000000 v=-414579/1000000
15 k=109 r=7398873/10000000 delta=3221/250000000 v=-245869/250000
16 k=112 r=125693/1000000 delta=12797/1000000000 v=701/800
17 k=115 r=-7370339/10000000 delta=3219/250000000 v=-196269/200000
18 k=117 r=-2490681/10000000 delta=6371/500000000 v=108687/200000
19 k=119 r=26629/625000 delta=12847/1000000000 v=985513/1000000
20 k=121 r=1581383/10000000 delta=12833/1000000000 v=806521/1000000
21 k=123 r=573617/5000000 delta=2557/200000000 v=896543/1000000
22 k=125 r=-728493/10000000 delta=3201/250000000 v=957843/1000000
23 k=127 r=-1958763/5000000 delta=12813/1000000000 v=1893/500000
24 k=128 r=462491/625000 delta=12883/1000000000 v=-983547/1000000
25 k=130 r=19059/100000 delta=2547/200000000 v=90401/125000
26 k=132 r=-2302441/5000000 delta=12749/1000000000 v=-133923/500000
27 k=133 r=730449/2000000 delta=12747/1000000000 v=109677/1000000
28 k=135 r=-291887/625000 delta=3183/250000000 v=-292921/1000000
