Mn=435 den=2 N=250 errco=6051 C250=2862383/250000
146 k=173 r=-7641529/10000000 delta=2761/250000000 v=-996391/1000000
147 k=173 r=-1964973/5000000 delta=5497/500000000 v=-591/500000
148 k=173 r=-60871/2500000 delta=2761/250000000 v=995261/1000000
149 k=173 r=1709091/5000000 delta=11059/1000000000 v=202121/1000000
150 k=173 r=881909/1250000 delta=171/15625000 v=-474699/500000
151 k=174 r=-503969/1000000 delta=10951/1000000000 v=-43053/100000
152 k=174 r=-4533/31250 delta=2763/250000000 v=41817/50000
153 k=174 r=2115027/10000000 delta=11001/1000000000 v=26519/40000
154 k=174 r=1131479/2000000 delta=10951/1000000000 v=-638203/1000000
155 k=175 r=-6531147/10000000 delta=2209/200000000 v=-172649/200000
156 k=175 r=-606869/2000000 delta=2199/200000000 v=4369/12500
157 k=175 r=440109/10000000 delta=2179/200000000 v=30767/31250
158 k=175 r=3892487/10000000 delta=5529/500000000 v=13801/1000000
159 k=175 r=3661557/5000000 delta=2179/200000000 v=-977539/1000000
160 k=176 r=-2487877/5000000 delta=2193/200000000 v=-407309/1000000
161 k=176 r=-19849/125000 delta=5469/500000000 v=201243/250000
162 k=176 r=88949/500000 delta=5469/500000000 v=757323/1000000
163 k=176 r=5125163/10000000 delta=2747/250000000 v=-461131/1000000
164 k=177 r=-1814279/2500000 delta=2743/250000000 v=-194327/200000
165 k=177 r=-197583/500000 delta=10881/1000000000 v=-2467/250000
166 k=177 r=-666159/10000000 delta=5511/500000000 v=241177/250000
167 k=177 r=1299829/5000000 delta=173/15625000 v=253169/500000
168 k=177 r=5845899/10000000 delta=11031/1000000000 v=-43399/62500
169 k=178 r=-829377/1250000 delta=11029/1000000000 v=-441733/500000
170 k=178 r=-685411/2000000 delta=5537/500000000 v=49661/250000
171 k=178 r=-118953/5000000 delta=11029/1000000000 v=39819/40000
172 k=178 r=586529/2000000 delta=5537/500000000 v=193667/500000
173 k=178 r=6084819/10000000 delta=11029/1000000000 v=-379941/500000
174 k=179 r=-6489133/10000000 delta=5483/500000000 v=-10683/12500
175 k=179 r=-674613/2000000 delta=1377/125000000 v=109881/500000
176 k=179 r=-274777/10000000 delta=10937/1000000000 v=496983/500000
177 k=179 r=1403001/5000000 delta=11037/1000000000 v=5419/12500
178 k=179 r=293469/500000 delta=1377/125000000 v=-87639/125000
179 k=180 r=-1698083/2500000 delta=5497/500000000 v=-911179/1000000
180 k=180 r=-3763101/10000000 delta=5447/500000000 v=65509/1000000
181 k=180 r=-750617/10000000 delta=5497/500000000 v=14926/15625
182 k=180 r=561307/2500000 delta=5497/500000000 v=9736/15625
183 k=180 r=2612353/5000000 delta=171/15625000 v=-496087/1000000
184 k=181 r=-7520037/10000000 delta=11051/1000000000 v=-247773/250000
185 k=181 r=-2286429/5000000 delta=10901/1000000000 v=-255483/1000000
186 k=181 r=-1641611/10000000 delta=2763/250000000 v=158409/200000
187 k=181 r=1273977/10000000 delta=10901/1000000000 v=54559/62500
188 k=181 r=4173959/10000000 delta=10951/1000000000 v=-98627/1000000
189 k=181 r=7058607/10000000 delta=10901/1000000000 v=-118727/125000
190 k=182 r=-1444997/2500000 delta=2209/200000000 v=-675173/1000000
191 k=182 r=-1462813/5000000 delta=43/3906250 v=389921/1000000
192 k=182 r=-43109/5000000 delta=5479/500000000 v=199881/200000
193 k=182 r=1369227/5000000 delta=2199/200000000 v=457707/1000000
194 k=182 r=2774277/5000000 delta=2199/200000000 v=-604091/1000000
195 k=183 r=-7363773/10000000 delta=2747/250000000 v=-980837/1000000
196 k=183 r=-4582437/10000000 delta=2183/200000000 v=-51837/200000
197 k=183 r=-1815239/10000000 delta=1361/125000000 v=186943/250000
198 k=183 r=93793/1000000 delta=5519/500000000 v=186089/200000
199 k=183 r=1838617/5000000 delta=5469/500000000 v=99737/1000000
200 k=183 r=6402781/10000000 delta=1361/125000000 v=-836199/1000000
201 k=184 r=-263727/400000 delta=549/50000000 v=-437751/500000
202 k=184 r=-3894707/10000000 delta=1103/100000000 v=12913/1000000
203 k=184 r=-604753/5000000 delta=17/1562500 v=885233/1000000
204 k=184 r=731241/5000000 delta=11073/1000000000 v=208429/250000
205 k=184 r=4121419/10000000 delta=17/1562500 v=-77693/1000000
206 k=184 r=1353483/2000000 delta=549/50000000 v=-907027/1000000
207 k=185 r=-788423/1250000 delta=549/50000000 v=-203667/250000
208 k=185 r=-368689/1000000 delta=10923/1000000000 v=95893/1000000
209 k=185 r=-269739/2500000 delta=1093/100000000 v=181661/200000
210 k=185 r=758263/5000000 delta=549/50000000 v=164317/200000
211 k=185 r=256229/625000 delta=11073/1000000000 v=-34507/500000
212 k=185 r=6670569/10000000 delta=1093/100000000 v=-890039/1000000
213 k=186 r=-6478561/10000000 delta=10987/1000000000 v=-852437/1000000
214 k=186 r=-3931691/10000000 delta=1377/125000000 v=-47/25000
215 k=186 r=-174591/1250000 delta=10937/1000000000 v=16959/20000
216 k=186 r=1126489/10000000 delta=1377/125000000 v=225047/250000
217 k=186 r=28422/78125 delta=5483/500000000 v=115333/1000000
218 k=186 r=191813/312500 delta=11037/1000000000 v=-773541/1000000
219 k=187 r=-7081367/10000000 delta=5447/500000000 v=-59539/62500
220 k=187 r=-4604151/10000000 delta=10959/1000000000 v=-66891/250000
221 k=187 r=-267267/1250000 delta=10959/1000000000 v=656027/1000000
222 k=187 r=158339/5000000 delta=5447/500000000 v=247997/250000
223 k=187 r=690127/2500000 delta=5447/500000000 v=224923/500000
224 k=187 r=5193409/10000000 delta=2761/250000000 v=-242589/500000
225 k=187 r=7615489/10000000 delta=2761/250000000 v=-995453/1000000
226 k=188 r=-1420297/2500000 delta=21801/1000000000 v=-645501/1000000
227 k=188 r=-656101/2000000 delta=5501/500000000 v=127861/500000
228 k=188 r=-890397/10000000 delta=10951/1000000000 v=937243/1000000
229 k=188 r=148927/1000000 delta=5501/500000000 v=827751/1000000
230 k=188 r=482319/1250000 delta=1369/125000000 v=6843/250000
231 k=188 r=6217557/10000000 delta=1369/125000000 v=-79331/100000
232 k=189 r=-892703/1250000 delta=2209/200000000 v=-479839/500000
233 k=189 r=-48029/100000 delta=5529/500000000 v=-343239/1000000
234 k=189 r=-1237091/5000000 delta=43/3906250 v=548963/1000000
235 k=189 r=-31083/2000000 delta=2189/200000000 v=249517/250000
236 k=189 r=2153511/10000000 delta=5479/500000000 v=651373/1000000
237 k=189 r=4452649/10000000 delta=2727/250000000 v=-208717/1000000
238 k=189 r=1685527/2500000 delta=2199/200000000 v=-451359/500000
239 k=190 r=-3342983/5000000 delta=11037/1000000000 v=-89283/100000
240 k=190 r=-551949/1250000 delta=10937/1000000000 v=-194199/1000000
241 k=190 r=-2154679/10000000 delta=1377/125000000 v=325509/500000
242 k=190 r=96881/10000000 delta=1377/125000000 v=999249/1000000
243 k=190 r=2339143/10000000 delta=5533/500000000 v=59329/100000
244 k=190 r=914443/2000000 delta=10887/1000000000 v=-127617/500000
245 k=190 r=54369/80000 delta=21887/1000000000 v=-911803/1000000
246 k=191 r=-3348477/5000000 delta=1093/100000000 v=-894801/1000000
247 k=191 r=-4491069/10000000 delta=1093/100000000 v=-111861/500000
248 k=191 r=-2294101/10000000 delta=11023/1000000000 v=37981/62500
249 k=191 r=-105997/10000000 delta=17/1562500 v=999101/1000000
250 k=191 r=2073407/10000000 delta=1103/100000000 v=337673/500000
