Mn=435 den=2 N=250 errco=6051 C250=2862383/250000
2 k=24 r=-23089/2500000 delta=11029/1000000000 v=499659/500000
3 k=38 r=467807/10000000 delta=5487/500000000 v=61409/62500
4 k=48 r=-46171/2500000 delta=681/62500000 v=997273/1000000
5 k=56 r=-2257029/5000000 delta=10999/1000000000 v=-9307/40000
6 k=62 r=187739/5000000 delta=5503/500000000 v=494371/500000
7 k=67 r=1131021/2000000 delta=273/25000000 v=-637497/1000000
8 k=72 r=-69253/2500000 delta=2767/250000000 v=993867/1000000
9 k=76 r=935641/10000000 delta=10997/1000000000 v=46539/50000
10 k=80 r=-115161/250000 delta=2769/250000000 v=-134223/500000
11 k=83 r=94591/10000000 delta=10897/1000000000 v=249821/250000
12 k=86 r=5663/200000 delta=10919/1000000000 v=993593/1000000
13 k=89 r=-1658761/5000000 delta=10963/1000000000 v=12069/50000
14 k=91 r=5562777/10000000 delta=2201/200000000 v=-121723/200000
15 k=94 r=-252889/625000 delta=10977/1000000000 v=-1907/40000
16 k=96 r=-369341/10000000 delta=341/31250000 v=989107/1000000
17 k=98 r=1179359/10000000 delta=2191/200000000 v=890777/1000000
18 k=100 r=52707/625000 delta=1373/125000000 v=943643/1000000
19 k=102 r=-586787/5000000 delta=1373/125000000 v=445913/500000
20 k=104 r=-4698769/10000000 delta=2181/200000000 v=-303831/1000000
21 k=105 r=6122939/10000000 delta=5449/500000000 v=-153941/200000
22 k=107 r=2263/10000000 delta=1107/100000000 v=1
23 k=109 r=-3621499/5000000 delta=10969/1000000000 v=-242571/250000
24 k=110 r=190821/10000000 delta=5531/500000000 v=31159/31250
25 k=111 r=6679821/10000000 delta=5499/500000000 v=-22293/25000
26 k=113 r=-68197/200000 delta=10963/1000000000 v=25673/125000
27 k=114 r=56139/400000 delta=551/50000000 v=211629/250000
28 k=115 r=341903/625000 delta=343/31250000 v=-578903/1000000
29 k=117 r=-858073/1250000 delta=10911/1000000000 v=-57669/62500
30 k=118 r=-4138607/10000000 delta=5527/500000000 v=-16909/200000
31 k=119 r=-1008531/5000000 delta=10997/1000000000 v=138359/200000
32 k=120 r=-461669/10000000 delta=11013/1000000000 v=982997/1000000
33 k=121 r=22497/400000 delta=273/25000000 v=974801/1000000
34 k=122 r=108703/1000000 delta=5513/500000000 v=906949/1000000
35 k=123 r=57051/500000 delta=1371/125000000 v=897641/1000000
36 k=124 r=93873/1250000 delta=5471/500000000 v=47761/50000
37 k=125 r=-58773/10000000 delta=10949/1000000000 v=249931/250000
38 k=126 r=-1265903/10000000 delta=10997/1000000000 v=174903/200000
39 k=127 r=-356211/1250000 delta=547/50000000 v=104427/250000
40 k=128 r=-4791097/10000000 delta=551/50000000 v=-338801/1000000
41 k=129 r=-7072459/10000000 delta=2757/250000000 v=-475767/500000
42 k=129 r=6030611/10000000 delta=2757/250000000 v=-745609/1000000
43 k=130 r=3117357/10000000 delta=2197/200000000 v=159111/500000
44 k=131 r=-45033/5000000 delta=10911/1000000000 v=999351/1000000
45 k=132 r=-894611/2500000 delta=10949/1000000000 v=17371/125000
46 k=133 r=-7335381/10000000 delta=11047/1000000000 v=-978561/1000000
47 k=133 r=435867/1000000 delta=10897/1000000000 v=-34363/200000
48 k=134 r=98493/10000000 delta=10889/1000000000 v=124903/125000
49 k=135 r=-219889/500000 delta=10971/1000000000 v=-37441/200000
50 k=135 r=1646873/2500000 delta=5491/500000000 v=-874401/1000000
51 k=136 r=1647193/10000000 delta=5489/500000000 v=19767/25000
52 k=137 r=-3502179/10000000 delta=5509/500000000 v=42277/250000
53 k=137 r=85691/125000 delta=5459/500000000 v=-921263/1000000
54 k=138 r=655573/5000000 delta=10961/1000000000 v=173119/200000
55 k=139 r=-2209747/5000000 delta=1363/125000000 v=-195729/1000000
56 k=139 r=1075613/2000000 delta=5527/500000000 v=-548383/1000000
57 k=140 r=-35287/500000 delta=11007/1000000000 v=480209/500000
58 k=141 r=-434807/625000 delta=5507/500000000 v=-936309/1000000
59 k=141 r=292271/1250000 delta=5507/500000000 v=593603/1000000
60 k=142 r=-846187/2000000 delta=5441/500000000 v=-60639/500000
61 k=142 r=594609/1250000 delta=10921/1000000000 v=-32589/100000
62 k=143 r=-421889/2000000 delta=443/40000000 v=132929/200000
63 k=143 r=6590773/10000000 delta=5439/500000000 v=-875037/1000000
64 k=144 r=-138513/2500000 delta=2187/200000000 v=487771/500000
65 k=145 r=-7831607/10000000 delta=1101/100000000 v=-24999/25000
66 k=145 r=29381/625000 delta=553/50000000 v=982373/1000000
67 k=146 r=-7061009/10000000 delta=11003/1000000000 v=-237529/250000
68 k=146 r=497351/5000000 delta=109/10000000 v=230471/250000
69 k=147 r=-1693791/2500000 delta=5473/500000000 v=-113541/125000
70 k=147 r=262173/2500000 delta=10957/1000000000 v=456651/500000
71 k=148 r=-1389279/2000000 delta=2741/250000000 v=-934823/1000000
72 k=148 r=131731/2000000 delta=11039/1000000000 v=482747/500000
73 k=149 r=-7549201/10000000 delta=5441/500000000 v=-496289/500000
74 k=149 r=-37789/2500000 delta=5441/500000000 v=998173/1000000
75 k=149 r=1429531/2000000 delta=11021/1000000000 v=-960353/1000000
76 k=150 r=-1358231/10000000 delta=683/62500000 v=856011/1000000
77 k=150 r=5749723/10000000 delta=439/40000000 v=-666193/1000000
78 k=151 r=-45969/156250 delta=5493/500000000 v=95969/250000
79 k=151 r=796963/2000000 delta=5443/500000000 v=-2891/125000
80 k=152 r=-2441713/5000000 delta=137/12500000 v=-37331/100000
81 k=152 r=1871309/10000000 delta=11043/1000000000 v=366347/500000
82 k=153 r=-1791197/2500000 delta=10953/1000000000 v=-962241/1000000
83 k=153 r=-573777/10000000 delta=11053/1000000000 v=486889/500000
84 k=153 r=1187651/2000000 delta=21753/1000000000 v=-90061/125000
85 k=154 r=-1667363/5000000 delta=10907/1000000000 v=29337/125000
86 k=154 r=1512487/5000000 delta=10907/1000000000 v=353029/1000000
87 k=155 r=-25587/40000 delta=10889/1000000000 v=-417437/500000
88 k=155 r=-91197/5000000 delta=5507/500000000 v=49867/50000
89 k=155 r=5961709/10000000 delta=2741/250000000 v=-363481/500000
90 k=156 r=-3670773/10000000 delta=11031/1000000000 v=25577/250000
91 k=156 r=2337583/10000000 delta=21881/1000000000 v=9278/15625
92 k=157 r=-7427709/10000000 delta=10879/1000000000 v=-985499/1000000
93 k=157 r=-774641/5000000 delta=10929/1000000000 v=162809/200000
94 k=157 r=4266287/10000000 delta=5487/500000000 v=-67651/500000
95 k=158 r=-5687659/10000000 delta=1367/125000000 v=-161869/250000
96 k=158 r=611/1000000 delta=10967/1000000000 v=999997/1000000
97 k=158 r=5640883/10000000 delta=5493/500000000 v=-39569/62500
98 k=159 r=-4490109/10000000 delta=1101/100000000 v=-223347/1000000
99 k=159 r=1030259/10000000 delta=10943/1000000000 v=22907/25000
100 k=159 r=6495109/10000000 delta=553/50000000 v=-855879/1000000
101 k=160 r=-950581/2500000 delta=10953/1000000000 v=24923/500000
102 k=160 r=97179/625000 delta=11003/1000000000 v=406373/500000
103 k=160 r=214367/312500 delta=11/1000000 v=-230489/250000
104 k=161 r=-3594561/10000000 delta=11057/1000000000 v=6629/50000
105 k=161 r=804427/5000000 delta=5473/500000000 v=99997/125000
106 k=161 r=6762897/10000000 delta=2749/250000000 v=-181253/200000
107 k=162 r=-1919681/5000000 delta=2193/200000000 v=8761/250000
108 k=162 r=609409/5000000 delta=2193/200000000 v=441747/500000
109 k=162 r=778793/1250000 delta=1361/125000000 v=-796413/1000000
110 k=163 r=-2255911/5000000 delta=5511/500000000 v=-46361/200000
111 k=163 r=409061/10000000 delta=2743/250000000 v=986643/1000000
112 k=163 r=5285737/10000000 delta=10881/1000000000 v=-258567/500000
113 k=164 r=-5588833/10000000 delta=5537/500000000 v=-154213/250000
114 k=164 r=-798069/10000000 delta=5487/500000000 v=474739/500000
115 k=164 r=3950881/10000000 delta=11029/1000000000 v=-2389/250000
116 k=165 r=-1409859/2000000 delta=1367/125000000 v=-237161/250000
117 k=165 r=-1190927/5000000 delta=10917/1000000000 v=579451/1000000
118 k=165 r=2245839/10000000 delta=10967/1000000000 v=622913/1000000
119 k=165 r=6834437/10000000 delta=5493/500000000 v=-229497/250000
120 k=166 r=-4323263/10000000 delta=11043/1000000000 v=-78923/500000
121 k=166 r=189209/10000000 delta=1091/100000000 v=997137/1000000
122 k=166 r=4664543/10000000 delta=553/50000000 v=-7269/25000
123 k=167 r=-52837/80000 delta=221/20000000 v=-438853/500000
124 k=167 r=-2201773/10000000 delta=10903/1000000000 v=159151/250000
125 k=167 r=270717/1250000 delta=219/20000000 v=323827/500000
126 k=167 r=1299689/2000000 delta=221/20000000 v=-107071/125000
127 k=168 r=-4911121/10000000 delta=2209/200000000 v=-95891/250000
128 k=168 r=-646381/10000000 delta=2209/200000000 v=966761/1000000
129 k=168 r=3585191/10000000 delta=43/3906250 v=68147/500000
130 k=168 r=1946007/2500000 delta=2189/200000000 v=-999609/1000000
131 k=169 r=-3757233/10000000 delta=2193/200000000 v=67851/1000000
132 k=169 r=47221/1250000 delta=1361/125000000 v=197721/200000
133 k=169 r=2240779/5000000 delta=1361/125000000 v=-55003/250000
134 k=170 r=-1788341/2500000 delta=1367/62500000 v=-960987/1000000
135 k=170 r=-311061/1000000 delta=2743/250000000 v=320779/1000000
136 k=170 r=902319/10000000 delta=10931/1000000000 v=93557/100000
137 k=170 r=2442943/5000000 delta=10881/1000000000 v=-187111/500000
138 k=171 r=-6867547/10000000 delta=689/62500000 v=-23079/25000
139 k=171 r=-2941509/10000000 delta=5537/500000000 v=384063/1000000
140 k=171 r=956363/10000000 delta=689/62500000 v=463859/500000
141 k=171 r=96529/200000 delta=11029/1000000000 v=-44009/125000
142 k=172 r=-1759681/2500000 delta=11017/1000000000 v=-473649/500000
143 k=172 r=-402863/1250000 delta=11017/1000000000 v=138963/500000
144 k=172 r=566273/10000000 delta=2759/250000000 v=121807/125000
145 k=172 r=2164647/5000000 delta=11067/1000000000 v=-40057/250000
