M=100 sgn=1 N=100 J=14 psi=7571/1000000
1 k=0 r=-1183/625000 delta=21/100000000 v=999971/1000000
2 k=11 r=480271/10000000 delta=779/100000000 v=245401/250000
3 k=17 r=7598769/10000000 delta=221/25000000 v=-497397/500000
4 k=22 r=97947/1000000 delta=577/100000000 v=231057/250000
5 k=26 r=-1213299/2000000 delta=903/100000000 v=-755097/1000000
6 k=29 r=-1521999/2000000 delta=173/25000000 v=-995241/1000000
7 k=31 r=-122063/2500000 delta=529/100000000 v=980989/1000000
8 k=33 r=147867/1000000 delta=147/25000000 v=830123/1000000
9 k=35 r=-245749/5000000 delta=757/100000000 v=980737/1000000
10 k=37 r=-86989/156250 delta=449/50000000 v=-610049/1000000
11 k=38 r=1276143/5000000 delta=709/100000000 v=522587/1000000
12 k=40 r=-1777699/2500000 delta=513/100000000 v=-478069/500000
13 k=41 r=-2808083/10000000 delta=541/100000000 v=43277/100000
14 k=42 r=10947/10000000 delta=731/100000000 v=99999/100000
15 k=43 r=775601/5000000 delta=1001/100000000 v=813599/1000000
16 k=44 r=1977869/10000000 delta=79/10000000 v=70303/100000
17 k=45 r=1426061/10000000 delta=579/100000000 v=105209/125000
18 k=46 r=7701/10000000 delta=111/20000000 v=199999/200000
19 k=47 r=-2183457/10000000 delta=153/20000000 v=642237/1000000
20 k=48 r=-79189/156250 delta=23/3125000 v=-440757/1000000
21 k=48 r=1425889/2000000 delta=627/100000000 v=-958297/1000000
22 k=49 r=610297/2000000 delta=507/100000000 v=21443/62500
23 k=50 r=-1543537/10000000 delta=423/50000000 v=407689/500000
24 k=51 r=-6611597/10000000 delta=143/20000000 v=-879039/1000000
25 k=51 r=1796951/5000000 delta=151/20000000 v=66421/500000
26 k=52 r=-2308883/10000000 delta=39/6250000 v=602989/1000000
27 k=52 r=7126199/10000000 delta=659/100000000 v=-38317/40000
28 k=53 r=255073/5000000 delta=933/100000000 v=244813/250000
29 k=54 r=-6424987/10000000 delta=723/100000000 v=-420519/500000
30 k=54 r=2050401/10000000 delta=1/125000 v=85263/125000
31 k=55 r=-5460107/10000000 delta=31/3125000 v=-23021/40000
32 k=55 r=619267/2500000 delta=31/3125000 v=273999/500000
33 k=56 r=-5537981/10000000 delta=291/50000000 v=-150179/250000
34 k=56 r=96263/500000 delta=781/100000000 v=358919/500000
35 k=57 r=-6535819/10000000 delta=37/6250000 v=-432093/500000
36 k=57 r=5069/100000 delta=651/100000000 v=195903/200000
37 k=57 r=1839161/2500000 delta=891/100000000 v=-490139/500000
38 k=58 r=-842129/5000000 delta=563/100000000 v=781517/1000000
39 k=58 r=2404807/5000000 delta=7/1250000 v=-345761/1000000
40 k=59 r=-4568897/10000000 delta=267/50000000 v=-5079/20000
41 k=59 r=50133/312500 delta=327/50000000 v=400539/500000
42 k=59 r=1907161/2500000 delta=829/100000000 v=-995941/1000000
43 k=60 r=-439339/2000000 delta=429/50000000 v=63817/100000
44 k=60 r=887671/2500000 delta=349/50000000 v=29991/200000
45 k=61 r=-1307813/2000000 delta=7/800000 v=-864839/1000000
46 k=61 r=-522169/5000000 delta=191/20000000 v=91401/100000
47 k=61 r=4332213/10000000 delta=63/6250000 v=-8069/50000
48 k=62 r=-3056199/5000000 delta=917/100000000 v=-767007/1000000
49 k=62 r=-119697/1250000 delta=483/50000000 v=57971/62500
50 k=62 r=4093101/10000000 delta=957/100000000 v=-13279/200000
51 k=63 r=-3332103/5000000 delta=353/50000000 v=-222219/250000
52 k=63 r=-452421/2500000 delta=413/50000000 v=374623/500000
53 k=63 r=590473/2000000 delta=433/50000000 v=7601/20000
54 k=63 r=3812699/5000000 delta=273/50000000 v=-995823/1000000
55 k=64 r=-3495281/10000000 delta=827/100000000 v=171827/1000000
56 k=64 r=504673/5000000 delta=907/100000000 v=919599/1000000
57 k=64 r=8491/15625 delta=667/100000000 v=-567033/1000000
58 k=65 r=-1481447/2500000 delta=37/4000000 v=-717021/1000000
59 k=65 r=-1652179/10000000 delta=113/20000000 v=394729/500000
60 k=65 r=3187/12500 delta=299/50000000 v=261751/500000
61 k=65 r=3340963/5000000 delta=319/50000000 v=-892101/1000000
62 k=66 r=-4960907/10000000 delta=849/100000000 v=-200939/500000
63 k=66 r=-480411/5000000 delta=377/50000000 v=18541/20000
64 k=66 r=2976267/10000000 delta=809/100000000 v=371189/1000000
65 k=66 r=3426157/5000000 delta=689/100000000 v=-920801/1000000
66 k=67 r=-5038781/10000000 delta=583/100000000 v=-215101/500000
67 k=67 r=-79957/625000 delta=823/100000000 v=871901/1000000
68 k=67 r=2424459/10000000 delta=983/100000000 v=282739/500000
69 k=67 r=6074159/10000000 delta=983/100000000 v=-757103/1000000
70 k=68 r=-301831/500000 delta=613/100000000 v=-93401/125000
71 k=68 r=-2490461/10000000 delta=3/400000 v=543509/1000000
72 k=68 r=10061/100000 delta=813/100000000 v=230027/250000
73 k=68 r=445443/1000000 delta=613/100000000 v=-104707/500000
74 k=69 r=-196303/250000 delta=921/100000000 v=-1/1
75 k=69 r=-899273/2000000 delta=441/50000000 v=-112893/500000
76 k=69 r=-592529/5000000 delta=301/50000000 v=889739/1000000
77 k=69 r=1041481/5000000 delta=401/50000000 v=336261/500000
78 k=69 r=5308813/10000000 delta=381/50000000 v=-131253/250000
79 k=70 r=-3607197/5000000 delta=511/100000000 v=-241863/250000
80 k=70 r=-2034849/5000000 delta=671/100000000 v=-14263/250000
81 k=70 r=-241017/2500000 delta=133/25000000 v=926563/1000000
82 k=70 r=420691/2000000 delta=551/100000000 v=666433/1000000
83 k=70 r=1026759/2000000 delta=951/100000000 v=-7253/15625
84 k=71 r=-189503/250000 delta=1021/100000000 v=-497003/500000
85 k=71 r=-2310753/5000000 delta=271/50000000 v=-137123/500000
86 k=71 r=-212187/1250000 delta=471/50000000 v=389101/500000
87 k=71 r=119271/1000000 delta=821/100000000 v=444169/500000
88 k=71 r=1012471/2500000 delta=861/100000000 v=-49137/1000000
89 k=71 r=1718693/2500000 delta=331/50000000 v=-231067/250000
90 k=72 r=-3019933/5000000 delta=673/100000000 v=-748071/1000000
91 k=72 r=-3277407/10000000 delta=1033/100000000 v=6423/25000
92 k=72 r=-545139/10000000 delta=753/100000000 v=3051/3125
93 k=72 r=215759/1000000 delta=913/100000000 v=325067/500000
94 k=72 r=1207853/2500000 delta=793/100000000 v=-353929/1000000
95 k=72 r=373847/500000 delta=913/100000000 v=-988649/1000000
96 k=73 r=-5613199/10000000 delta=221/25000000 v=-312247/500000
97 k=73 r=-1511251/5000000 delta=191/25000000 v=176977/500000
98 k=73 r=-458377/10000000 delta=191/25000000 v=491619/500000
99 k=73 r=519929/2500000 delta=519/100000000 v=673483/1000000
100 k=73 r=45923/100000 delta=211/25000000 v=-131497/500000
