M=60 sgn=1 N=100 J=6 psi=-397439/1000000
1 k=0 r=993597/10000000 delta=21/100000000 v=184411/200000
2 k=7 r=-4990069/10000000 delta=457/100000000 v=-412531/1000000
3 k=11 r=-1750539/2500000 delta=499/100000000 v=-942511/1000000
4 k=13 r=4734229/10000000 delta=361/100000000 v=-158657/500000
5 k=15 r=1357967/2000000 delta=541/100000000 v=-910767/1000000
6 k=17 r=1361071/5000000 delta=101/25000000 v=463499/1000000
7 k=19 r=-5571183/10000000 delta=169/50000000 v=-7641/12500
8 k=20 r=-1249437/10000000 delta=367/100000000 v=877691/1000000
9 k=21 r=142011/2000000 delta=447/100000000 v=14999/15625
10 k=22 r=806169/10000000 delta=537/100000000 v=118557/125000
11 k=23 r=-605267/10000000 delta=107/25000000 v=194167/200000
12 k=24 r=-815381/2500000 delta=81/25000000 v=131527/500000
13 k=25 r=-6963081/10000000 delta=329/100000000 v=-937173/1000000
14 k=25 r=830623/2000000 delta=217/50000000 v=-45163/500000
15 k=26 r=-602959/5000000 delta=623/100000000 v=885899/1000000
16 k=27 r=-7233103/10000000 delta=123/25000000 v=-969319/1000000
17 k=27 r=186059/1000000 delta=93/25000000 v=367803/500000
18 k=28 r=-5273611/10000000 delta=161/50000000 v=-32061/62500
19 k=28 r=354559/1250000 delta=221/50000000 v=84501/200000
20 k=29 r=-5177497/10000000 delta=103/25000000 v=-479603/1000000
21 k=29 r=535257/2500000 delta=391/100000000 v=655153/1000000
22 k=30 r=-6588933/10000000 delta=303/100000000 v=-874681/1000000
23 k=30 r=78831/10000000 delta=27/5000000 v=999503/1000000
24 k=30 r=3231387/5000000 delta=21/5000000 v=-424559/500000
25 k=31 r=-3121891/10000000 delta=489/100000000 v=158251/500000
26 k=31 r=21572/78125 delta=409/100000000 v=449593/1000000
27 k=32 r=-3642849/5000000 delta=91/25000000 v=-38971/40000
28 k=32 r=-1830551/10000000 delta=559/100000000 v=185923/250000
29 k=32 r=3433147/10000000 delta=439/100000000 v=39251/200000
30 k=33 r=-449349/625000 delta=91/20000000 v=-964893/1000000
31 k=33 r=-227111/1000000 delta=147/25000000 v=614973/1000000
32 k=33 r=498239/2000000 delta=147/25000000 v=543263/1000000
33 k=33 r=7106943/10000000 delta=67/20000000 v=-477843/500000
34 k=34 r=-164923/400000 delta=457/100000000 v=-78353/1000000
35 k=34 r=45011/2000000 delta=173/50000000 v=995951/1000000
36 k=34 r=4450687/10000000 delta=377/100000000 v=-4159/20000
37 k=35 r=-714743/1000000 delta=263/50000000 v=-120041/125000
38 k=35 r=-3147193/10000000 delta=357/100000000 v=153443/500000
39 k=35 r=74913/1000000 delta=163/50000000 v=955439/1000000
40 k=35 r=4546801/10000000 delta=317/100000000 v=-15337/62500
41 k=36 r=-7457271/10000000 delta=367/100000000 v=-246859/250000
42 k=36 r=-1921319/5000000 delta=129/25000000 v=6747/200000
43 k=36 r=-313063/10000000 delta=129/25000000 v=99217/100000
44 k=36 r=783841/2500000 delta=109/25000000 v=155693/500000
45 k=36 r=6506293/10000000 delta=527/100000000 v=-107273/125000
