M=84 sgn=-1 N=100 J=11 psi=134393/250000
1 k=0 r=-1343931/10000000 delta=41/100000000 v=429477/500000
2 k=9 r=711327/2500000 delta=329/50000000 v=419299/1000000
3 k=15 r=-6254799/10000000 delta=361/50000000 v=-802291/1000000
4 k=18 r=7034547/10000000 delta=257/50000000 v=-946761/1000000
5 k=21 r=3385401/5000000 delta=97/12500000 v=-907597/1000000
6 k=24 r=-51639/250000 delta=579/100000000 v=677657/1000000
7 k=26 r=-277461/2500000 delta=443/100000000 v=903067/1000000
8 k=28 r=-2242089/5000000 delta=501/100000000 v=-110517/500000
9 k=29 r=567787/1250000 delta=79/12500000 v=-48729/200000
10 k=31 r=-2373961/5000000 delta=387/50000000 v=-322503/1000000
11 k=32 r=-110187/2500000 delta=73/12500000 v=1969/2000
12 k=33 r=1061839/5000000 delta=7/1562500 v=33019/50000
13 k=34 r=3224683/10000000 delta=223/50000000 v=277243/1000000
14 k=35 r=1539697/5000000 delta=313/50000000 v=332581/1000000
15 k=36 r=929967/5000000 delta=107/12500000 v=735783/1000000
16 k=37 r=-14747/500000 delta=137/20000000 v=993049/1000000
17 k=38 r=-817933/2500000 delta=237/50000000 v=259113/1000000
18 k=39 r=-6976429/10000000 delta=23/5000000 v=-469511/500000
19 k=39 r=547211/1250000 delta=33/5000000 v=-22413/125000
20 k=40 r=-139671/2500000 delta=59/10000000 v=487567/500000
21 k=41 r=-6020713/10000000 delta=281/50000000 v=-148593/200000
22 k=41 r=3748491/10000000 delta=441/100000000 v=71339/1000000
23 k=42 r=-1312301/5000000 delta=711/100000000 v=497709/1000000
24 k=42 r=6312917/10000000 delta=591/100000000 v=-16319/20000
25 k=43 r=-205607/2500000 delta=661/100000000 v=7571/8000
26 k=43 r=3706961/5000000 delta=541/100000000 v=-246137/250000
27 k=44 r=-92143/2500000 delta=553/100000000 v=30911/31250
28 k=44 r=7268633/10000000 delta=77/10000000 v=-486357/500000
29 k=45 r=-1070153/10000000 delta=599/100000000 v=227443/250000
30 k=45 r=6049173/10000000 delta=171/25000000 v=-93817/125000
31 k=46 r=-43327/156250 delta=207/25000000 v=111351/250000
32 k=46 r=3894299/10000000 delta=207/25000000 v=3269/250000
33 k=47 r=-83619/156250 delta=101/20000000 v=-269753/500000
34 k=47 r=458753/5000000 delta=329/50000000 v=933407/1000000
35 k=47 r=7004889/10000000 delta=101/20000000 v=-235719/250000
36 k=48 r=-278719/1000000 delta=527/100000000 v=440289/1000000
37 k=48 r=1483297/5000000 delta=767/100000000 v=374779/1000000
38 k=49 r=-7141037/10000000 delta=487/100000000 v=-239903/250000
39 k=49 r=-337237/2000000 delta=119/25000000 v=195259/250000
40 k=49 r=726111/2000000 delta=447/100000000 v=118297/1000000
41 k=50 r=-172299/250000 delta=537/100000000 v=-92687/100000
42 k=50 r=-915737/5000000 delta=353/50000000 v=148689/200000
43 k=50 r=310993/1000000 delta=373/50000000 v=321037/1000000
44 k=51 r=-3885117/5000000 delta=23/4000000 v=-999439/1000000
45 k=51 r=-1525467/5000000 delta=187/25000000 v=68659/200000
46 k=51 r=391159/2500000 delta=197/25000000 v=810463/1000000
47 k=51 r=6080939/10000000 delta=171/20000000 v=-94859/125000
48 k=52 r=-325363/625000 delta=191/25000000 v=-489509/1000000
49 k=52 r=-437879/5000000 delta=799/100000000 v=939269/1000000
50 k=52 r=3366811/10000000 delta=201/25000000 v=111101/500000
51 k=52 r=3762681/5000000 delta=151/25000000 v=-991373/1000000
52 k=53 r=-4104803/10000000 delta=713/100000000 v=-14213/200000
53 k=53 r=-52341/5000000 delta=753/100000000 v=999123/1000000
54 k=53 r=1910333/5000000 delta=473/100000000 v=42517/1000000
55 k=53 r=1534797/2000000 delta=69/10000000 v=-997409/1000000
56 k=54 r=-1062523/2500000 delta=37/5000000 v=-128881/1000000
57 k=54 r=-533181/10000000 delta=27/5000000 v=15271/15625
58 k=54 r=623817/2000000 delta=783/100000000 v=317567/1000000
59 k=54 r=1677229/2500000 delta=503/100000000 v=-896927/1000000
60 k=55 r=-341847/625000 delta=511/100000000 v=-578611/1000000
