M=90 sgn=1 N=100 J=12 psi=-250931/250000
1 k=0 r=250931/1000000 delta=1/100000000 v=107433/200000
2 k=10 r=86737/625000 delta=689/100000000 v=849839/1000000
3 k=16 r=-815169/5000000 delta=773/100000000 v=79479/100000
4 k=20 r=10651/400000 delta=129/25000000 v=994333/1000000
5 k=23 r=669937/2000000 delta=159/20000000 v=1831/8000
6 k=26 r=-550371/2000000 delta=3/500000 v=90587/200000
7 k=28 r=258061/5000000 delta=461/100000000 v=195753/200000
8 k=30 r=-427621/5000000 delta=7/1250000 v=942053/1000000
9 k=32 r=-1153997/2000000 delta=171/25000000 v=-84027/125000
10 k=33 r=278521/1250000 delta=167/20000000 v=628427/1000000
11 k=35 r=-967871/1250000 delta=657/100000000 v=-499507/500000
12 k=36 r=-968343/2500000 delta=119/25000000 v=10723/500000
13 k=37 r=-785863/5000000 delta=249/50000000 v=404399/500000
14 k=38 r=-151349/2500000 delta=337/50000000 v=970823/1000000
15 k=39 r=-789963/10000000 delta=923/100000000 v=950491/1000000
16 k=40 r=-1976759/10000000 delta=733/100000000 v=140669/200000
17 k=41 r=-2022091/5000000 delta=261/50000000 v=-46859/1000000
18 k=42 r=-3445751/5000000 delta=2/390625 v=-926801/1000000
19 k=42 r=5273623/10000000 delta=89/12500000 v=-25649/50000
20 k=43 r=1106651/10000000 delta=331/50000000 v=180723/200000
21 k=44 r=-1811763/5000000 delta=59/10000000 v=1892/15625
22 k=44 r=3421739/5000000 delta=473/100000000 v=-919417/1000000
23 k=45 r=1137161/10000000 delta=779/100000000 v=898321/1000000
24 k=46 r=-4994889/10000000 delta=81/12500000 v=-414287/1000000
25 k=46 r=209503/500000 delta=43/6250000 v=-52517/500000
26 k=47 r=-2693243/10000000 delta=289/50000000 v=47371/100000
27 k=47 r=5798331/10000000 delta=117/20000000 v=-680567/1000000
28 k=48 r=-1726913/10000000 delta=847/100000000 v=770759/1000000
29 k=48 r=3084317/5000000 delta=667/100000000 v=-156249/200000
30 k=49 r=-47787/250000 delta=707/100000000 v=144333/200000
31 k=49 r=546623/1000000 delta=7/781250 v=-577527/1000000
32 k=50 r=-774569/2500000 delta=453/50000000 v=40681/125000
33 k=50 r=3825347/10000000 delta=517/100000000 v=20323/500000
34 k=51 r=-5165699/10000000 delta=139/20000000 v=-475457/1000000
35 k=51 r=1356497/10000000 delta=137/25000000 v=85637/100000
36 k=51 r=240467/312500 delta=23/4000000 v=-997977/1000000
37 k=52 r=-7393/40000 delta=201/25000000 v=36947/50000
38 k=52 r=2076053/5000000 delta=539/100000000 v=-22481/250000
39 k=53 r=-5711373/10000000 delta=493/100000000 v=-26187/40000
40 k=53 r=-14867/10000000 delta=453/100000000 v=499991/500000
41 k=53 r=5540971/10000000 delta=57/10000000 v=-601671/1000000
42 k=54 r=-4745043/10000000 delta=763/100000000 v=-321413/1000000
43 k=54 r=549319/10000000 delta=783/100000000 v=975957/1000000
44 k=54 r=5721961/10000000 delta=603/100000000 v=-657871/1000000
45 k=55 r=-492961/1000000 delta=791/100000000 v=-390383/1000000
46 k=55 r=3911/2500000 delta=851/100000000 v=49999/50000
47 k=55 r=242727/500000 delta=57/6250000 v=-181283/500000
48 k=56 r=-3058203/5000000 delta=821/100000000 v=-384017/500000
49 k=56 r=-738533/5000000 delta=441/50000000 v=830481/1000000
50 k=56 r=3068543/10000000 delta=861/100000000 v=336671/1000000
51 k=56 r=3762067/5000000 delta=621/100000000 v=-991309/1000000
52 k=57 r=-95369/250000 delta=751/100000000 v=44877/1000000
53 k=57 r=117771/2500000 delta=791/100000000 v=982299/1000000
54 k=57 r=2338407/5000000 delta=491/100000000 v=-295453/1000000
55 k=58 r=-6902593/10000000 delta=763/100000000 v=-464229/500000
56 k=58 r=-284843/1000000 delta=783/100000000 v=83633/200000
57 k=58 r=45359/400000 delta=583/100000000 v=2809/3125
58 k=58 r=5047117/10000000 delta=21/2500000 v=-433209/1000000
59 k=59 r=-3407299/5000000 delta=509/100000000 v=-228703/250000
60 k=59 r=-3032997/10000000 delta=267/50000000 v=14001/40000
61 k=59 r=42881/625000 delta=277/50000000 v=481289/500000
62 k=59 r=4344713/10000000 delta=367/50000000 v=-20789/125000
63 k=60 r=-7763173/10000000 delta=339/50000000 v=-49967/50000
64 k=60 r=-4219793/10000000 delta=29/4000000 v=-116853/1000000
65 k=60 r=-731351/10000000 delta=121/20000000 v=478757/500000
66 k=60 r=270383/1000000 delta=279/50000000 v=469977/1000000
67 k=60 r=6087353/10000000 delta=369/50000000 v=-38027/50000
68 k=61 r=-392951/625000 delta=217/25000000 v=-202491/250000
69 k=61 r=-1501243/5000000 delta=217/25000000 v=361431/1000000
70 k=61 r=11749/500000 delta=33/6250000 v=497793/500000
71 k=61 r=1713261/5000000 delta=131/20000000 v=198853/1000000
72 k=61 r=6573427/10000000 delta=187/25000000 v=-435829/500000
73 k=62 r=-6031039/10000000 delta=557/100000000 v=-745723/1000000
74 k=62 r=-2969767/10000000 delta=413/50000000 v=186801/500000
75 k=62 r=12603/2500000 delta=817/100000000 v=999797/1000000
76 k=62 r=757647/2500000 delta=577/100000000 v=350927/1000000
77 k=62 r=5971807/10000000 delta=717/100000000 v=-72973/100000
78 k=63 r=-683289/1000000 delta=333/50000000 v=-917743/1000000
79 k=63 r=-396661/1000000 delta=233/50000000 v=-15847/1000000
80 k=63 r=-8878/78125 delta=313/50000000 v=898457/1000000
81 k=63 r=1658683/10000000 delta=457/100000000 v=393929/500000
82 k=63 r=2209727/5000000 delta=253/50000000 v=-97857/500000
83 k=63 r=178669/250000 delta=433/50000000 v=-960253/1000000
84 k=64 r=-18333/31250 delta=117/12500000 v=-700307/1000000
85 k=64 r=-3203807/10000000 delta=487/100000000 v=35657/125000
86 k=64 r=-286099/5000000 delta=847/100000000 v=973921/1000000
87 k=64 r=2028987/10000000 delta=189/25000000 v=344171/500000
88 k=64 r=1150111/2500000 delta=97/12500000 v=-53227/200000
89 k=64 r=1785711/2500000 delta=627/100000000 v=-191963/200000
90 k=65 r=-6051127/10000000 delta=309/50000000 v=-187763/250000
91 k=65 r=-1782457/5000000 delta=469/50000000 v=5773/40000
92 k=65 r=-1105873/10000000 delta=339/50000000 v=903749/1000000
93 k=65 r=1326583/10000000 delta=409/50000000 v=862487/1000000
94 k=65 r=3733023/10000000 delta=359/50000000 v=77509/1000000
95 k=65 r=3056999/5000000 delta=409/50000000 v=-767417/1000000
96 k=66 r=-7237923/10000000 delta=809/100000000 v=-969791/1000000
97 k=66 r=-613287/1250000 delta=689/100000000 v=-381781/1000000
98 k=66 r=-2598583/10000000 delta=709/100000000 v=506709/1000000
99 k=66 r=-3143/100000 delta=237/50000000 v=248027/250000
100 k=66 r=973513/5000000 delta=769/100000000 v=2847/4000
