M=23 sgn=-1 N=66 J=1 psi=-110789/1000000
1 k=0 r=69243/2500000 delta=21/100000000 v=993869/1000000
2 k=3 r=-3495477/5000000 delta=51/25000000 v=-235251/250000
3 k=4 r=307663/5000000 delta=51/25000000 v=969863/1000000
4 k=5 r=724541/5000000 delta=29/20000000 v=104583/125000
5 k=6 r=-1428127/10000000 delta=197/100000000 v=33649/40000
6 k=7 r=-6652601/10000000 delta=157/100000000 v=-44337/50000
7 k=7 r=2211063/10000000 delta=63/50000000 v=316867/500000
8 k=8 r=-1163769/2000000 delta=17/12500000 v=-171639/250000
9 k=8 r=11921/125000 delta=197/100000000 v=464059/500000
10 k=8 r=7011909/10000000 delta=207/100000000 v=-943807/1000000
11 k=9 r=-3215719/10000000 delta=79/50000000 v=140343/500000
12 k=9 r=357487/2000000 delta=27/20000000 v=75511/100000
13 k=9 r=6389891/10000000 delta=1/781250 v=-833361/1000000
14 k=10 r=-158027/312500 delta=87/50000000 v=-5459/12500
15 k=10 r=-544887/5000000 delta=61/25000000 v=453243/500000
16 k=10 r=2621191/10000000 delta=97/50000000 v=124723/250000
17 k=10 r=6107107/10000000 delta=67/50000000 v=-765647/1000000
18 k=11 r=-6314247/10000000 delta=149/100000000 v=-816257/1000000
19 k=11 r=-1602691/5000000 delta=189/100000000 v=71163/250000
20 k=11 r=-128009/5000000 delta=159/100000000 v=994761/1000000
21 k=11 r=2549417/10000000 delta=67/50000000 v=104713/200000
22 k=11 r=2612159/5000000 delta=139/100000000 v=-30997/62500
23 k=11 r=3890147/5000000 delta=97/50000000 v=-499783/500000
24 k=12 r=-5480491/10000000 delta=143/100000000 v=-291087/500000
25 k=12 r=-3133227/10000000 delta=183/100000000 v=156099/500000
26 k=12 r=-219509/2500000 delta=153/100000000 v=234739/250000
27 k=12 r=1292033/10000000 delta=3/2000000 v=434699/500000
28 k=12 r=3383173/10000000 delta=193/100000000 v=26977/125000
29 k=12 r=1350231/2500000 delta=143/100000000 v=-278003/500000
30 k=12 r=7350263/10000000 delta=1/500000 v=-97977/100000
31 k=13 r=-3236143/5000000 delta=29/12500000 v=-425561/500000
32 k=13 r=-290421/625000 delta=121/50000000 v=-283937/1000000
33 k=13 r=-575473/2000000 delta=151/100000000 v=50953/125000
34 k=13 r=-58041/500000 delta=91/50000000 v=894123/1000000
35 k=13 r=126491/2500000 delta=161/100000000 v=97959/100000
36 k=13 r=2125789/10000000 delta=71/50000000 v=329873/500000
37 k=13 r=370123/1000000 delta=101/50000000 v=45091/500000
38 k=13 r=2617327/5000000 delta=131/100000000 v=-249769/500000
39 k=13 r=1345649/2000000 delta=121/100000000 v=-900319/1000000
40 k=14 r=-1504789/2000000 delta=121/100000000 v=-991299/1000000
41 k=14 r=-6104119/10000000 delta=43/25000000 v=-382439/500000
42 k=14 r=-471851/1000000 delta=181/100000000 v=-62269/200000
43 k=14 r=-3365507/10000000 delta=211/100000000 v=22271/100000
44 k=14 r=-2043609/10000000 delta=141/100000000 v=85511/125000
45 k=14 r=-37571/500000 delta=53/25000000 v=29849/31250
46 k=14 r=512367/10000000 delta=111/50000000 v=15298/15625
47 k=14 r=874487/5000000 delta=221/100000000 v=765107/1000000
48 k=14 r=591909/2000000 delta=201/100000000 v=23587/62500
49 k=14 r=2072577/5000000 delta=29/12500000 v=-17431/200000
50 k=14 r=530681/1000000 delta=201/100000000 v=-52433/100000
51 k=14 r=6445461/10000000 delta=141/100000000 v=-2642/3125
52 k=14 r=7562001/10000000 delta=171/100000000 v=-248297/250000
53 k=15 r=-7050691/10000000 delta=181/100000000 v=-948821/1000000
54 k=15 r=-2987947/5000000 delta=131/100000000 v=-365423/500000
55 k=15 r=-2460409/5000000 delta=53/25000000 v=-387143/1000000
56 k=15 r=-1942377/5000000 delta=111/50000000 v=8447/500000
57 k=15 r=-2867029/10000000 delta=71/50000000 v=102849/250000
58 k=15 r=-1867003/10000000 delta=191/100000000 v=366933/500000
59 k=15 r=-884073/10000000 delta=61/50000000 v=469061/500000
60 k=15 r=2573/312500 delta=19/12500000 v=499729/500000
61 k=15 r=1032771/10000000 delta=81/50000000 v=915877/1000000
62 k=15 r=1967751/10000000 delta=53/25000000 v=352951/500000
63 k=15 r=288777/1000000 delta=181/100000000 v=20191/50000
64 k=15 r=3793301/10000000 delta=101/50000000 v=1069/20000
65 k=15 r=4684791/10000000 delta=71/50000000 v=-298499/1000000
66 k=15 r=5562671/10000000 delta=141/100000000 v=-304291/500000
