Mn=525 den=2 N=250 errco=8780 C250=2597607/250000
92 k=189 r=-690661/5000000 delta=2649/200000000 v=532/625
93 k=189 r=5713331/10000000 delta=2659/200000000 v=-655267/1000000
94 k=190 r=-2975841/10000000 delta=413/31250000 v=92837/250000
95 k=190 r=1984331/5000000 delta=6583/500000000 v=-4167/250000
96 k=191 r=-4867511/10000000 delta=1323/100000000 v=-91849/250000
97 k=191 r=1933077/10000000 delta=13223/1000000000 v=357829/500000
98 k=192 r=-3522029/5000000 delta=83/6250000 v=-947979/1000000
99 k=192 r=-190773/5000000 delta=13173/1000000000 v=123547/125000
100 k=192 r=6213963/10000000 delta=13323/1000000000 v=-396217/500000
101 k=193 r=-59281/200000 delta=413/31250000 v=375723/1000000
102 k=193 r=1750761/5000000 delta=6583/500000000 v=169367/1000000
103 k=194 r=-5804001/10000000 delta=13309/1000000000 v=-682227/1000000
104 k=194 r=536621/10000000 delta=13259/1000000000 v=977051/1000000
105 k=194 r=3408303/5000000 delta=3311/250000000 v=-14299/15625
106 k=195 r=-2670961/10000000 delta=13251/1000000000 v=481541/1000000
107 k=195 r=436387/1250000 delta=6651/500000000 v=43369/250000
108 k=196 r=-764021/1250000 delta=3311/250000000 v=-191737/250000
109 k=196 r=-31887/5000000 delta=1643/125000000 v=39987/40000
110 k=196 r=5929429/10000000 delta=6597/500000000 v=-143607/200000
111 k=197 r=-3839537/10000000 delta=413/31250000 v=17487/500000
112 k=197 r=2046107/10000000 delta=3329/250000000 v=683359/1000000
113 k=198 r=-156569/200000 delta=13323/1000000000 v=-249987/250000
114 k=198 r=-1023247/5000000 delta=13223/1000000000 v=341623/500000
115 k=198 r=921249/2500000 delta=83/6250000 v=96647/1000000
116 k=199 r=-3170577/5000000 delta=83/6250000 v=-205607/250000
117 k=199 r=-177009/2500000 delta=13273/1000000000 v=480081/500000
118 k=199 r=4877111/10000000 delta=13223/1000000000 v=-74193/200000
119 k=200 r=-529289/1000000 delta=3329/250000000 v=-25979/50000
