Mn=416 den=1 sgn=1 N=900 eps=10000 J=106 psi=-573247/250000 u900=-624/625 d900=163/7812500 r900=-508553/1250000 k900=451
1 k=0 r=573247/1000000 delta=1/1000000000 v=-661031/1000000
2 k=46 r=1009799/2500000 delta=5233/250000000 v=-44867/1000000
3 k=73 r=1607891/10000000 delta=20977/1000000000 v=800207/1000000
4 k=92 r=2345973/10000000 delta=20941/1000000000 v=36943/62500
5 k=107 r=-301033/2500000 delta=20933/1000000000 v=88623/100000
6 k=119 r=-85331/10000000 delta=20847/1000000000 v=499709/500000
7 k=129 r=787941/2500000 delta=839/40000000 v=61029/200000
8 k=138 r=652751/10000000 delta=20811/1000000000 v=966107/1000000
9 k=146 r=-503327/2000000 delta=417/20000000 v=534691/1000000
10 k=153 r=-1448729/5000000 delta=20803/1000000000 v=25017/62500
11 k=159 r=197737/1000000 delta=131/6250000 v=175793/250000
12 k=165 r=-1778553/10000000 delta=10443/500000000 v=151487/200000
13 k=170 r=1463019/5000000 delta=20981/1000000000 v=389769/1000000
14 k=175 r=729271/5000000 delta=4169/200000000 v=166917/200000
15 k=180 r=-2664329/5000000 delta=10447/500000000 v=-531751/1000000
16 k=184 r=-1040471/10000000 delta=20923/1000000000 v=914637/1000000
17 k=188 r=-41137/500000 delta=20951/1000000000 v=189267/200000
18 k=192 r=-4209857/10000000 delta=1049/50000000 v=-22581/200000
19 k=195 r=4896141/10000000 delta=10451/500000000 v=-378023/1000000
20 k=199 r=-114767/250000 delta=2093/100000000 v=-8199/31250
21 k=202 r=-486381/5000000 delta=5213/250000000 v=925249/1000000
22 k=205 r=71037/2500000 delta=2083/100000000 v=248387/250000
23 k=208 r=-60987/1000000 delta=5227/250000000 v=121299/125000
24 k=211 r=-108493/312500 delta=20987/1000000000 v=181081/1000000
25 k=213 r=3783589/5000000 delta=20831/1000000000 v=-993427/1000000
26 k=216 r=77051/625000 delta=20851/1000000000 v=880857/1000000
27 k=219 r=-3320581/5000000 delta=20929/1000000000 v=-176923/200000
