# att541 PROFILE  x=88.0 dps=40 T=180
#   Xi(x)^2 = 3.70030207239e-54   L1 = 0.0   U(0)=L1/16 = 0.0
#     r          T(r,x)                 acT        U(r,x)=U0-M(r)          acU        signT signU
       0  -2.8254263063119e-55   1.83e-118  0.0                    5.08e-121   NEG +
    0.02  -3.0824376581144e-55   1.83e-118  5.9442843404908e-57    5.08e-121   NEG +
    0.05  -3.0445214217514e-55   1.83e-118  1.5289672060759e-56    5.08e-121   NEG +
     0.1  -1.1991567466762e-55   1.83e-118  2.6408609229236e-56    5.08e-121   NEG +
    0.15  -2.2727489825149e-56   1.83e-118  2.9688948677334e-56    5.08e-121   NEG +
     0.2  8.6292742621374e-56    1.83e-118  2.8595138962936e-56    5.08e-121   + +
    0.22  1.7251904371419e-55    1.83e-118  2.6040632518126e-56    5.08e-121   + +
    0.25  3.3344109685188e-55    1.83e-118  1.8549048544344e-56    5.08e-121   + +
    0.28  5.419419253633e-55     1.83e-118  5.5531118717463e-57    5.08e-121   + +
     0.3  7.0623067307063e-55    1.83e-118  -6.9102843310056e-57   5.08e-121   + NEG<<<
    0.35  1.137803544545e-54     1.83e-118  -5.2840916367309e-56   5.08e-121   + NEG<<<
     0.4  1.5555704891863e-54    1.83e-118  -1.2007737511261e-55   5.08e-121   + NEG<<<
     0.5  2.6035629953203e-54    1.83e-118  -3.2659673141911e-55   5.08e-121   + NEG<<<
     0.6  3.1555396371461e-54    1.83e-118  -6.172539900192e-55    5.08e-121   + NEG<<<
     0.7  3.39088112706e-54      1.83e-118  -9.4690319270267e-55   5.08e-121   + NEG<<<
     0.8  3.3832943393786e-54    1.83e-118  -1.2927983333245e-54   5.08e-121   + NEG<<<
     0.9  2.9159416735829e-54    1.83e-118  -1.6081337535128e-54   5.08e-121   + NEG<<<
     1.0  2.3744702633936e-54    1.83e-118  -1.8755282449336e-54   5.08e-121   + NEG<<<
     1.1  1.6333047264523e-54    1.83e-118  -2.0760183486006e-54   5.08e-121   + NEG<<<
     1.2  8.9038346471208e-55    1.83e-118  -2.2022212213252e-54   5.08e-121   + NEG<<<
     1.4  4.0898606581041e-59    1.83e-118  -2.2558872880163e-54   5.08e-121   + NEG<<<
     1.6  6.3226969275216e-75    1.83e-118  -2.2558876277761e-54   5.08e-121   + NEG<<<
     1.8  -9.6564419713957e-85   1.83e-118  -2.2558876277761e-54   5.08e-121   NEG NEG<<<
     2.0  -9.6564419711978e-85   1.83e-118  -2.2558876277761e-54   5.08e-121   NEG NEG<<<
     2.5  -9.6564419707902e-85   1.83e-118  -2.2558876277761e-54   5.08e-121   NEG NEG<<<
     3.0  -9.656441970475e-85    1.83e-118  -2.2558876277761e-54   5.08e-121   NEG NEG<<<
