M=58 sgn=-1 N=100 J=6 psi=504553/1000000
1 k=0 r=-630691/5000000 delta=21/100000000 v=875391/1000000
2 k=6 r=4997179/10000000 delta=233/50000000 v=-415121/1000000
3 k=10 r=957767/10000000 delta=529/100000000 v=231877/250000
4 k=13 r=-4452223/10000000 delta=341/100000000 v=-208551/1000000
5 k=15 r=-1756167/5000000 delta=501/100000000 v=165103/1000000
6 k=16 r=902041/1250000 delta=393/100000000 v=-30239/31250
7 k=18 r=-7391/40000 delta=309/100000000 v=29563/40000
8 k=19 r=1806339/10000000 delta=169/50000000 v=750131/1000000
9 k=20 r=794229/2500000 delta=57/12500000 v=295549/1000000
10 k=21 r=2746227/10000000 delta=527/100000000 v=454941/1000000
11 k=22 r=1341/15625 delta=417/100000000 v=18833/20000
12 k=23 r=-2233073/10000000 delta=77/25000000 v=626899/1000000
13 k=24 r=-1583711/2500000 delta=339/100000000 v=-820989/1000000
14 k=24 r=1102703/2500000 delta=101/25000000 v=-192323/1000000
15 k=25 r=-258637/2000000 delta=287/50000000 v=86917/100000
16 k=26 r=-7643063/10000000 delta=463/100000000 v=-996443/1000000
17 k=26 r=1147507/10000000 delta=343/100000000 v=179299/200000
18 k=27 r=-3136243/5000000 delta=331/100000000 v=-403247/500000
19 k=27 r=1567261/10000000 delta=451/100000000 v=809847/1000000
20 k=28 r=-3351587/5000000 delta=221/50000000 v=-895909/1000000
21 k=28 r=371399/10000000 delta=381/100000000 v=197797/200000
22 k=28 r=3558401/5000000 delta=161/50000000 v=-956839/1000000
23 k=29 r=-268207/1250000 delta=491/100000000 v=653753/1000000
24 k=29 r=251593/625000 delta=411/100000000 v=-39389/1000000
25 k=30 r=-2881643/5000000 delta=11/2500000 v=-67023/100000
26 k=30 r=-76283/10000000 delta=19/5000000 v=199907/200000
27 k=30 r=1079213/2000000 delta=383/100000000 v=-55439/100000
28 k=31 r=-503859/1000000 delta=529/100000000 v=-430133/1000000
29 k=31 r=12413/2500000 delta=389/100000000 v=999803/1000000
30 k=31 r=4965377/10000000 delta=247/50000000 v=-201757/500000
31 k=32 r=-2994031/5000000 delta=539/100000000 v=-9177/12500
32 k=32 r=-1384501/10000000 delta=559/100000000 v=212633/250000
33 k=32 r=3077389/10000000 delta=43/12500000 v=333337/1000000
34 k=32 r=7406069/10000000 delta=439/100000000 v=-983993/1000000
35 k=33 r=-4098701/10000000 delta=3/800000 v=-6863/100000
36 k=33 r=-3481/2500000 delta=87/25000000 v=62499/62500
37 k=33 r=3958927/10000000 delta=127/25000000 v=-6387/500000
38 k=33 r=7825823/10000000 delta=71/20000000 v=-999937/1000000
39 k=34 r=-823139/2000000 delta=317/100000000 v=-7541/100000
40 k=34 r=-444613/10000000 delta=153/50000000 v=984227/1000000
41 k=34 r=391977/1250000 delta=193/50000000 v=155607/500000
42 k=34 r=6629961/10000000 delta=477/100000000 v=-882517/1000000
43 k=35 r=-35413/62500 delta=243/50000000 v=-320437/500000
44 k=35 r=-11663/50000 delta=193/50000000 v=297697/500000
45 k=35 r=231491/2500000 delta=517/100000000 v=233047/250000
46 k=35 r=2056453/5000000 delta=577/100000000 v=-37149/500000
47 k=35 r=1446261/2000000 delta=293/50000000 v=-484571/500000
48 k=36 r=-2711957/5000000 delta=67/12500000 v=-281813/500000
49 k=36 r=-2434117/10000000 delta=567/100000000 v=35143/62500
50 k=36 r=123819/2500000 delta=67/12500000 v=24511/25000
51 k=36 r=3366657/10000000 delta=47/12500000 v=111131/500000
52 k=36 r=6182279/10000000 delta=119/25000000 v=-2452/3125
53 k=37 r=-422731/625000 delta=101/20000000 v=-1133/1250
54 k=37 r=-4053337/10000000 delta=13/4000000 v=-50517/1000000
55 k=37 r=-174089/1250000 delta=239/50000000 v=1061/1250
56 k=37 r=304993/2500000 delta=269/50000000 v=441639/500000
57 k=37 r=378641/1000000 delta=189/50000000 v=56203/1000000
58 k=37 r=6308213/10000000 delta=21/4000000 v=-814861/1000000
59 k=38 r=-6921057/10000000 delta=157/50000000 v=-116397/125000
60 k=38 r=-179361/400000 delta=369/100000000 v=-8839/40000
61 k=38 r=-521819/2500000 delta=389/100000000 v=167811/250000
62 k=38 r=270499/10000000 delta=489/100000000 v=124269/125000
63 k=38 r=2590549/10000000 delta=207/50000000 v=509477/1000000
64 k=38 r=243703/500000 delta=469/100000000 v=-46229/125000
65 k=38 r=7122167/10000000 delta=389/100000000 v=-957461/1000000
66 k=39 r=-1593003/2500000 delta=323/100000000 v=-414693/500000
67 k=39 r=-26197/62500 delta=463/100000000 v=-52807/500000
68 k=39 r=-2043333/10000000 delta=563/100000000 v=684169/1000000
69 k=39 r=73493/10000000 delta=563/100000000 v=62473/62500
70 k=39 r=107993/500000 delta=343/100000000 v=649443/1000000
71 k=39 r=527079/1250000 delta=11/2500000 v=-115597/1000000
72 k=39 r=6244637/10000000 delta=483/100000000 v=-399929/500000
73 k=40 r=-3731647/5000000 delta=333/100000000 v=-493907/500000
74 k=40 r=-219619/400000 delta=53/10000000 v=-73177/125000
75 k=40 r=-3544137/10000000 delta=513/100000000 v=4767/31250
76 k=40 r=-1623579/10000000 delta=353/100000000 v=199107/250000
77 k=40 r=271873/10000000 delta=453/100000000 v=994093/1000000
78 k=40 r=2142867/10000000 delta=413/100000000 v=654597/1000000
79 k=40 r=159601/400000 delta=293/100000000 v=-25211/1000000
80 k=40 r=5813949/10000000 delta=373/100000000 v=-685131/1000000
81 k=40 r=3807607/5000000 delta=31/10000000 v=-995443/1000000
82 k=41 r=-3156793/5000000 delta=161/50000000 v=-163221/200000
83 k=41 r=-1138997/2500000 delta=261/50000000 v=-248953/1000000
84 k=41 r=-2819441/10000000 delta=301/50000000 v=42867/100000
85 k=41 r=-275861/2500000 delta=341/100000000 v=226041/250000
86 k=41 r=592481/10000000 delta=541/100000000 v=60753/62500
87 k=41 r=2268801/10000000 delta=231/50000000 v=307851/500000
88 k=41 r=1962981/5000000 delta=241/50000000 v=103/250000
89 k=41 r=5564397/10000000 delta=401/100000000 v=-609129/1000000
90 k=41 r=3592263/5000000 delta=421/100000000 v=-24109/25000
91 k=42 r=-6921211/10000000 delta=79/12500000 v=-931199/1000000
92 k=42 r=-333531/625000 delta=113/25000000 v=-133601/250000
93 k=42 r=-3768913/10000000 delta=69/12500000 v=63189/1000000
94 k=42 r=-138631/625000 delta=123/25000000 v=157889/250000
95 k=42 r=-68369/1000000 delta=69/12500000 v=481419/500000
96 k=42 r=104331/1250000 delta=133/25000000 v=188957/200000
97 k=42 r=584313/2500000 delta=113/25000000 v=296949/500000
98 k=42 r=764889/2000000 delta=59/12500000 v=41007/1000000
99 k=42 r=5296539/10000000 delta=39/12500000 v=-520827/1000000
100 k=42 r=6753837/10000000 delta=123/25000000 v=-904727/1000000
