M=108 sgn=1 N=100 J=16 psi=-666873/500000
1 k=0 r=666873/2000000 delta=1/100000000 v=58709/250000
2 k=12 r=31071/156250 delta=17/2000000 v=699987/1000000
3 k=19 r=75419/500000 delta=37/4000000 v=411719/500000
4 k=24 r=160681/2500000 delta=659/100000000 v=483567/500000
5 k=28 r=-1940371/10000000 delta=981/100000000 v=713617/1000000
6 k=31 r=254/15625 delta=367/50000000 v=997887/1000000
7 k=34 r=-2670323/5000000 delta=557/100000000 v=-267903/500000
8 k=36 r=-703097/10000000 delta=41/6250000 v=120089/125000
9 k=38 r=-79401/2500000 delta=809/100000000 v=991941/1000000
10 k=40 r=-3286191/10000000 delta=99/10000000 v=126761/500000
11 k=41 r=3369797/5000000 delta=761/100000000 v=-180457/200000
12 k=43 r=-1183261/10000000 delta=581/100000000 v=890067/1000000
13 k=44 r=4720307/10000000 delta=593/100000000 v=-78007/250000
14 k=46 r=-6686467/10000000 delta=197/25000000 v=-22323/25000
15 k=47 r=-753271/2000000 delta=549/50000000 v=6421/100000
16 k=48 r=-2048917/10000000 delta=847/100000000 v=341269/500000
17 k=49 r=-1388233/10000000 delta=159/25000000 v=424873/500000
18 k=50 r=-25991/156250 delta=617/100000000 v=786689/1000000
19 k=51 r=-1386619/5000000 delta=207/25000000 v=445293/1000000
20 k=52 r=-1158003/2500000 delta=759/100000000 v=-55657/200000
21 k=53 r=-7166631/10000000 delta=713/100000000 v=-962441/1000000
22 k=53 r=2696887/5000000 delta=57/10000000 v=-553627/1000000
23 k=54 r=843893/5000000 delta=943/100000000 v=156127/200000
24 k=55 r=-2529081/10000000 delta=193/25000000 v=265239/500000
25 k=56 r=-3607553/5000000 delta=841/100000000 v=-241881/250000
26 k=56 r=3374487/10000000 delta=681/100000000 v=219207/1000000
27 k=57 r=-535897/2500000 delta=173/25000000 v=654379/1000000
28 k=57 r=1918919/2500000 delta=991/100000000 v=-498729/500000
29 k=58 r=1442369/10000000 delta=39/5000000 v=209533/250000
30 k=59 r=-204487/400000 delta=437/50000000 v=-228257/500000
31 k=59 r=3741077/10000000 delta=1049/100000000 v=74297/1000000
32 k=60 r=-1697369/5000000 delta=539/50000000 v=6603/31250
33 k=60 r=491361/1000000 delta=129/20000000 v=-384483/1000000
34 k=61 r=-2734053/10000000 delta=207/25000000 v=57409/125000
35 k=61 r=2546291/5000000 delta=131/20000000 v=-56191/125000
36 k=62 r=-601849/2000000 delta=697/100000000 v=358909/1000000
37 k=62 r=2194239/5000000 delta=977/100000000 v=-45887/250000
38 k=63 r=-2059529/5000000 delta=637/100000000 v=-76751/1000000
39 k=63 r=2894323/10000000 delta=303/50000000 v=20071/50000
