Mn=132 den=1 sgn=-1 N=250 J=22 psi=-502893/1000000 u250=467307/1000000 d250=3317/500000000 r250=1215607/10000000 k250=116
1 k=0 r=78577/625000 delta=201/1000000000 v=27381/31250
2 k=15 r=-5623657/10000000 delta=6609/1000000000 v=-156939/250000
3 k=23 r=62903/250000 delta=6667/1000000000 v=106973/200000
4 k=29 r=3203433/10000000 delta=6693/1000000000 v=285399/1000000
5 k=34 r=-339799/2000000 delta=3323/500000000 v=31113/40000
6 k=38 r=-4364753/10000000 delta=3337/500000000 v=-174211/1000000
7 k=41 r=-19341/312500 delta=6607/1000000000 v=121189/125000
8 k=44 r=-5746/15625 delta=3343/500000000 v=19931/200000
9 k=46 r=235939/625000 delta=1683/250000000 v=60749/1000000
10 k=48 r=3564031/5000000 delta=6657/1000000000 v=-958139/1000000
11 k=50 r=3582251/5000000 delta=169/25000000 v=-96221/100000
12 k=52 r=4462337/10000000 delta=1657/250000000 v=-106253/500000
13 k=54 r=-269749/5000000 delta=6789/1000000000 v=488403/500000
14 k=56 r=-1499957/2000000 delta=1651/250000000 v=-49499/50000
15 k=57 r=-440091/10000000 delta=6711/1000000000 v=492273/500000
16 k=58 r=102993/200000 delta=1357/200000000 v=-2349/5000
17 k=60 r=-3130079/5000000 delta=829/125000000 v=-803569/1000000
18 k=61 r=-3105849/10000000 delta=6739/1000000000 v=322583/1000000
19 k=62 r=-971637/10000000 delta=1689/250000000 v=46271/50000
20 k=63 r=247189/10000000 delta=6649/1000000000 v=248779/250000
21 k=64 r=79999/1250000 delta=6661/1000000000 v=967411/1000000
22 k=65 r=283629/10000000 delta=423/62500000 v=993571/1000000
23 k=66 r=-755241/10000000 delta=841/125000000 v=190943/200000
24 k=67 r=-302317/1250000 delta=331/50000000 v=56743/100000
25 k=68 r=-4655239/10000000 delta=669/100000000 v=-287197/1000000
26 k=69 r=-7420371/10000000 delta=6797/1000000000 v=-246249/250000
27 k=69 r=629241/1250000 delta=6797/1000000000 v=-13389/31250
28 k=70 r=265461/2000000 delta=6699/1000000000 v=862341/1000000
29 k=71 r=-2800529/10000000 delta=6611/1000000000 v=108873/250000
30 k=72 r=-7320997/10000000 delta=3359/500000000 v=-12217/12500
31 k=72 r=349967/1000000 delta=3359/500000000 v=170097/1000000
32 k=73 r=-1731223/10000000 delta=6777/1000000000 v=769659/1000000
33 k=74 r=-3642279/5000000 delta=667/100000000 v=-243543/250000
34 k=74 r=641733/2500000 delta=667/100000000 v=517583/1000000
35 k=75 r=-893789/2500000 delta=83/12500000 v=14027/100000
36 k=75 r=5721241/10000000 delta=83/12500000 v=-328827/500000
37 k=76 r=-236263/2500000 delta=6747/1000000000 v=929397/1000000
38 k=77 r=-785251/1000000 delta=6749/1000000000 v=-1
39 k=77 r=143881/2000000 delta=6749/1000000000 v=958881/1000000
40 k=78 r=-1658421/2500000 delta=6641/1000000000 v=-883217/1000000
41 k=78 r=757437/5000000 delta=6641/1000000000 v=410981/500000
42 k=79 r=-6240881/10000000 delta=6669/1000000000 v=-159791/200000
43 k=79 r=190523/1250000 delta=6669/1000000000 v=163967/200000
44 k=80 r=-1649311/2500000 delta=847/125000000 v=-876287/1000000
45 k=80 r=40939/500000 delta=847/125000000 v=473423/500000
46 k=81 r=-7636147/10000000 delta=21/3125000 v=-498103/500000
47 k=81 r=-134767/2500000 delta=21/3125000 v=488421/500000
48 k=81 r=3204277/5000000 delta=21/3125000 v=-104683/125000
49 k=82 r=-2495073/10000000 delta=6613/1000000000 v=13549/25000
50 k=82 r=4171851/10000000 delta=6613/1000000000 v=-24447/250000
51 k=83 r=-2500627/5000000 delta=6697/1000000000 v=-416603/1000000
52 k=83 r=1406719/10000000 delta=6697/1000000000 v=13216/15625
53 k=83 r=61541/80000 delta=6697/1000000000 v=-498959/500000
54 k=84 r=-923473/5000000 delta=3399/500000000 v=184823/250000
55 k=84 r=4208257/10000000 delta=3399/500000000 v=-112269/1000000
56 k=85 r=-5553601/10000000 delta=6691/1000000000 v=-605699/1000000
57 k=85 r=287267/10000000 delta=6691/1000000000 v=198681/200000
58 k=85 r=6026561/10000000 delta=6691/1000000000 v=-46533/62500
59 k=86 r=-16161/40000 delta=6619/1000000000 v=-5661/125000
60 k=86 r=1506093/10000000 delta=6619/1000000000 v=823957/1000000
61 k=86 r=3480381/5000000 delta=6619/1000000000 v=-936849/1000000
62 k=87 r=-845309/2500000 delta=3363/500000000 v=54143/250000
63 k=87 r=118681/625000 delta=3363/500000000 v=36257/50000
64 k=87 r=1419167/2000000 delta=3363/500000000 v=-14912/15625
65 k=88 r=-3495743/10000000 delta=677/100000000 v=34329/200000
66 k=88 r=385633/2500000 delta=677/100000000 v=81561/100000
67 k=88 r=6505039/10000000 delta=677/100000000 v=-428963/500000
68 k=89 r=-4313941/10000000 delta=6663/1000000000 v=-154163/1000000
69 k=89 r=503663/10000000 delta=6663/1000000000 v=489887/500000
70 k=89 r=2625967/5000000 delta=6663/1000000000 v=-252757/500000
71 k=90 r=-5775111/10000000 delta=831/125000000 v=-168433/250000
72 k=90 r=-72477/625000 delta=831/125000000 v=178867/200000
73 k=90 r=3392157/10000000 delta=831/125000000 v=42461/200000
74 k=91 r=-3912979/5000000 delta=1351/200000000 v=-999937/1000000
75 k=91 r=-679267/2000000 delta=1351/200000000 v=13167/62500
76 k=91 r=974581/10000000 delta=1351/200000000 v=924973/1000000
77 k=91 r=2644187/5000000 delta=1351/200000000 v=-129509/250000
78 k=92 r=-1540367/2500000 delta=6741/1000000000 v=-194863/250000
79 k=92 r=-978799/5000000 delta=6741/1000000000 v=708773/1000000
80 k=92 r=1096703/5000000 delta=6741/1000000000 v=319591/500000
81 k=92 r=6292831/10000000 delta=6741/1000000000 v=-811279/1000000
