Mn=428 den=1 sgn=-1 N=1200 eps=10000 J=110 psi=958431/1000000 u1200=-463069/500000 d1200=21569/1000000000 r1200=-1480053/5000000 k1200=483
1 k=0 r=-1198039/5000000 delta=201/1000000000 v=143701/250000
2 k=47 r=997099/10000000 delta=5391/250000000 v=115189/125000
3 k=75 r=-995643/2000000 delta=67/3125000 v=-25513/62500
4 k=94 r=439033/1000000 delta=5369/250000000 v=-46069/250000
5 k=109 r=7534533/10000000 delta=5371/250000000 v=-991847/1000000
6 k=122 r=-316997/2000000 delta=10763/500000000 v=201417/250000
7 k=132 r=784579/1250000 delta=21549/1000000000 v=-807473/1000000
8 k=141 r=194589/250000 delta=21489/1000000000 v=-999603/1000000
9 k=150 r=-7560299/10000000 delta=10739/500000000 v=-248277/250000
10 k=157 r=-4780307/10000000 delta=21429/1000000000 v=-334737/1000000
11 k=163 r=2953827/10000000 delta=21531/1000000000 v=379509/1000000
12 k=169 r=904123/5000000 delta=4303/200000000 v=749627/1000000
13 k=175 r=-1358769/2000000 delta=4289/200000000 v=-227857/250000
14 k=180 r=-6038101/10000000 delta=10747/500000000 v=-373801/500000
15 k=184 r=4952449/10000000 delta=21523/1000000000 v=-398777/1000000
16 k=189 r=-4531173/10000000 delta=4309/200000000 v=-239327/1000000
17 k=193 r=-155919/625000 delta=5379/250000000 v=135521/250000
18 k=197 r=-4167069/10000000 delta=21487/1000000000 v=-23971/250000
19 k=200 r=1312189/2000000 delta=10783/500000000 v=-2173/2500
20 k=204 r=-1387077/10000000 delta=21537/1000000000 v=84999/100000
21 k=207 r=923637/2500000 delta=5397/250000000 v=92843/1000000
22 k=210 r=3173529/5000000 delta=21509/1000000000 v=-823769/1000000
23 k=213 r=3393297/5000000 delta=21431/1000000000 v=-910231/1000000
24 k=216 r=1300369/2500000 delta=21451/1000000000 v=-243999/500000
25 k=219 r=878563/5000000 delta=21529/1000000000 v=763003/1000000
26 k=222 r=-1700307/5000000 delta=4319/200000000 v=104499/500000
27 k=224 r=278279/500000 delta=2141/100000000 v=-121901/200000
28 k=227 r=-2644871/10000000 delta=671/31250000 v=490661/1000000
29 k=229 r=1743447/5000000 delta=10773/500000000 v=175131/1000000
30 k=232 r=-7362391/10000000 delta=21467/1000000000 v=-980729/1000000
31 k=234 r=-5909/16000 delta=21521/1000000000 v=9341/100000
32 k=236 r=-568971/5000000 delta=2687/125000000 v=898183/1000000
33 k=238 r=371743/10000000 delta=21493/1000000000 v=197793/200000
34 k=240 r=898527/10000000 delta=861/40000000 v=117013/125000
35 k=242 r=19969/400000 delta=2683/125000000 v=30629/31250
36 k=244 r=-386919/5000000 delta=21553/1000000000 v=38099/40000
37 k=246 r=-574567/2000000 delta=4287/200000000 v=204639/500000
38 k=248 r=-5753787/10000000 delta=10791/500000000 v=-133481/200000
39 k=249 r=3166017/5000000 delta=10757/500000000 v=-820347/1000000
40 k=251 r=1003077/5000000 delta=42/1953125 v=694939/1000000
41 k=253 r=-2988691/10000000 delta=4297/200000000 v=36657/100000
42 k=254 r=3543889/5000000 delta=857/40000000 v=-953401/1000000
43 k=256 r=424743/5000000 delta=5391/250000000 v=942823/1000000
44 k=258 r=-238707/400000 delta=10727/500000000 v=-728599/1000000
45 k=259 r=1185129/5000000 delta=21561/1000000000 v=23329/40000
46 k=261 r=-2764123/5000000 delta=5357/250000000 v=-298799/500000
47 k=262 r=443883/2500000 delta=21483/1000000000 v=758223/1000000
48 k=264 r=-7113257/10000000 delta=10753/500000000 v=-478213/500000
49 k=265 r=-189669/2500000 delta=5351/250000000 v=190861/200000
50 k=266 r=5150357/10000000 delta=21511/1000000000 v=-470049/1000000
51 k=268 r=-1269197/2500000 delta=21477/1000000000 v=-3551/8000
52 k=269 r=-923/1250000 delta=21433/1000000000 v=249999/250000
53 k=270 r=4666227/10000000 delta=1077/50000000 v=-72851/250000
54 k=272 r=-6749153/10000000 delta=21449/1000000000 v=-903927/1000000
55 k=273 r=-2823579/10000000 delta=10731/500000000 v=213587/500000
56 k=274 r=748253/10000000 delta=21569/1000000000 v=955543/1000000
57 k=275 r=3978861/10000000 delta=21527/1000000000 v=-20747/1000000
58 k=276 r=1720031/2500000 delta=1071/50000000 v=-925083/1000000
59 k=278 r=-3122397/5000000 delta=21597/1000000000 v=-99987/125000
60 k=279 r=-3969161/10000000 delta=10749/500000000 v=-16867/1000000
61 k=280 r=-1990773/10000000 delta=5353/250000000 v=13987/20000
62 k=281 r=-300001/10000000 delta=21519/1000000000 v=992809/1000000
63 k=282 r=1112463/10000000 delta=21577/1000000000 v=902617/1000000
64 k=283 r=2255181/10000000 delta=2147/100000000 v=123997/200000
65 k=284 r=392089/1250000 delta=21441/1000000000 v=310873/1000000
66 k=285 r=1882487/5000000 delta=5387/250000000 v=64761/1000000
67 k=286 r=4147563/10000000 delta=5387/250000000 v=-44057/500000
68 k=287 r=4291757/10000000 delta=21441/1000000000 v=-145389/1000000
69 k=288 r=420451/1000000 delta=21469/1000000000 v=-5539/50000
70 k=289 r=486557/1250000 delta=2697/125000000 v=13813/1000000
