M=35 sgn=1 N=100 J=2 psi=-100683/250000
1 k=0 r=100683/1000000 delta=1/100000000 v=459997/500000
2 k=4 r=-234929/2000000 delta=137/50000000 v=891633/1000000
3 k=6 r=1443813/5000000 delta=163/50000000 v=12621/31250
4 k=8 r=-83903/250000 delta=197/100000000 v=226369/1000000
5 k=9 r=230489/5000000 delta=61/20000000 v=122881/125000
6 k=10 r=706151/10000000 delta=249/100000000 v=960373/1000000
7 k=11 r=-378407/2500000 delta=23/12500000 v=164449/200000
8 k=12 r=-2768797/5000000 delta=193/100000000 v=-37537/62500
9 k=12 r=4768421/10000000 delta=13/5000000 v=-330253/1000000
10 k=13 r=-1720497/10000000 delta=321/100000000 v=772391/1000000
11 k=13 r=827393/1250000 delta=261/100000000 v=-440237/500000
12 k=14 r=-368831/2500000 delta=181/100000000 v=830869/1000000
13 k=14 r=5528413/10000000 delta=101/50000000 v=-149413/250000
14 k=15 r=-3695103/10000000 delta=261/100000000 v=46311/500000
15 k=15 r=1170887/5000000 delta=331/100000000 v=296221/500000
16 k=16 r=-7719069/10000000 delta=27/10000000 v=-62409/62500
17 k=16 r=-482883/2000000 delta=21/10000000 v=568787/1000000
18 k=16 r=2586947/10000000 delta=223/100000000 v=127679/250000
19 k=16 r=1829457/2500000 delta=263/100000000 v=-977091/1000000
20 k=17 r=-975493/2500000 delta=61/25000000 v=10007/1000000
21 k=17 r=5737/156250 delta=209/100000000 v=494617/500000
22 k=17 r=4437669/10000000 delta=23/12500000 v=-101427/500000
23 k=18 r=-1476153/2000000 delta=299/100000000 v=-982139/1000000
24 k=18 r=-3656799/10000000 delta=259/100000000 v=53933/500000
25 k=18 r=-42437/5000000 delta=259/100000000 v=15616/15625
26 k=18 r=1673469/5000000 delta=229/100000000 v=45989/200000
27 k=18 r=6649217/10000000 delta=117/50000000 v=-886113/1000000
28 k=19 r=-5876577/10000000 delta=149/50000000 v=-351581/500000
29 k=19 r=-2806087/10000000 delta=31/12500000 v=43349/100000
30 k=19 r=160299/10000000 delta=59/20000000 v=199589/200000
31 k=19 r=94669/312500 delta=87/25000000 v=351369/1000000
32 k=19 r=5807419/10000000 delta=179/50000000 v=-341613/500000
33 k=20 r=-901003/1250000 delta=103/50000000 v=-241701/250000
34 k=20 r=-4595889/10000000 delta=247/100000000 v=-132189/500000
35 k=20 r=-51487/250000 delta=27/12500000 v=169861/250000
36 k=20 r=12671/312500 delta=207/100000000 v=246719/250000
37 k=20 r=1401441/5000000 delta=307/100000000 v=86929/200000
38 k=20 r=2568177/5000000 delta=113/50000000 v=-232549/500000
39 k=20 r=7409209/10000000 delta=177/100000000 v=-123027/125000
40 k=21 r=-3041723/5000000 delta=207/100000000 v=-30381/40000
41 k=21 r=-3922843/10000000 delta=227/100000000 v=1659/1000000
42 k=21 r=-1814307/10000000 delta=143/50000000 v=37401/50000
43 k=21 r=244611/10000000 delta=79/25000000 v=995217/1000000
44 k=21 r=1128097/5000000 delta=123/50000000 v=619667/1000000
45 k=21 r=4222569/10000000 delta=307/100000000 v=-29489/250000
46 k=21 r=1536431/2500000 delta=357/100000000 v=-193873/250000
47 k=22 r=-7680447/10000000 delta=89/25000000 v=-124699/125000
48 k=22 r=-5838273/10000000 delta=37/12500000 v=-346093/500000
49 k=22 r=-2017043/5000000 delta=337/100000000 v=-1713/40000
50 k=22 r=-2266349/10000000 delta=21/6250000 v=308237/500000
51 k=22 r=-533619/10000000 delta=59/25000000 v=488653/500000
52 k=22 r=1165463/10000000 delta=153/50000000 v=893289/1000000
53 k=22 r=2832181/10000000 delta=143/50000000 v=21203/50000
54 k=22 r=2233871/5000000 delta=49/25000000 v=-107309/500000
55 k=22 r=1518323/2500000 delta=307/100000000 v=-189219/250000
56 k=22 r=7649911/10000000 delta=317/100000000 v=-99667/100000
57 k=23 r=-6509339/10000000 delta=31/12500000 v=-107351/125000
58 k=23 r=-2493781/5000000 delta=13/4000000 v=-205809/500000
59 k=23 r=-3491799/10000000 delta=41/20000000 v=173199/1000000
60 k=23 r=-252647/1250000 delta=109/50000000 v=138121/200000
61 k=23 r=-287431/5000000 delta=57/25000000 v=973679/1000000
62 k=23 r=423967/5000000 delta=159/50000000 v=94303/100000
63 k=23 r=2247963/10000000 delta=11/4000000 v=77781/125000
64 k=23 r=725189/2000000 delta=77/25000000 v=1877/15625
65 k=23 r=4982561/10000000 delta=31/12500000 v=-204897/500000
66 k=23 r=1263693/2000000 delta=39/20000000 v=-817231/1000000
67 k=23 r=7634279/10000000 delta=57/20000000 v=-996141/1000000
68 k=24 r=-1694341/2500000 delta=81/25000000 v=-113587/125000
69 k=24 r=-5499969/10000000 delta=81/25000000 v=-588491/1000000
70 k=24 r=-848191/2000000 delta=107/50000000 v=-15657/125000
71 k=24 r=-2999799/10000000 delta=279/100000000 v=362433/1000000
72 k=24 r=-1776003/10000000 delta=71/25000000 v=7581/10000
73 k=24 r=-569087/10000000 delta=97/50000000 v=974203/1000000
74 k=24 r=621407/10000000 delta=319/100000000 v=969267/1000000
75 k=24 r=897961/5000000 delta=71/25000000 v=9411/12500
76 k=24 r=2954879/10000000 delta=51/25000000 v=4739/12500
77 k=24 r=2049343/5000000 delta=137/50000000 v=-4289/62500
78 k=24 r=2613867/5000000 delta=127/50000000 v=-248569/500000
79 k=24 r=6342399/10000000 delta=199/100000000 v=-822711/1000000
80 k=24 r=3721521/5000000 delta=117/50000000 v=-986521/1000000
81 k=25 r=-7177951/10000000 delta=179/100000000 v=-963661/1000000
82 k=25 r=-3052159/5000000 delta=51/25000000 v=-764929/1000000
83 k=25 r=-5043699/10000000 delta=43/12500000 v=-431977/1000000
84 k=25 r=-1997891/5000000 delta=91/25000000 v=-27513/1000000
85 k=25 r=-2960267/10000000 delta=189/100000000 v=94281/250000
86 k=25 r=-1936863/10000000 delta=349/100000000 v=714599/1000000
87 k=25 r=-925291/10000000 delta=137/50000000 v=186457/200000
88 k=25 r=467/62500 delta=71/25000000 v=999553/1000000
89 k=25 r=1063431/10000000 delta=259/100000000 v=182177/200000
90 k=25 r=1020547/5000000 delta=229/100000000 v=342411/500000
91 k=25 r=601591/2000000 delta=369/100000000 v=35939/100000
92 k=25 r=3964249/10000000 delta=279/100000000 v=-14903/1000000
93 k=25 r=1227551/2500000 delta=329/100000000 v=-15329/40000
94 k=25 r=2923021/5000000 delta=299/100000000 v=-27777/40000
95 k=25 r=846497/1250000 delta=309/100000000 v=-453897/500000
96 k=25 r=1537643/2000000 delta=319/100000000 v=-997803/1000000
97 k=26 r=-1778251/2500000 delta=29/10000000 v=-956397/1000000
98 k=26 r=-6215561/10000000 delta=13/5000000 v=-99103/125000
99 k=26 r=-1331807/2500000 delta=9/5000000 v=-531267/1000000
100 k=26 r=-277989/625000 delta=29/10000000 v=-20683/100000
