M=49 sgn=1 N=100 J=4 psi=148297/500000
1 k=0 r=-148297/2000000 delta=1/100000000 v=956337/1000000
2 k=5 r=1407307/2500000 delta=77/20000000 v=-629489/1000000
3 k=9 r=-7533149/10000000 delta=219/50000000 v=-991777/1000000
4 k=11 r=-1854011/5000000 delta=289/100000000 v=21869/250000
5 k=13 r=-7788863/10000000 delta=211/50000000 v=-999661/1000000
6 k=14 r=-290609/2500000 delta=83/25000000 v=893833/1000000
7 k=15 r=2013059/10000000 delta=261/100000000 v=13859/20000
8 k=16 r=665673/2500000 delta=27/10000000 v=484437/1000000
9 k=17 r=27663/200000 delta=187/50000000 v=13294/15625
10 k=18 r=-28363/200000 delta=227/50000000 v=52711/62500
11 k=19 r=-681327/1250000 delta=73/20000000 v=-572417/1000000
12 k=19 r=2604139/5000000 delta=53/20000000 v=-490371/1000000
13 k=20 r=-347227/5000000 delta=143/50000000 v=480833/500000
14 k=21 r=-7324191/10000000 delta=89/25000000 v=-97763/100000
15 k=21 r=281859/2500000 delta=243/50000000 v=900023/1000000
16 k=22 r=-3337279/5000000 delta=183/50000000 v=-445383/500000
17 k=22 r=375979/5000000 delta=133/50000000 v=191021/200000
18 k=22 r=7753863/10000000 delta=267/100000000 v=-499599/500000
19 k=23 r=-266173/2000000 delta=199/50000000 v=861619/1000000
20 k=23 r=4952563/10000000 delta=87/25000000 v=-398819/1000000
21 k=24 r=-955721/2000000 delta=157/50000000 v=-20881/62500
22 k=24 r=920097/10000000 delta=259/100000000 v=186607/200000
23 k=24 r=3182719/5000000 delta=207/50000000 v=-413957/500000
24 k=25 r=-1032243/2500000 delta=81/25000000 v=-16141/200000
25 k=25 r=435861/5000000 delta=91/25000000 v=469911/500000
26 k=25 r=5676259/10000000 delta=157/50000000 v=-321997/500000
27 k=26 r=-2704257/5000000 delta=1/312500 v=-558527/1000000
28 k=26 r=-953477/10000000 delta=423/100000000 v=232037/250000
29 k=26 r=3345209/10000000 delta=353/100000000 v=115309/500000
30 k=26 r=7498149/10000000 delta=39/10000000 v=-15467/15625
31 k=27 r=-4193061/10000000 delta=241/50000000 v=-106227/1000000
32 k=27 r=-60769/2000000 delta=59/12500000 v=992623/1000000
33 k=27 r=3465683/10000000 delta=301/100000000 v=91739/500000
34 k=27 r=7122671/10000000 delta=93/25000000 v=-957519/1000000
35 k=28 r=-5034319/10000000 delta=151/50000000 v=-42859/100000
36 k=28 r=-1583387/10000000 delta=321/100000000 v=806047/1000000
37 k=28 r=443247/2500000 delta=421/100000000 v=379443/500000
38 k=28 r=629981/1250000 delta=73/25000000 v=-430587/1000000
39 k=29 r=-3743059/5000000 delta=261/100000000 v=-494597/500000
40 k=29 r=-4384687/10000000 delta=63/25000000 v=-182057/1000000
41 k=29 r=-679921/5000000 delta=39/12500000 v=427839/500000
42 k=29 r=398027/2500000 delta=421/100000000 v=803977/1000000
43 k=29 r=2237297/5000000 delta=431/100000000 v=-108647/500000
44 k=29 r=729081/1000000 delta=341/100000000 v=-487367/500000
45 k=30 r=-1416057/2500000 delta=443/100000000 v=-128061/200000
46 k=30 r=-742953/2500000 delta=473/100000000 v=372843/1000000
47 k=30 r=-168651/5000000 delta=49/10000000 v=15483/15625
48 k=30 r=2241741/10000000 delta=43/10000000 v=312097/500000
49 k=30 r=4767603/10000000 delta=463/100000000 v=-65989/200000
50 k=30 r=1448487/2000000 delta=47/10000000 v=-97023/100000
51 k=31 r=-3019853/5000000 delta=319/100000000 v=-187007/250000
52 k=31 r=-3660991/10000000 delta=409/100000000 v=106199/1000000
53 k=31 r=-1327587/10000000 delta=429/100000000 v=862283/1000000
54 k=31 r=962199/10000000 delta=279/100000000 v=231711/250000
55 k=31 r=3209969/10000000 delta=53/12500000 v=282893/1000000
56 k=31 r=1354309/2500000 delta=227/50000000 v=-280709/500000
57 k=31 r=3792717/5000000 delta=167/50000000 v=-248559/250000
58 k=32 r=-5992041/10000000 delta=449/100000000 v=-18381/25000
59 k=32 r=-3897973/10000000 delta=289/100000000 v=11607/1000000
60 k=32 r=-1839101/10000000 delta=147/50000000 v=741401/1000000
61 k=32 r=185739/10000000 delta=81/25000000 v=997241/1000000
62 k=32 r=2177653/10000000 delta=217/50000000 v=128803/200000
63 k=32 r=2068847/5000000 delta=379/100000000 v=-42091/500000
64 k=32 r=1516717/2500000 delta=101/25000000 v=-151039/200000
65 k=33 r=-967729/1250000 delta=71/20000000 v=-499497/500000
66 k=33 r=-5871567/10000000 delta=9/3125000 v=-140347/200000
67 k=33 r=-4029427/10000000 delta=199/50000000 v=-40963/1000000
68 k=33 r=-2214579/10000000 delta=117/25000000 v=316323/500000
69 k=33 r=-213113/5000000 delta=117/25000000 v=492751/500000
70 k=33 r=668197/5000000 delta=149/50000000 v=430247/500000
71 k=33 r=768503/2500000 delta=3/800000 v=33461/100000
72 k=33 r=4787327/10000000 delta=97/25000000 v=-168691/500000
73 k=33 r=6477009/10000000 delta=139/50000000 v=-53257/62500
74 k=34 r=-3782131/5000000 delta=233/50000000 v=-993293/1000000
75 k=34 r=-2959971/5000000 delta=417/100000000 v=-715389/1000000
76 k=34 r=-2148701/5000000 delta=297/100000000 v=-147623/1000000
77 k=34 r=-337009/1250000 delta=387/100000000 v=236357/500000
78 k=34 r=-223081/2000000 delta=367/100000000 v=90211/100000
79 k=34 r=222563/5000000 delta=133/50000000 v=984191/1000000
80 k=34 r=1986027/10000000 delta=307/100000000 v=140141/200000
81 k=34 r=701557/2000000 delta=1/390625 v=83449/500000
82 k=34 r=626359/1250000 delta=247/100000000 v=-420097/1000000
83 k=34 r=3247869/5000000 delta=467/100000000 v=-856009/1000000
84 k=35 r=-3872571/5000000 delta=129/25000000 v=-249763/250000
85 k=35 r=-314771/500000 delta=297/100000000 v=-202971/250000
86 k=35 r=-75979/156250 delta=457/100000000 v=-36559/100000
87 k=35 r=-689291/2000000 delta=203/50000000 v=191033/1000000
88 k=35 r=-51161/250000 delta=109/25000000 v=341631/500000
89 k=35 r=-165561/2500000 delta=347/100000000 v=965119/1000000
90 k=35 r=141297/2000000 delta=337/100000000 v=192067/200000
91 k=35 r=206009/1000000 delta=517/100000000 v=135853/200000
92 k=35 r=3398901/10000000 delta=367/100000000 v=209669/1000000
93 k=35 r=4723239/10000000 delta=477/100000000 v=-156571/500000
94 k=35 r=6033411/10000000 delta=387/100000000 v=-149271/200000
95 k=35 r=183243/250000 delta=457/100000000 v=-244523/250000
96 k=36 r=-7095509/10000000 delta=457/100000000 v=-954329/1000000
97 k=36 r=-1456517/2500000 delta=377/100000000 v=-344327/500000
98 k=36 r=-4569647/10000000 delta=367/100000000 v=-254241/1000000
99 k=36 r=-3325981/10000000 delta=247/100000000 v=47619/200000
100 k=36 r=-418963/2000000 delta=417/100000000 v=334503/500000
