Mn=561 den=2 N=250 errco=10013 C250=3142621/500000
2 k=31 r=-438711/5000000 delta=7087/500000000 v=5869/6250
3 k=49 r=17791/250000 delta=141/10000000 v=479879/500000
4 k=62 r=-175481/1000000 delta=3539/250000000 v=763601/1000000
5 k=72 r=-2354993/10000000 delta=2817/200000000 v=294087/500000
6 k=80 r=-165747/10000000 delta=3519/250000000 v=997803/1000000
7 k=87 r=-126457/625000 delta=14177/1000000000 v=689987/1000000
8 k=93 r=-2632197/10000000 delta=7017/500000000 v=15471/31250
9 k=98 r=284663/2000000 delta=7099/500000000 v=105283/125000
10 k=103 r=-64649/200000 delta=14141/1000000000 v=17141/62500
11 k=107 r=385987/5000000 delta=14183/1000000000 v=476351/500000
12 k=111 r=-521567/5000000 delta=7099/500000000 v=182841/200000
13 k=115 r=-1936261/2500000 delta=14077/1000000000 v=-999051/1000000
14 k=118 r=-2900699/10000000 delta=7027/500000000 v=399083/1000000
15 k=121 r=-821659/5000000 delta=14183/1000000000 v=197907/250000
16 k=124 r=-219349/625000 delta=7071/500000000 v=41547/250000
17 k=126 r=758749/1000000 delta=1757/125000000 v=-248581/250000
18 k=129 r=68241/1250000 delta=563/40000000 v=244063/250000
19 k=131 r=3522313/5000000 delta=887/62500000 v=-237013/250000
20 k=134 r=-2054919/5000000 delta=14189/1000000000 v=-36537/500000
21 k=136 r=-327909/2500000 delta=7089/500000000 v=865497/1000000
22 k=138 r=-105413/10000000 delta=14061/1000000000 v=999111/1000000
23 k=140 r=-69903/2000000 delta=7073/500000000 v=990243/1000000
24 k=142 r=-960261/5000000 delta=3533/250000000 v=179789/250000
25 k=144 r=-4710021/10000000 delta=7059/500000000 v=-77029/250000
26 k=145 r=1771383/2500000 delta=14093/1000000000 v=-95313/100000
27 k=147 r=2134991/10000000 delta=14157/1000000000 v=26279/40000
28 k=149 r=-1889043/5000000 delta=14121/1000000000 v=59527/1000000
29 k=150 r=204869/400000 delta=7089/500000000 v=-45991/100000
30 k=152 r=-100831/400000 delta=14043/1000000000 v=533291/1000000
31 k=153 r=4765179/10000000 delta=14053/1000000000 v=-329029/1000000
32 k=155 r=-1096743/2500000 delta=14189/1000000000 v=-45739/250000
33 k=156 r=29673/200000 delta=3543/250000000 v=829011/1000000
34 k=157 r=6710103/10000000 delta=14179/1000000000 v=-897137/1000000
35 k=159 r=-218917/500000 delta=1421/100000000 v=-179561/1000000
36 k=160 r=-331459/10000000 delta=141/10000000 v=123903/125000
37 k=161 r=1587063/5000000 delta=7073/500000000 v=59323/200000
38 k=162 r=3083619/5000000 delta=7069/500000000 v=-24403/31250
39 k=164 r=-7033369/10000000 delta=7037/500000000 v=-94661/100000
40 k=165 r=-199489/400000 delta=14067/1000000000 v=-82299/200000
41 k=166 r=-1689751/5000000 delta=14193/1000000000 v=217249/1000000
42 k=167 r=-68407/312500 delta=14153/1000000000 v=640529/1000000
43 k=168 r=-10908/78125 delta=2819/200000000 v=106007/125000
44 k=169 r=-2457/25000 delta=2823/200000000 v=461859/500000
45 k=170 r=-7279/78125 delta=7111/500000000 v=931353/1000000
46 k=171 r=-306743/2500000 delta=14079/1000000000 v=881961/1000000
47 k=172 r=-1853643/10000000 delta=14217/1000000000 v=147497/200000
48 k=173 r=-2797909/10000000 delta=3511/250000000 v=87287/200000
49 k=174 r=-2023329/5000000 delta=14151/1000000000 v=-47849/1000000
50 k=175 r=-349213/625000 delta=7029/500000000 v=-616403/1000000
51 k=176 r=-3704399/5000000 delta=2813/200000000 v=-984187/1000000
52 k=176 r=1241629/2000000 delta=2843/200000000 v=-197753/250000
53 k=177 r=964433/2500000 delta=7111/500000000 v=277/10000
