M=93 sgn=-1 N=100 J=13 psi=-127699/1000000
1 k=0 r=319247/10000000 delta=21/100000000 v=495929/500000
2 k=10 r=2198167/5000000 delta=739/100000000 v=-46659/250000
3 k=16 r=552399/1250000 delta=813/100000000 v=-195611/1000000
4 k=21 r=-7234543/10000000 delta=537/100000000 v=-48473/50000
5 k=24 r=-2477557/10000000 delta=211/25000000 v=273917/500000
6 k=27 r=-1442337/2000000 delta=611/100000000 v=-483589/500000
7 k=29 r=-1393789/5000000 delta=491/100000000 v=440149/1000000
8 k=31 r=-197341/625000 delta=569/100000000 v=4734/15625
9 k=33 r=-7188827/10000000 delta=137/20000000 v=-482407/500000
10 k=34 r=159953/1000000 delta=423/50000000 v=25069/31250
11 k=36 r=-382839/500000 delta=647/100000000 v=-996891/1000000
12 k=37 r=-1567299/5000000 delta=99/20000000 v=311677/1000000
13 k=38 r=-29079/1250000 delta=499/100000000 v=497837/500000
14 k=39 r=1289509/10000000 delta=663/100000000 v=869897/1000000
15 k=40 r=405597/2500000 delta=943/100000000 v=199179/250000
16 k=41 r=919631/10000000 delta=371/50000000 v=466551/500000
17 k=42 r=-173277/2500000 delta=551/100000000 v=480907/500000
18 k=43 r=-155587/500000 delta=2/390625 v=320351/1000000
19 k=44 r=-3124537/5000000 delta=723/100000000 v=-400461/500000
20 k=44 r=5676617/10000000 delta=673/100000000 v=-644103/1000000
21 k=45 r=1312367/10000000 delta=589/100000000 v=865351/1000000
22 k=46 r=-3579693/10000000 delta=19/4000000 v=138473/1000000
23 k=46 r=3377671/5000000 delta=399/50000000 v=-904983/1000000
24 k=47 r=942489/10000000 delta=167/25000000 v=37191/40000
25 k=48 r=-5274361/10000000 delta=737/100000000 v=-513233/1000000
26 k=48 r=768891/2000000 delta=607/100000000 v=2063/62500
27 k=49 r=-1544441/5000000 delta=587/100000000 v=328999/1000000
28 k=49 r=1073319/2000000 delta=219/25000000 v=-544541/1000000
29 k=50 r=-545659/2500000 delta=169/25000000 v=642489/1000000
30 k=50 r=227979/400000 delta=747/100000000 v=-65107/100000
31 k=51 r=-476971/2000000 delta=37/4000000 v=72309/125000
32 k=51 r=2498359/5000000 delta=183/20000000 v=-414953/1000000
33 k=52 r=-711367/2000000 delta=549/100000000 v=73761/500000
34 k=52 r=3383979/10000000 delta=181/25000000 v=215501/1000000
35 k=53 r=-2792191/5000000 delta=11/2000000 v=-12309/20000
36 k=53 r=965347/10000000 delta=593/100000000 v=92637/100000
37 k=53 r=916951/1250000 delta=853/100000000 v=-48929/50000
38 k=54 r=-2171987/10000000 delta=11/2000000 v=645747/1000000
39 k=54 r=3867313/10000000 delta=533/100000000 v=23869/1000000
40 k=55 r=-297713/500000 delta=471/100000000 v=-724913/1000000
41 k=55 r=-213227/10000000 delta=611/100000000 v=199273/200000
42 k=55 r=2694727/5000000 delta=381/50000000 v=-552187/1000000
43 k=56 r=-4847669/10000000 delta=801/100000000 v=-360003/1000000
44 k=56 r=248697/5000000 delta=631/100000000 v=980273/1000000
45 k=56 r=5722333/10000000 delta=411/50000000 v=-657983/1000000
46 k=57 r=-975107/2000000 delta=431/50000000 v=-18519/50000
47 k=57 r=62329/5000000 delta=941/100000000 v=998757/1000000
48 k=57 r=627447/1250000 delta=841/100000000 v=-211627/500000
49 k=58 r=-5894403/10000000 delta=903/100000000 v=-354107/500000
50 k=58 r=-598637/5000000 delta=91/10000000 v=443749/500000
51 k=58 r=3406837/10000000 delta=13/2000000 v=51641/250000
52 k=59 r=-7786421/10000000 delta=769/100000000 v=-199927/200000
53 k=59 r=-839429/2500000 delta=829/100000000 v=225747/1000000
54 k=59 r=197641/2000000 delta=519/100000000 v=115361/125000
55 k=59 r=262719/500000 delta=49/6250000 v=-253179/500000
56 k=60 r=-6264281/10000000 delta=33/4000000 v=-804549/1000000
57 k=60 r=-2149129/10000000 delta=1/160000 v=652701/1000000
58 k=60 r=1894451/10000000 delta=53/6250000 v=726363/1000000
59 k=60 r=5868907/10000000 delta=33/6250000 v=-700977/1000000
60 k=61 r=-2965701/5000000 delta=109/20000000 v=-89823/125000
