Mn=214 den=1 sgn=1 N=500 J=43 psi=-4983/100000 u500=-883021/1000000 d500=2681/250000000 r500=-5148331/10000000 k500=212
1 k=0 r=4983/400000 delta=1/1000000000 v=998759/1000000
2 k=24 r=-3016409/5000000 delta=5387/500000000 v=-746197/1000000
3 k=37 r=52246/78125 delta=10767/1000000000 v=-55819/62500
4 k=47 r=3517779/10000000 delta=10839/1000000000 v=32591/200000
5 k=55 r=-2764101/10000000 delta=681/62500000 v=224281/500000
6 k=61 r=530121/10000000 delta=679/62500000 v=488801/500000
7 k=66 r=446093/1000000 delta=87/8000000 v=-52989/250000
8 k=71 r=-659897/2500000 delta=1349/125000000 v=492501/1000000
9 k=75 r=-38399/156250 delta=10763/1000000000 v=554517/1000000
10 k=78 r=3393221/5000000 delta=5381/500000000 v=-455103/500000
11 k=82 r=-2527227/5000000 delta=1079/100000000 v=-435853/1000000
12 k=85 r=-1125449/2000000 delta=1339/125000000 v=-78609/125000
13 k=87 r=5779673/10000000 delta=5363/500000000 v=-16877/25000
14 k=90 r=-1696437/10000000 delta=2151/200000000 v=194617/250000
15 k=92 r=1899419/5000000 delta=10741/1000000000 v=51239/1000000
16 k=94 r=6911009/10000000 delta=10727/1000000000 v=-116213/125000
17 k=97 r=-48617/62500 delta=2161/200000000 v=-999547/1000000
18 k=98 r=7093061/10000000 delta=2141/200000000 v=-238509/250000
19 k=100 r=2301543/5000000 delta=2721/250000000 v=-133577/500000
20 k=102 r=25163/400000 delta=10869/1000000000 v=242127/250000
21 k=104 r=-2342047/5000000 delta=2687/250000000 v=-298233/1000000
22 k=105 r=4496143/10000000 delta=2171/200000000 v=-225699/1000000
23 k=107 r=-3138071/10000000 delta=10733/1000000000 v=77589/250000
24 k=108 r=490419/1250000 delta=10777/1000000000 v=91/62500
25 k=110 r=-1130561/2000000 delta=2703/250000000 v=-159197/250000
26 k=111 r=-377693/10000000 delta=5449/500000000 v=98861/100000
27 k=112 r=1026351/2500000 delta=5403/500000000 v=-14261/200000
28 k=114 r=-7853803/10000000 delta=541/50000000 v=-1
29 k=115 r=-4787921/10000000 delta=10727/1000000000 v=-168803/500000
30 k=116 r=-1179291/5000000 delta=10769/1000000000 v=146753/250000
31 k=117 r=-523949/10000000 delta=10861/1000000000 v=489059/500000
32 k=118 r=753643/10000000 delta=10849/1000000000 v=190981/200000
33 k=119 r=301697/2000000 delta=10847/1000000000 v=411707/500000
34 k=120 r=1771877/10000000 delta=537/50000000 v=94897/125000
35 k=121 r=786113/5000000 delta=10833/1000000000 v=808681/1000000
36 k=122 r=187139/2000000 delta=10877/1000000000 v=232693/250000
37 k=123 r=-28451/2500000 delta=5409/500000000 v=249741/250000
38 k=124 r=-38857/250000 delta=10711/1000000000 v=812883/1000000
39 k=125 r=-3365351/10000000 delta=2701/250000000 v=222771/1000000
40 k=126 r=-5528291/10000000 delta=5353/500000000 v=-597613/1000000
41 k=126 r=30729/40000 delta=5353/500000000 v=-498821/500000
42 k=127 r=4866503/10000000 delta=10813/1000000000 v=-367021/1000000
43 k=128 r=1747357/10000000 delta=67/6250000 v=765523/1000000
44 k=129 r=-207653/1250000 delta=431/40000000 v=24601/31250
45 k=130 r=-5346239/10000000 delta=2147/200000000 v=-268847/500000
46 k=130 r=801559/1250000 delta=2717/250000000 v=-838319/1000000
47 k=131 r=110519/500000 delta=5421/500000000 v=316973/500000
48 k=132 r=-446803/2000000 delta=5427/500000000 v=313303/500000
49 k=133 r=-3455353/5000000 delta=10747/1000000000 v=-929659/1000000
50 k=133 r=60903/156250 delta=10747/1000000000 v=11679/1000000
51 k=134 r=-60789/500000 delta=2691/250000000 v=884063/1000000
52 k=135 r=-326753/500000 delta=2683/250000000 v=-432017/500000
53 k=135 r=3655727/10000000 delta=2683/250000000 v=108293/1000000
54 k=136 r=-2051963/10000000 delta=433/40000000 v=681647/1000000
55 k=136 r=3882403/5000000 delta=5389/500000000 v=-249841/250000
56 k=137 r=84837/500000 delta=5359/500000000 v=97299/125000
57 k=138 r=-4541937/10000000 delta=1349/125000000 v=-48701/200000
58 k=138 r=1190669/2500000 delta=1349/125000000 v=-82021/250000
59 k=139 r=-1799783/10000000 delta=10899/1000000000 v=751863/1000000
60 k=139 r=1438403/2000000 delta=669/62500000 v=-241287/250000
61 k=140 r=327227/10000000 delta=2699/250000000 v=495723/500000
62 k=141 r=-6681369/10000000 delta=10889/1000000000 v=-223/250
63 k=141 r=375769/2000000 delta=10889/1000000000 v=9133/12500
64 k=142 r=-5403777/10000000 delta=10821/1000000000 v=-111391/200000
