M=11 sgn=-1 N=25 J=0 psi=330889/1000000
1 k=0 r=-413611/5000000 delta=21/100000000 v=472877/500000
2 k=1 r=1263181/5000000 delta=51/50000000 v=531399/1000000
3 k=2 r=-2031311/10000000 delta=103/100000000 v=171917/250000
4 k=2 r=2939973/5000000 delta=73/100000000 v=-704119/1000000
5 k=3 r=-369157/1000000 delta=109/100000000 v=94029/1000000
6 k=3 r=1322273/10000000 delta=37/50000000 v=431679/500000
7 k=3 r=5561417/10000000 delta=1/1562500 v=-76023/125000
8 k=4 r=-6474433/10000000 delta=59/100000000 v=-212893/250000
9 k=4 r=-16177/50000 delta=37/50000000 v=273121/1000000
10 k=4 r=-168993/5000000 delta=21/25000000 v=7927/8000
11 k=4 r=570761/2500000 delta=1/1562500 v=305601/500000
12 k=4 r=4675857/10000000 delta=69/100000000 v=-295087/1000000
13 k=4 r=859629/1250000 delta=37/50000000 v=-231153/250000
14 k=5 r=-3396481/5000000 delta=17/25000000 v=-911283/1000000
15 k=5 r=-2447829/5000000 delta=49/50000000 v=-94461/250000
16 k=5 r=-3120849/10000000 delta=11/12500000 v=158449/500000
17 k=5 r=-181709/1250000 delta=17/25000000 v=835657/1000000
18 k=5 r=23637/2000000 delta=17/20000000 v=998883/1000000
19 k=5 r=1605033/10000000 delta=17/20000000 v=200223/250000
20 k=5 r=3015599/10000000 delta=19/20000000 v=71307/200000
21 k=5 r=272333/625000 delta=39/50000000 v=-85643/500000
22 k=5 r=5636629/10000000 delta=3/4000000 v=-315893/500000
23 k=5 r=1714763/2500000 delta=49/50000000 v=-921849/1000000
24 k=6 r=-3839261/5000000 delta=87/100000000 v=-498769/500000
25 k=6 r=-6555917/10000000 delta=87/100000000 v=-217051/250000
