M=42 sgn=1 N=100 J=3 psi=-69223/200000
1 k=0 r=108161/1250000 delta=21/100000000 v=470349/500000
2 k=5 r=-195763/400000 delta=67/20000000 v=-188629/500000
3 k=7 r=1252767/2000000 delta=377/100000000 v=-804443/1000000
4 k=9 r=2527263/5000000 delta=129/50000000 v=-217939/500000
5 k=11 r=-22901/78125 delta=3/781250 v=19391/50000
6 k=12 r=504473/10000000 delta=31/10000000 v=97971/100000
7 k=13 r=982331/10000000 delta=221/100000000 v=92379/100000
8 k=14 r=-176209/2500000 delta=231/100000000 v=960519/1000000
9 k=15 r=-4045581/10000000 delta=161/50000000 v=-23709/500000
10 k=15 r=7017273/10000000 delta=191/50000000 v=-472257/500000
11 k=16 r=1316879/10000000 delta=313/100000000 v=172889/200000
12 k=17 r=-525489/1000000 delta=219/100000000 v=-253267/500000
13 k=17 r=1574797/5000000 delta=7/3125000 v=76493/250000
14 k=18 r=-597129/1250000 delta=309/100000000 v=-333503/1000000
15 k=18 r=123361/500000 delta=409/100000000 v=551289/1000000
16 k=19 r=-6464199/10000000 delta=169/50000000 v=-849419/1000000
17 k=19 r=-98613/10000000 delta=109/50000000 v=499611/500000
18 k=19 r=295151/500000 delta=49/20000000 v=-710643/1000000
19 k=20 r=-825577/2000000 delta=21/6250000 v=-80271/1000000
20 k=20 r=1257911/10000000 delta=79/25000000 v=876061/1000000
21 k=20 r=3190439/5000000 delta=267/100000000 v=-415681/500000
22 k=21 r=-1110621/2500000 delta=27/12500000 v=-204739/1000000
23 k=21 r=28119/1250000 delta=21/6250000 v=497977/500000
24 k=21 r=4693711/10000000 delta=37/12500000 v=-301903/1000000
25 k=22 r=-6727943/10000000 delta=163/50000000 v=-450133/500000
26 k=22 r=-326221/1250000 delta=133/50000000 v=502847/1000000
27 k=22 r=1352967/10000000 delta=297/100000000 v=428549/500000
28 k=22 r=5171569/10000000 delta=193/50000000 v=-477521/1000000
29 k=23 r=-3425903/5000000 delta=63/20000000 v=-460361/500000
30 k=23 r=-3292143/10000000 delta=41/12500000 v=251219/1000000
31 k=23 r=150789/10000000 delta=79/20000000 v=499091/500000
32 k=23 r=1742201/5000000 delta=83/20000000 v=11007/62500
33 k=23 r=3357713/5000000 delta=31/12500000 v=-35923/40000
34 k=24 r=-732247/1250000 delta=81/25000000 v=-174463/250000
35 k=24 r=-703571/2500000 delta=279/100000000 v=430533/1000000
36 k=24 r=71829/5000000 delta=61/25000000 v=998349/1000000
37 k=24 r=60411/200000 delta=91/25000000 v=88671/250000
38 k=24 r=1455179/2500000 delta=259/100000000 v=-6871/10000
39 k=25 r=-7159821/10000000 delta=107/50000000 v=-480849/500000
40 k=25 r=-1125363/2500000 delta=107/50000000 v=-28471/125000
41 k=25 r=-1908727/10000000 delta=289/100000000 v=722427/1000000
42 k=25 r=155379/2500000 delta=167/50000000 v=121157/125000
43 k=25 r=1546109/5000000 delta=177/50000000 v=327739/1000000
44 k=25 r=5506117/10000000 delta=147/50000000 v=-295239/500000
