M=55 sgn=1 N=100 J=5 psi=87949/250000
1 k=0 r=-87949/1000000 delta=1/100000000 v=187751/200000
2 k=6 r=45117/2500000 delta=57/12500000 v=249349/250000
3 k=10 r=-6899933/10000000 delta=489/100000000 v=-928063/1000000
4 k=12 r=49617/400000 delta=1/312500 v=219853/250000
5 k=14 r=506737/10000000 delta=491/100000000 v=122441/125000
6 k=16 r=-233599/400000 delta=393/100000000 v=-692677/1000000
7 k=17 r=-17611/500000 delta=279/100000000 v=247523/250000
8 k=18 r=2300383/10000000 delta=329/100000000 v=302849/500000
9 k=19 r=2787587/10000000 delta=83/20000000 v=220073/500000
10 k=20 r=313339/2000000 delta=129/25000000 v=40499/50000
11 k=21 r=-1036119/10000000 delta=387/100000000 v=915339/1000000
12 k=22 r=-2390009/5000000 delta=37/12500000 v=-83657/250000
13 k=22 r=1245171/2000000 delta=327/100000000 v=-397663/500000
14 k=23 r=353869/5000000 delta=3/800000 v=192039/200000
15 k=24 r=-2756853/5000000 delta=277/50000000 v=-23717/40000
16 k=24 r=3360341/10000000 delta=53/12500000 v=56181/250000
17 k=25 r=-4011737/10000000 delta=157/50000000 v=-8473/250000
18 k=25 r=769509/2000000 delta=319/100000000 v=31773/1000000
19 k=26 r=-177047/400000 delta=9/2000000 v=-198349/1000000
20 k=26 r=2626653/10000000 delta=21/5000000 v=496997/1000000
21 k=27 r=-6372663/10000000 delta=171/50000000 v=-207383/250000
22 k=27 r=23839/10000000 delta=291/100000000 v=199991/200000
23 k=27 r=1533989/2500000 delta=241/50000000 v=-773019/1000000
24 k=28 r=-186003/500000 delta=391/100000000 v=41339/500000
25 k=28 r=473241/2500000 delta=431/100000000 v=181693/250000
26 k=28 r=1821453/2500000 delta=361/100000000 v=-487143/500000
27 k=29 r=-404107/1250000 delta=11/3125000 v=2741/10000
28 k=29 r=353539/2000000 delta=511/100000000 v=760263/1000000
29 k=29 r=412047/625000 delta=381/100000000 v=-43771/50000
30 k=30 r=-1113437/2500000 delta=453/100000000 v=-209147/1000000
31 k=30 r=54853/10000000 delta=51/10000000 v=999759/1000000
32 k=30 r=4420299/10000000 delta=13/2500000 v=-39209/200000
33 k=31 r=-3528281/5000000 delta=81/25000000 v=-23739/25000
34 k=31 r=-2951779/10000000 delta=409/100000000 v=380267/1000000
35 k=31 r=1034007/10000000 delta=167/50000000 v=915679/1000000
36 k=31 r=4907503/10000000 delta=329/100000000 v=-382227/1000000
37 k=32 r=-3516551/5000000 delta=499/100000000 v=-37863/40000
38 k=32 r=-1683109/5000000 delta=157/50000000 v=222433/1000000
39 k=32 r=51353/2500000 delta=289/100000000 v=498313/500000
40 k=32 r=368661/1000000 delta=71/25000000 v=24001/250000
41 k=32 r=1416369/2000000 delta=3/781250 v=-476341/500000
42 k=33 r=-1062541/2000000 delta=219/50000000 v=-8224/15625
43 k=33 r=-1038631/5000000 delta=117/25000000 v=21069/31250
44 k=33 r=1083797/10000000 delta=179/50000000 v=907493/1000000
45 k=33 r=834763/2000000 delta=103/20000000 v=-98569/1000000
46 k=33 r=3597957/5000000 delta=21/4000000 v=-193111/200000
47 k=34 r=-2777473/5000000 delta=547/100000000 v=-606127/1000000
48 k=34 r=-1330051/5000000 delta=487/100000000 v=485343/1000000
49 k=34 r=3501/200000 delta=273/50000000 v=19951/20000
50 k=34 r=1476461/5000000 delta=527/100000000 v=94961/250000
51 k=34 r=5675783/10000000 delta=387/100000000 v=-80481/125000
52 k=35 r=-7362193/10000000 delta=223/50000000 v=-490357/500000
53 k=35 r=-2371533/5000000 delta=233/50000000 v=-40083/125000
54 k=35 r=-1086449/5000000 delta=37/12500000 v=645469/1000000
55 k=35 r=350109/10000000 delta=487/100000000 v=99021/100000
56 k=35 r=2827653/10000000 delta=497/100000000 v=4257/10000
57 k=35 r=1052269/2000000 delta=377/100000000 v=-254379/500000
58 k=35 r=765271/1000000 delta=119/25000000 v=-996761/1000000
59 k=36 r=-5704769/10000000 delta=153/50000000 v=-163169/250000
60 k=36 r=-339379/1000000 delta=357/100000000 v=211667/1000000
61 k=36 r=-1121011/10000000 delta=367/100000000 v=45057/50000
62 k=36 r=111481/1000000 delta=457/100000000 v=902213/1000000
63 k=36 r=3314857/10000000 delta=13/3125000 v=121207/500000
64 k=36 r=85629/156250 delta=447/100000000 v=-291049/500000
65 k=36 r=3806041/5000000 delta=387/100000000 v=-497661/500000
66 k=37 r=-1499151/2500000 delta=13/4000000 v=-29459/40000
67 k=37 r=-61389/156250 delta=91/20000000 v=-381/500000
68 k=37 r=-1891821/10000000 delta=101/20000000 v=363543/500000
69 k=37 r=115513/10000000 delta=109/20000000 v=998933/1000000
70 k=37 r=418793/2000000 delta=63/20000000 v=334629/500000
71 k=37 r=63193/156250 delta=209/50000000 v=-46927/1000000
72 k=37 r=298373/500000 delta=93/20000000 v=-36427/50000
73 k=38 r=-7843921/10000000 delta=81/25000000 v=-124999/125000
74 k=38 r=-746643/1250000 delta=509/100000000 v=-146019/200000
75 k=38 r=-4127479/10000000 delta=247/50000000 v=-80109/1000000
76 k=38 r=-115313/500000 delta=167/50000000 v=301913/500000
77 k=38 r=-508849/10000000 delta=111/25000000 v=979357/1000000
78 k=38 r=1265369/10000000 delta=53/12500000 v=874619/1000000
79 k=38 r=1508493/5000000 delta=309/100000000 v=356017/1000000
80 k=38 r=593321/1250000 delta=91/25000000 v=-32199/100000
81 k=38 r=1290933/2000000 delta=319/100000000 v=-4237/5000
82 k=39 r=-7566161/10000000 delta=293/100000000 v=-49669/50000
83 k=39 r=-2949737/5000000 delta=513/100000000 v=-177411/250000
84 k=39 r=-1063187/2500000 delta=573/100000000 v=-64967/500000
85 k=39 r=-262551/1000000 delta=3/1000000 v=248697/500000
86 k=39 r=-127163/1250000 delta=27/5000000 v=114793/125000
87 k=39 r=572309/10000000 delta=443/100000000 v=973911/1000000
88 k=39 r=428751/2000000 delta=453/100000000 v=654329/1000000
89 k=39 r=3697443/10000000 delta=37/10000000 v=9169/100000
90 k=39 r=1308443/2500000 delta=19/5000000 v=-15601/31250
91 k=39 r=2161/3200 delta=3/500000 v=-452303/500000
92 k=40 r=-7452091/10000000 delta=11/2500000 v=-987107/1000000
93 k=40 r=-596559/1000000 delta=53/10000000 v=-728027/1000000
94 k=40 r=-1123747/2500000 delta=23/5000000 v=-225249/1000000
