Mn=382 den=1 sgn=-1 N=900 eps=10000 J=95 psi=-119929/200000 u900=-8507/10000 d900=9587/500000000 r900=-2655347/5000000 k900=414
1 k=0 r=187389/1250000 delta=201/1000000000 v=12899/15625
2 k=42 r=3720183/10000000 delta=193/10000000 v=82629/1000000
3 k=67 r=-109983/625000 delta=961/50000000 v=76233/100000
4 k=84 r=2970651/5000000 delta=9599/500000000 v=-721333/1000000
5 k=98 r=-434023/5000000 delta=9649/500000000 v=940323/1000000
6 k=109 r=461391/10000000 delta=19119/1000000000 v=491509/500000
7 k=118 r=157591/250000 delta=9577/500000000 v=-813799/1000000
8 k=127 r=-3772771/5000000 delta=19213/1000000000 v=-992399/1000000
9 k=134 r=-125463/250000 delta=4791/250000000 v=-422871/1000000
10 k=140 r=676489/5000000 delta=19207/1000000000 v=107137/125000
11 k=146 r=-1873561/10000000 delta=19153/1000000000 v=732081/1000000
12 k=151 r=268251/1000000 delta=9593/500000000 v=477487/1000000
13 k=156 r=36467/625000 delta=9561/500000000 v=121611/125000
14 k=161 r=-1795801/2500000 delta=19257/1000000000 v=-48211/50000
15 k=165 r=-2063419/5000000 delta=19117/1000000000 v=-39927/500000
16 k=169 r=-665553/1250000 delta=2411/125000000 v=-132579/250000
17 k=172 r=272409/500000 delta=4809/250000000 v=-571617/1000000
18 k=176 r=-2797401/10000000 delta=3853/200000000 v=218309/500000
19 k=179 r=342577/2000000 delta=19187/1000000000 v=387161/500000
20 k=182 r=223381/625000 delta=3859/200000000 v=14069/100000
21 k=185 r=190303/625000 delta=1923/100000000 v=17279/50000
22 k=188 r=173779/5000000 delta=19151/1000000000 v=61897/62500
23 k=191 r=-4324863/10000000 delta=1913/100000000 v=-79239/500000
24 k=193 r=4903629/10000000 delta=19287/1000000000 v=-190397/500000
25 k=196 r=-3235251/10000000 delta=19209/1000000000 v=273179/1000000
26 k=198 r=2804591/10000000 delta=19223/1000000000 v=434029/1000000
27 k=200 r=7430651/10000000 delta=19237/1000000000 v=-492849/500000
