M=74 sgn=-1 N=100 J=9 psi=56183/125000
1 k=0 r=-56183/500000 delta=1/100000000 v=22517/25000
2 k=8 r=722431/5000000 delta=587/100000000 v=837587/1000000
3 k=13 r=-208391/1000000 delta=621/100000000 v=672241/1000000
4 k=16 r=501673/1250000 delta=433/100000000 v=-691/20000
5 k=19 r=-1828949/10000000 delta=339/50000000 v=18603/25000
6 k=21 r=484613/10000000 delta=507/100000000 v=981271/1000000
7 k=23 r=-1206719/5000000 delta=79/20000000 v=142277/250000
8 k=24 r=3290953/5000000 delta=29/6250000 v=-174663/200000
9 k=26 r=-3044159/10000000 delta=27/5000000 v=345839/1000000
10 k=27 r=739573/10000000 delta=651/100000000 v=956561/1000000
11 k=28 r=2663993/10000000 delta=251/50000000 v=241991/500000
12 k=29 r=610627/2000000 delta=391/100000000 v=85617/250000
13 k=30 r=2153073/10000000 delta=423/100000000 v=130301/200000
14 k=31 r=38771/2500000 delta=549/100000000 v=998077/1000000
15 k=32 r=-1394599/5000000 delta=759/100000000 v=27473/62500
16 k=33 r=-1311507/2000000 delta=19/3125000 v=-34741/40000
17 k=33 r=232901/500000 delta=7/1562500 v=-144131/500000
18 k=34 r=-118909/2500000 delta=213/50000000 v=245489/250000
19 k=35 r=-1545291/2500000 delta=557/100000000 v=-784363/1000000
20 k=35 r=51689/156250 delta=537/100000000 v=245037/1000000
21 k=36 r=-3373687/10000000 delta=119/25000000 v=219519/1000000
22 k=36 r=1308129/2500000 delta=387/100000000 v=-498797/1000000
23 k=37 r=-2251871/10000000 delta=1/160000 v=19407/31250
24 k=37 r=5621657/10000000 delta=109/20000000 v=-627133/1000000
25 k=38 r=-2534237/10000000 delta=287/50000000 v=66091/125000
26 k=38 r=944319/2000000 delta=237/50000000 v=-312517/1000000
27 k=39 r=-500551/1250000 delta=23/5000000 v=-15481/500000
28 k=39 r=1361803/5000000 delta=703/100000000 v=23149/50000
29 k=40 r=-6492463/10000000 delta=553/100000000 v=-855331/1000000
30 k=40 r=-55169/2500000 delta=57/10000000 v=996107/1000000
31 k=40 r=2922721/5000000 delta=713/100000000 v=-173563/250000
32 k=41 r=-997253/2500000 delta=361/50000000 v=-12403/500000
33 k=41 r=26621/156250 delta=421/100000000 v=77663/100000
34 k=41 r=7226543/10000000 delta=281/50000000 v=-968671/1000000
35 k=42 r=-1559363/5000000 delta=113/25000000 v=317703/1000000
36 k=42 r=1046443/5000000 delta=471/100000000 v=669579/1000000
37 k=42 r=223803/312500 delta=671/100000000 v=-60119/62500
38 k=43 r=-3612641/10000000 delta=221/50000000 v=125409/1000000
39 k=43 r=149103/1250000 delta=401/100000000 v=888317/1000000
40 k=43 r=2938309/5000000 delta=191/50000000 v=-703173/1000000
41 k=44 r=-1315803/2500000 delta=473/100000000 v=-509401/1000000
