M=52 sgn=-1 N=100 J=5 psi=280901/1000000
1 k=0 r=-175563/2500000 delta=21/100000000 v=480403/500000
2 k=6 r=-4840899/10000000 delta=203/50000000 v=-14299/40000
3 k=9 r=186419/2500000 delta=239/50000000 v=477923/500000
4 k=11 r=3364209/5000000 delta=299/100000000 v=-900349/1000000
5 k=13 r=2160577/5000000 delta=221/50000000 v=-157013/1000000
6 k=15 r=-3392971/10000000 delta=171/50000000 v=211987/1000000
7 k=16 r=187731/2000000 delta=273/100000000 v=465169/500000
8 k=17 r=647443/2500000 delta=319/100000000 v=31859/62500
9 k=18 r=548401/2500000 delta=207/50000000 v=639121/1000000
10 k=19 r=182507/10000000 delta=93/20000000 v=124667/125000
11 k=20 r=-783783/2500000 delta=99/25000000 v=155737/500000
12 k=21 r=-7531617/10000000 delta=69/25000000 v=-495849/500000
13 k=21 r=574787/2000000 delta=287/100000000 v=102219/250000
14 k=22 r=-399999/1250000 delta=193/50000000 v=143359/500000
15 k=22 r=2884541/5000000 delta=253/50000000 v=-167987/250000
16 k=23 r=-774437/5000000 delta=83/20000000 v=40707/50000
17 k=23 r=6332327/10000000 delta=59/20000000 v=-410207/500000
18 k=24 r=-972521/5000000 delta=319/100000000 v=712307/1000000
19 k=24 r=317731/625000 delta=399/100000000 v=-8927/20000
20 k=25 r=-3956139/10000000 delta=369/100000000 v=-11659/1000000
21 k=25 r=2386583/10000000 delta=157/50000000 v=144477/250000
22 k=26 r=-7273779/10000000 delta=263/100000000 v=-97319/100000
23 k=26 r=-1495049/10000000 delta=423/100000000 v=206613/250000
24 k=26 r=40377/100000 delta=383/100000000 v=-44269/1000000
25 k=27 r=-1590851/2500000 delta=103/25000000 v=-413729/500000
26 k=27 r=-1264711/10000000 delta=83/25000000 v=437373/500000
27 k=27 r=910383/2500000 delta=351/100000000 v=7121/62500
28 k=28 r=-3669319/5000000 delta=481/100000000 v=-978829/1000000
29 k=28 r=-1388383/5000000 delta=361/100000000 v=444029/1000000
30 k=28 r=407609/2500000 delta=221/50000000 v=397383/500000
31 k=28 r=5893113/10000000 delta=481/100000000 v=-707849/1000000
32 k=29 r=-35547/62500 delta=511/100000000 v=-647433/1000000
33 k=29 r=-421801/2500000 delta=83/25000000 v=780781/1000000
34 k=29 r=2193681/10000000 delta=391/100000000 v=639097/1000000
35 k=29 r=5962061/10000000 delta=83/25000000 v=-727059/1000000
36 k=30 r=-6083689/10000000 delta=17/5000000 v=-189897/250000
37 k=30 r=-1260911/5000000 delta=23/5000000 v=532937/1000000
38 k=30 r=18901/200000 delta=303/100000000 v=929397/1000000
39 k=30 r=4321863/10000000 delta=3/1000000 v=-157293/1000000
40 k=30 r=3806589/5000000 delta=263/100000000 v=-199073/200000
41 k=31 r=-976949/2000000 delta=177/50000000 v=-373799/1000000
42 k=31 r=-1752063/10000000 delta=409/100000000 v=76431/100000
43 k=31 r=1306901/10000000 delta=449/100000000 v=216611/250000
44 k=31 r=4295539/10000000 delta=329/100000000 v=-73443/500000
45 k=31 r=721701/1000000 delta=237/50000000 v=-967717/1000000
46 k=32 r=-176053/312500 delta=121/25000000 v=-157719/250000
47 k=32 r=-2837889/10000000 delta=519/100000000 v=421991/1000000
48 k=32 r=-50473/5000000 delta=479/100000000 v=199837/200000
49 k=32 r=1289781/5000000 delta=131/25000000 v=256627/500000
50 k=32 r=2602957/5000000 delta=479/100000000 v=-244773/500000
51 k=32 r=1556051/2000000 delta=359/100000000 v=-199913/200000
52 k=33 r=-5403357/10000000 delta=107/25000000 v=-111363/200000
53 k=33 r=-731773/2500000 delta=117/25000000 v=389381/1000000
54 k=33 r=-248557/5000000 delta=67/25000000 v=196059/200000
55 k=33 r=944137/5000000 delta=91/20000000 v=728059/1000000
56 k=33 r=4230679/10000000 delta=91/20000000 v=-121177/1000000
57 k=33 r=816453/1250000 delta=67/20000000 v=-863341/1000000
58 k=34 r=-1728853/2500000 delta=457/100000000 v=-930351/1000000
59 k=34 r=-293321/625000 delta=297/100000000 v=-75421/250000
60 k=34 r=-2508211/10000000 delta=153/50000000 v=8399/15625
61 k=34 r=-359401/10000000 delta=173/50000000 v=247421/250000
62 k=34 r=877233/5000000 delta=213/50000000 v=76369/100000
63 k=34 r=3834511/10000000 delta=377/100000000 v=36983/1000000
64 k=34 r=5881797/10000000 delta=213/50000000 v=-140929/200000
65 k=35 r=-3905311/5000000 delta=357/100000000 v=-19997/20000
66 k=35 r=-116517/200000 delta=143/50000000 v=-688591/1000000
67 k=35 r=-1935463/5000000 delta=203/50000000 v=2803/125000
68 k=35 r=-388993/2000000 delta=243/50000000 v=712329/1000000
69 k=35 r=-47121/10000000 delta=243/50000000 v=499911/500000
70 k=35 r=364683/2000000 delta=143/50000000 v=745597/1000000
71 k=35 r=3667417/10000000 delta=397/100000000 v=103643/1000000
72 k=35 r=5485629/10000000 delta=203/50000000 v=-145961/250000
73 k=35 r=181969/250000 delta=163/50000000 v=-486823/500000
74 k=36 r=-1665117/2500000 delta=487/100000000 v=-88819/100000
75 k=36 r=-196619/400000 delta=109/25000000 v=-96293/250000
76 k=36 r=-798399/2500000 delta=79/25000000 v=18073/62500
77 k=36 r=-59769/400000 delta=99/25000000 v=413319/500000
78 k=36 r=183217/10000000 delta=99/25000000 v=249329/250000
79 k=36 r=1839291/10000000 delta=287/100000000 v=14827/20000
80 k=36 r=868633/2500000 delta=89/25000000 v=179997/1000000
81 k=36 r=254473/500000 delta=287/100000000 v=-112103/250000
82 k=36 r=1671143/2500000 delta=69/25000000 v=-892579/1000000
83 k=37 r=-3723807/5000000 delta=93/20000000 v=-493409/500000
84 k=37 r=-589071/1000000 delta=109/20000000 v=-70717/100000
85 k=37 r=-435223/1000000 delta=149/50000000 v=-169277/1000000
86 k=37 r=-566349/2000000 delta=249/50000000 v=212109/500000
87 k=37 r=-664419/5000000 delta=17/4000000 v=86203/100000
88 k=37 r=39223/2500000 delta=93/20000000 v=998031/1000000
89 k=37 r=325167/2000000 delta=189/50000000 v=397941/500000
90 k=37 r=769591/2500000 delta=189/50000000 v=332969/1000000
91 k=37 r=2257421/5000000 delta=269/50000000 v=-11649/50000
92 k=37 r=2967811/5000000 delta=209/50000000 v=-719757/1000000
93 k=37 r=7341041/10000000 delta=249/50000000 v=-39161/40000
94 k=38 r=-1395307/2000000 delta=429/100000000 v=-939037/1000000
95 k=38 r=-5600861/10000000 delta=469/100000000 v=-77579/125000
96 k=38 r=-529949/1250000 delta=469/100000000 v=-24943/200000
97 k=38 r=-2892429/10000000 delta=429/100000000 v=201057/500000
98 k=38 r=-389771/2500000 delta=429/100000000 v=405881/500000
99 k=38 r=-59819/2500000 delta=269/100000000 v=995423/1000000
100 k=38 r=1067267/10000000 delta=429/100000000 v=910251/1000000
